,Unnamed: 0,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank
0,0,Rabbinic047,0.0171115674196,0.015913757700200003,1.0,0.0,0.295871559633,210.0,0.481651376147,0.00273785078713,0.00308008213552,0.0126625598905,0.005817932922659999,0.0308008213552,0.0102669404517,0.0147159479808,0.188569472964,0.646920532581,0.598254268523,Rabbinic,4
1,1,Rabbinic054,0.014964028777000003,0.0126618705036,1.0,0.0,0.301204819277,137.0,0.550200803213,0.00230215827338,0.0063309352518,0.0094964028777,0.0123741007194,0.0428776978417,0.0212949640288,0.0143884892086,0.216978417266,0.668207472526,0.665808608619,Rabbinic,4
2,2,ACLU07,0.0102702702703,0.0151351351351,0.0,1.0,0.391304347826,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.011351351351399998,0.00108108108108,0.0,0.00594594594595,0.278918918919,0.583817711042,0.723923388205,ACLU,3
3,3,SeaShepherds397,0.0376811594203,0.0231884057971,1.0,0.0,0.8823529411759999,15.0,0.8823529411759999,0.046376811594199985,0.0231884057971,0.0,0.005797101449279999,0.0,0.0,0.0,0.524637681159,0.672571561117,0.437062563421,Shepherd,1
4,4,ACLU02,0.0263591433278,0.00164744645799,1.0,0.0,0.8125,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.019769357495900003,0.431630971993,0.751110128029,0.526031851325,ACLU,3
5,5,Rabbinic023,0.0264088658335,0.0129686394718,1.0,0.0,0.323636363636,142.0,0.516363636364,0.00542324923367,0.00235793444942,0.00754539023815,0.0089601509078,0.0518745578873,0.0007073803348270001,0.0146191935864,0.18509785428,0.668339253192,0.632518246553,Rabbinic,4
6,6,Unitarian145,0.0243632336656,0.0190476190476,1.0,0.0,0.203045685279,233.0,0.591370558376,0.0148394241417,0.0104097452935,0.0423034330011,0.00863787375415,0.003986710963459999,0.00996677740864,0.0126245847176,0.2569213732,0.6766777973039999,0.514337817248,Unitarian,7
7,7,Unitarian219,0.0356933879462,0.033352837916900004,1.0,0.0,0.258928571429,142.0,0.6339285714289999,0.0263311878291,0.0064365125804600005,0.0295494441194,0.008484493856060002,0.00263311878291,0.0067290813341100006,0.0119953188999,0.31597425395,0.657738018283,0.631939537011,Unitarian,4
8,8,Rabbinic033,0.0214233841685,0.00944081336238,1.0,0.0,0.265432098765,79.0,0.4876543209880001,0.0032679738562100004,0.00363108206245,0.00980392156863,0.00508351488744,0.0225127087872,0.0,0.023238925199700004,0.222222222222,0.8037379763570001,0.7225374139309999,Rabbinic,4
9,9,Unitarian006,0.025641025641,0.021978021978,1.0,0.0,0.538461538462,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.6630036630039999,0.00637634953317,0.537620456564,Unitarian,2
10,10,WBC107,0.024907063197,0.0431226765799,0.0,1.0,0.29220779220800003,66.0,0.428571428571,0.000371747211896,0.0007434944237919999,0.00148698884758,0.0282527881041,0.0185873605948,0.00260223048327,0.0100371747212,0.286617100372,0.661455143883,0.570116153256,WBC,2
11,11,MalcolmX012,0.0209185993633,0.0163710777626,1.0,0.0,0.260330578512,154.0,0.636363636364,0.0118235561619,0.0161437016826,0.00591177808095,0.012278308322,0.018190086402900003,0.00204638472033,0.012278308322,0.200773078672,0.712835156637,0.6820812806300001,MalcolmX,2
12,12,YV13,0.0164705882353,0.00705882352941,1.0,0.0,0.578947368421,28.0,0.736842105263,0.00941176470588,0.07058823529410001,0.00235294117647,0.00705882352941,0.0,0.0,0.0329411764706,0.407058823529,0.7734537016940001,0.553920281175,YV,5
13,13,JohnPiper020,0.0272435897436,0.008012820512819999,1.0,0.0,0.636363636364,30.0,0.909090909091,0.008012820512819999,0.0192307692308,0.0512820512821,0.00320512820513,0.0192307692308,0.0,0.0128205128205,0.384615384615,0.713396578272,0.734986918699,JohnPiper,4
14,14,Bahai30,0.049798115747,0.0403768506057,1.0,0.0,0.275862068966,10.0,0.344827586207,0.0,0.0,0.0,0.0,0.00807537012113,0.0,0.00942126514132,0.271870794078,0.8356215134810001,0.642909800541,Bahai,4
15,15,YV02,0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.514950166113,0.781755647839,0.579184715841,YV,6
16,16,MalcolmX003,0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.011143001857200002,0.218301536384,0.7218677583130001,0.664602832219,MalcolmX,2
17,17,Rabbinic025,0.0171615363661,0.008716970852629999,1.0,0.0,0.221402214022,116.0,0.428044280443,0.006537728139470001,0.00408608008717,0.00844456551348,0.00789975483519,0.0204304004358,0.00108962135658,0.0204304004358,0.214655407246,0.7355564074680001,0.571455025451,Rabbinic,4
18,18,DorothyDay412,0.034387895460800004,0.0275103163686,1.0,0.0,0.333333333333,28.0,0.622222222222,0.0316368638239,0.00687757909216,0.0110041265475,0.00275103163686,0.0041265474553,0.0041265474553,0.0137551581843,0.44704264099,0.772204339577,0.469079468926,DorothyDay,3
19,19,LiberalJudaism016,0.025,0.0132653061224,1.0,0.0,0.424242424242,69.0,0.69696969697,0.0311224489796,0.0030612244898000004,0.019387755102,0.0030612244898000004,0.00459183673469,0.0132653061224,0.0183673469388,0.322448979592,0.662989002993,0.596436412172,LiberalJudaism,6
