,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC
0,piper81 041781_train,1,2.06277418137,"thief, jesus, save, penit, paradis",0.0258342303552,0.037674919268,0.0,1.0,0.307692307692,85.0,0.726495726496,0.018837459634,0.0139935414424,0.0139935414424,0.00861141011841,0.034983853606,0.0,0.00914962325081,0.676711728946,0.752994799132
1,ACLU07_train,1,1.77860307693,"camp, polic, dakota, protector, morton",0.0102702702703,0.0151351351351,0.0,1.0,0.376811594203,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.0113513513514,0.00108108108108,0.0,0.00594594594595,0.560641789534,0.671180099027
2,ACLU02_test,1,0.986923933029,"fisc, opinion, surveil, usa, yahoo",0.0263591433278,0.00164744645799,1.0,0.0,0.8125,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.0197693574959,0.703065025614,0.619422035914
3,WestboroBaptist_Sermon_20090809.pdf_train,1,3.06904411316,"angel, heaven, hair, shall, unto",0.0451291627762,0.0267662620604,1.0,0.0,0.335403726708,90.0,0.55900621118,0.00746965452848,0.00404606286959,0.0118269530034,0.0164954870837,0.0155617802677,0.0136943666355,0.00715841892312,0.717394230221,0.674620940821
4,Issue_2-Foreward_train,1,1.49015402794,"allah, choic, bay'ah, deed, prophet",0.0145797598628,0.0231560891938,0.0,1.0,0.347826086957,36.0,0.782608695652,0.0,0.0180102915952,0.00171526586621,0.0180102915952,0.00514579759863,0.0,0.0128644939966,0.695593821874,0.389677808563
5,YV13_train,1,0.875988960266,"happi, want, get, stamp, unhappi",0.0164705882353,0.00705882352941,1.0,0.0,0.447368421053,28.0,0.736842105263,0.00941176470588,0.0705882352941,0.00235294117647,0.00705882352941,0.0,0.0,0.0329411764706,0.720495334153,0.461231031481
6,YV02_train,1,0.747520923615,"yoga, ceremoni, eat, sleep, satchidananda",0.0265780730897,0.00332225913621,1.0,0.0,0.388888888889,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.757079016017,0.474209492737
7,transcript_zechariah_5.html_test,1,8.35632801056,"babylon, say, whore, bibl, talk",0.02110514198,0.0199539524175,1.0,0.0,0.197846567968,511.0,0.687752355316,0.0145817344589,0.014773599386,0.0124712202609,0.0139102072141,0.00959324635457,0.00297390636992,0.0259017651573,0.72469084215,0.771694158029
8,MalcolmX-ProspectsForFreedomin1965_train,1,3.48499703407,"get, civilright, noth, explos, promis",0.0210692652094,0.0221227284698,0.0,1.0,0.114893617021,153.0,0.651063829787,0.0152752172768,0.00948116934422,0.0163286805373,0.0281801422175,0.00421385304188,0.00131682907559,0.0186989728733,0.696814717692,0.516521853363
9,MalcolmX-AnAppealtoAfricanHeadsofState_train,1,5.16214704514,"malcolm, negro, uniti, cairo, get",0.0244808374135,0.0238055039676,1.0,0.0,0.234042553191,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.729095828062,0.818617164133
