,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,Difference
21,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.003333333,5,4.823025496,3,2
19,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.926666667,5,4.885881643,4,2
14,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.46,5,4.761024818,5,2
15,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.266666667,5,5.437721185,7,2
14,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.983333333,5,5.487846947,4,2
13,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.38,5,5.208296854,3,2
4,MalcolmX-LettersFromAbroad,3,3.46,5,3.878196751,4,2
6,MalcolmX-LettersFromAbroad,3,3.333333333,5,3.355304293,3,2
5,MalcolmX-LettersFromAbroad,3,3.836666667,5,3.337549136,3,2
7,MalcolmX-LettersFromAbroad,3,3.58,5,3.864035531,3,2
4,MalcolmX-LettersFromAbroad,3,3.966666667,5,3.508391651,3,2
35,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.663333333,5,3.997356044,3,2
31,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.316666667,5,4.100298208,5,2
33,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.41,5,4.29295986,5,2
34,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.373333333,5,3.885510598,3,2
23,piper80 122480,3,3.94,5,3.118311944,3,2
20,piper80 122480,3,3.736666667,5,2.696187647,1,2
8,piper80 122480,3,3.753333333,5,2.635583507,3,2
0,piper81 041781,3,3.796666667,5,2.795982216,3,2
1,piper81 041781,3,3.683333333,5,2.689999035,3,2
20,piper89 6-4-89,3,4.456666667,5,4.093869624,3,2
20,piper89 6-4-89,3,4.55,5,4.352644184,5,2
20,piper89 6-4-89,3,4.573333333,5,4.731334482,5,2
12,piper89 6-4-89,3,4.35,5,4.497488037,5,2
12,piper89 6-4-89,3,4.403333333,5,4.373849887,5,2
12,piper89 6-4-89,3,3.953333333,5,3.971235156,5,2
15,piper89 6-4-89,3,4.39,5,4.507334129,5,2
13,piper89 6-4-89,3,4.523333333,5,4.393282144,3,2
15,piper89 6-4-89,3,4.436666667,5,4.284735159,5,2
17,piper89 6-4-89,3,4.523333333,5,4.415840883,5,2
25,piper89 6-4-89,3,4.503333333,5,4.541423865,3,2
17,piper89 6-4-89,3,4.726666667,5,4.607674974,5,2
16,piper89 6-4-89,3,4.333333333,5,4.36932382,5,2
28,piper89 6-4-89,3,4.11,5,4.638607095,5,2
13,piper89 6-4-89,3,4.45,5,3.70408193,3,2
21,piper89 6-4-89,3,4.07,5,4.097435044,4,2
16,piper89 6-4-89,3,4.193333333,5,4.108473744,5,2
24,piper89 6-4-89,3,4.2,5,4.18121506,5,2
19,piper89 6-4-89,3,4.34,5,4.47437291,5,2
15,piper89 6-4-89,3,4.623333333,5,4.447351136,5,2
19,piper89 6-4-89,3,4.37,5,4.717951906,3,2
15,piper89 6-4-89,3,4.533333333,5,4.296806207,3,2
19,piper89 6-4-89,3,4.456666667,5,4.681371219,5,2
15,piper89 6-4-89,3,4.423333333,5,4.363520065,5,2
13,piper89 6-4-89,3,4.183333333,5,4.637546883,5,2
15,piper89 6-4-89,3,4.366666667,5,4.691504137,5,2
23,piper89 6-4-89,3,4.503333333,5,4.593302667,5,2
13,piper89 6-4-89,3,4.333333333,5,4.951707902,5,2
19,piper89 6-4-89,3,3.95,5,4.242557132,5,2
20,piper89 6-4-89,3,4.47,5,4.405726217,5,2
15,piper89 6-4-89,3,4.4,5,4.717543411,5,2
13,piper89 6-4-89,3,4.003333333,5,4.642591192,5,2
32,remembering-9-11-steve-shepherd-sermon-on-america-160100.asp,3,2.793333333,5,2.657978874,1,2
5,SS04,3,4.19,5,4.213144517,5,2
2,SS14,3,4.22,5,3.513818825,2,2
1,SS14,3,3.7,5,3.713373833,5,2
5,SS14,3,3.506666667,5,3.688519356,2,2
8,SS14,3,3.723333333,5,3.742324478,5,2
4,SS14,3,4.183333333,5,3.103754948,2,2
7,SS14,3,3.93,5,3.459899561,2,2
15,YV04,3,5.426666667,5,4.251337177,3,2
25,YV04,3,5.366666667,5,3.228835564,2,2
7,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.82,4,3.44125626,3,2
10,piper94 07-10-94,2,3.966666667,4,3.19211796,3,2
12,piper94 07-10-94,2,3.856666667,4,3.71663782,4,2
9,piper94 07-10-94,2,3.7,4,3.264169464,2,2
8,piper94 07-10-94,2,3.93,4,4.184398672,4,2
8,piper94 07-10-94,2,4.14,4,3.85586289,3,2
9,piper94 07-10-94,2,4.31,4,3.649892165,4,2
9,piper94 07-10-94,2,3.74,4,3.512831377,2,2
7,piper94 07-10-94,2,4.006666667,4,4.43329728,4,2
11,piper94 07-10-94,2,4.273333333,4,4.425609306,4,2
7,piper94 07-10-94,2,3.396666667,4,3.364373154,4,2
4,piper94 07-10-94,2,3.753333333,4,3.376351925,2,2
9,piper94 07-10-94,2,3.636666667,4,3.875148061,4,2
6,piper94 07-10-94,2,3.8,4,3.747849887,4,2
10,piper94 07-10-94,2,3.93,4,3.939079624,4,2
3,piper94 07-10-94,2,3.606666667,4,3.436217905,4,2
7,piper94 07-10-94,2,3.703333333,4,3.253835212,2,2
9,piper94 07-10-94,2,3.526666667,4,3.236592606,3,2
10,piper94 07-10-94,2,3.43,4,3.211499244,4,2
