,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
3,Rabbinic027_test,1,3.70917105675,"adam, shall, said, genesi, descend, generat, xxiv, supra, viz, https",0.0128205128205,0.0168269230769,0.0,1.0,0.228571428571,85.0,0.404761904762,0.000801282051282,0.00320512820513,0.015625,0.0140224358974,0.0304487179487,0.000801282051282,0.0188301282051,0.238782051282,0.683518834775,0.679604186842,Rabbinic027,4,3.92666666667,4,4.09232645806,4
6,Rabbinic033_test,1,3.4595310688,"bless, light, let, genesi, said, righteous, deed, rabba, archiveorgstreamrabbagenesismidrashrabbahgennummbpdjvutxt, https",0.0214233841685,0.00944081336238,1.0,0.0,0.265432098765,79.0,0.487654320988,0.00326797385621,0.00363108206245,0.00980392156863,0.00508351488744,0.0225127087872,0.0,0.0232389251997,0.222222222222,0.801958615364,0.722537413931,Rabbinic033,4,4.1,4,4.09673042557,4
7,Shepherd224_test,1,3.83976411819,"bad, fire, evil, brandon, want, put, need, good, preacher, lit",0.0278824415976,0.0388093443858,0.0,1.0,0.18152866242,147.0,0.468152866242,0.035418236624,0.00640542577242,0.0211002260739,0.00753579502638,0.0128108515448,0.00263752825923,0.00979653353429,0.27995478523,0.651202234359,0.471404768228,Shepherd224,4,3.58666666667,3,3.78954767866,3
13,LiberalJudaism016_test,1,3.0392999649,"basebal, shavuot, gibson, torah, yizkor, love, jenna, renew, mitzvah, happen",0.025,0.0132653061224,1.0,0.0,0.424242424242,69.0,0.69696969697,0.0311224489796,0.0030612244898,0.019387755102,0.0030612244898,0.00459183673469,0.0132653061224,0.0183673469388,0.322448979592,0.662186115058,0.596436412172,LiberalJudaism016,6,4.78333333333,3,4.86119346071,5
14,DorothyDay406_test,1,1.36174297333,"obedi, poverti, ave, maria, love, rosari, advent, tell, convers, scriptur",0.0509383378016,0.00536193029491,1.0,0.0,0.35,9.0,0.45,0.0214477211796,0.0,0.0,0.0,0.00268096514745,0.0160857908847,0.00268096514745,0.522788203753,0.769848139647,0.576540447136,DorothyDay406,4,4.19666666667,6,4.95098528369,4
16,SeaShepherds407_test,1,2.84717702866,"costa, rican, coco, illeg, shepherd, arrest, vessel, guatemalan, charg, rica",0.0115321252059,0.0219659527732,0.0,1.0,0.44578313253,56.0,0.674698795181,0.0175727622186,0.0,0.0236133992312,0.0126304228446,0.00054914881933,0.0,0.00604063701263,0.275672707304,0.690444205808,0.628273480924,SeaShepherds407,1,1.85333333333,3,0.869977379883,1
19,WBC265_test,1,4.04164195061,"parker, baptist, elder, texa, primit, congreg, pilgrim, pastor, cynthia, predestin",0.0214947089947,0.0165343915344,1.0,0.0,0.291139240506,97.0,0.613924050633,0.00165343915344,0.000992063492063,0.00529100529101,0.0185185185185,0.0214947089947,0.00628306878307,0.0082671957672,0.30753968254,0.69320200993,0.534129863979,WBC265,1,4.07666666667,4,3.92320391483,4
24,WBC418_test,1,5.63251590729,"revel, candlestick, shall, elder, unto, christ, throne, garden, vision, heaven",0.0347616965457,0.0122431132488,1.0,0.0,0.448051948052,106.0,0.688311688312,0.0120244862265,0.002186270223,0.0100568430258,0.008745080892,0.008745080892,0.0015303891561,0.0080891998251,0.209444687363,0.697459582643,0.647542190477,WBC418,1,4.54333333333,3,3.58443820917,3
28,Rabbinic055_test,1,4.97659897804,"abraham, bless, shall, thi, genesi, said, righteous, judah, xiv, rabba",0.0222472542946,0.0132357082512,1.0,0.0,0.252459016393,139.0,0.455737704918,0.00225288651084,0.0025344973247,0.0143621515066,0.0208392002253,0.0366094058012,0.000563221627711,0.0188679245283,0.242748521543,0.657460252944,0.607325789715,Rabbinic055,4,3.96,4,3.98021374721,4
29,AEU010_test,1,2.55277609825,"shall, ethic, bind, moral, consecr, mere, desir, address, habit, constraint",0.0221962616822,0.018691588785,1.0,0.0,0.328571428571,41.0,0.585714285714,0.0116822429907,0.0,0.0035046728972,0.0134345794393,0.00408878504673,0.0,0.0221962616822,0.339953271028,0.732402333545,0.782806457289,AEU010,8,4.13333333333,4,4.88692995166,6
