,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
9,piper99 4-4-99_test,1,3.10892009735,"condemn, christ, sinner, guilti, righteous, jesus, answer, god, judg, vers",0.0368709516692,0.0333831589437,1.0,0.0,0.402777777778,83.0,0.576388888889,0.0264075734928,0.0114598903837,0.0224215246637,0.000996512207275,0.02192326856,0.0,0.0119581464873,0.608878113644,0.528360248967,piper99 4-4-99,60,3,3.49666666667,3,3.39501398809,3
17,MalcolmX-LettersFromAbroad_test,1,2.86758589745,"nigeria, mecca, racism, malcolm, brotherhood, abroad, color, muslim, ghana, sincer",0.0205669816565,0.0166759310728,1.0,0.0,0.458333333333,51.0,0.708333333333,0.0105614230128,0.000555864369094,0.0322401334074,0.0111172873819,0.00667037242913,0.00111172873819,0.0100055586437,0.745404748345,0.611114085611,MalcolmX-LettersFromAbroad,81,3,3.67333333333,3,3.94344592499,3
20,YV07_test,1,2.21834301949,"heaven, let, everybodi, yogavill, yoga, happi, better, everyth, hurt, feel",0.0457746478873,0.0105633802817,1.0,0.0,0.381818181818,75.0,0.681818181818,0.0448943661972,0.0281690140845,0.00352112676056,0.00704225352113,0.00176056338028,0.000880281690141,0.0140845070423,0.680970638162,0.542770124457,YV07,132,7,3.74,5,4.07195372803,5
23,SS14_test,1,1.37283110619,"vessel, thunder, poacher, crew, chase, gear, endur, illeg, monday, rescu",0.0356234096692,0.030534351145,1.0,0.0,0.47619047619,17.0,0.809523809524,0.0814249363868,0.00508905852417,0.0,0.0101781170483,0.0,0.0152671755725,0.00254452926209,0.816726595897,0.647116918527,SS14,125,3,2.68333333333,2,2.60057395098,2
24,YV06_test,1,2.75315380096,"sri, gurudev, swami, satchidananda, spirit, spiritu, messag, uniti, sadhu, doesn't",0.027289266222,0.00727713765919,1.0,0.0,0.352941176471,78.0,0.764705882353,0.0109157064888,0.0133414190418,0.0,0.00667070952092,0.0333535476046,0.00485142510612,0.0127349909036,0.664732067892,0.689833712226,YV06,131,5,3.65666666667,3,4.46437064322,5
25,piper94 07-10-94_test,1,4.15559792519,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.72492805059,0.636675363489,piper94 07-10-94,54,2,3.41333333333,2,2.86776583146,2
26,"2006-04-09 Jesus, Rev. Mark Belletini.PDF_test",1,5.56494498253,"jesus, say, opinion, johnson, justic, ohio, pastor, seem, gospel, stake",0.02332433096,0.0203780996808,1.0,0.0,0.253787878788,152.0,0.575757575758,0.0127670022097,0.00515590473852,0.00883869383747,0.00613798183157,0.0235698502332,0.000982077093052,0.00736557819789,0.678479460411,0.584605724449,"2006-04-09 Jesus, Rev. Mark Belletini.PDF",106,6,3.01333333333,3,3.50616322515,3
35,piper99 12-12-99_test,1,3.67270898819,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.0267489711934,0.022633744856,1.0,0.0,0.496551724138,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.64252314297,0.646481448274,piper99 12-12-99,59,4,3.24333333333,5,3.51539052815,3
44,SS12_test,1,3.05316400528,"costa, rican, coco, illeg, shepherd, arrest, vessel, guatemalan, charg, rica",0.0115321252059,0.0219659527732,0.0,1.0,0.44578313253,56.0,0.674698795181,0.0175727622186,0.0,0.0236133992312,0.0126304228446,0.00054914881933,0.0,0.00604063701263,0.692555844017,0.628273480924,SS12,123,1,2.37666666667,3,2.25264126531,3
49,SS09_test,1,1.65893292427,"shepherd, pamela, anderson, seal, slaughter, babi, orca, whale, newfoundland, salmon",0.0155763239875,0.0155763239875,0.0,1.0,0.818181818182,10.0,0.909090909091,0.018691588785,0.0,0.00934579439252,0.0,0.0,0.0249221183801,0.00311526479751,0.805957178164,0.609438581614,SS09,120,2,3.18666666667,4,2.79656066266,3
