,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
0,YV02_test,1,1.4396750927,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.514950166113,0.779888167128,0.579184715841,YV02,6,3.38333333333,5,3.89754970546,3
10,DorothyDay406_test,1,1.313341856,"obedi, poverti, ave, maria, love, rosari, advent, tell, convers, scriptur",0.0509383378016,0.00536193029491,1.0,0.0,0.35,9.0,0.45,0.0214477211796,0.0,0.0,0.0,0.00268096514745,0.0160857908847,0.00268096514745,0.522788203753,0.771992564362,0.576540447136,DorothyDay406,4,3.94333333333,3,5.01010736392,5
11,DorothyDay258_test,1,1.52375507355,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.44142614601,0.757686059924,0.576023711084,DorothyDay258,4,4.33,5,4.92369884054,5
12,AEU008_test,1,1.90343999863,"right, stand, violenc, harm, someon, ration, shop, wherev, perpetr, instanc",0.0533736153072,0.0151057401813,1.0,0.0,0.514285714286,24.0,0.685714285714,0.0211480362538,0.0221550855992,0.0,0.00805639476334,0.0,0.0,0.00704934541793,0.401812688822,0.780102156731,0.674291598416,AEU008,8,4.53333333333,2,4.2041923706,8
14,AEU013_test,1,1.3680639267,"flint, manag, safeti, discontinu, cost, detroit, fundament, health, water, guaranti",0.0231729055258,0.0267379679144,0.0,1.0,0.310344827586,13.0,0.448275862069,0.00713012477718,0.0,0.0017825311943,0.00713012477718,0.0,0.0,0.0160427807487,0.484848484848,0.515782549199,0.460333457438,AEU013,8,3.64666666667,3,3.82074445203,5
17,Shepherd358_test,1,4.07928013802,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.0301783264746,0.0181755829904,1.0,0.0,0.240875912409,181.0,0.660583941606,0.0356652949246,0.0130315500686,0.0168038408779,0.00548696844993,0.031207133059,0.0161179698217,0.00891632373114,0.237654320988,0.668698954903,0.596822233112,Shepherd358,5,3.63666666667,5,3.91570471938,5
18,ACLU04_test,1,2.15245008469,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.381730769231,0.663360724882,0.442937413482,ACLU04,3,2.42,1,2.4986332094,3
20,YV56_test,1,1.72091603279,"babi, surrend, ego, monkey, jump, kitten, let, want, happen, anyth",0.0155239327296,0.0155239327296,0.0,1.0,0.371428571429,51.0,0.728571428571,0.0,0.0620957309185,0.0297542043984,0.0025873221216,0.0012936610608,0.00646830530401,0.0297542043984,0.316946959897,0.725403106387,0.579253923145,YV56,5,4.19666666667,5,3.54230976302,3
25,MehrBaba081_test,1,1.41925883293,"plane, conscious, mental, subtl, perfect, awar, unfold, suprament, scious, consci≠",0.0168776371308,0.0126582278481,1.0,0.0,0.545454545455,13.0,0.590909090909,0.00210970464135,0.0105485232068,0.0,0.0,0.0042194092827,0.0,0.0168776371308,0.331223628692,0.808086284204,0.88825246255,MehrBaba081,7,4.40666666667,6,4.72854739247,3
26,MehrBaba125_test,1,2.26485204697,"boy, tree, journey, snake, sleep, debtor, repli, room, ask, stay",0.0182684670373,0.0166799046863,1.0,0.0,0.58,45.0,0.9,0.0,0.0,0.00158856235107,0.0206513105639,0.0635424940429,0.00158856235107,0.0135027799841,0.313741064337,0.79423471971,0.862340342012,MehrBaba125,9,2.58666666667,1,3.60492081819,3
27,ACLU03_test,1,2.04131102562,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.399134199134,0.748858190386,0.47666167497,ACLU03,3,4.17666666667,5,3.58393362756,5
