,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,YV02_test,1,1.21057796478,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.514950166113,0.779099171685,0.579184715841,YV02,6,3.25333333333,2,4.77718239056,5
4,Rabbinic029_test,1,3.34680008888,"let, gather, said, shall, tree, genesi, heaven, mose, unto, bless",0.0115340253749,0.0123029603998,0.0,1.0,0.248677248677,88.0,0.465608465608,0.00499807766244,0.00422914263745,0.00692041522491,0.0211457131872,0.0184544405998,0.00230680507497,0.0203767781622,0.259900038447,0.730021775411,0.791953826348,Rabbinic029,4,3.84666666667,4,3.64157458324,4
5,ACLU02_test,1,1.48269200325,"fisc, opinion, surveil, usa, yahoo, secret, aclu, hidden, refus, address",0.0263591433278,0.00164744645799,1.0,0.0,0.8125,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.0197693574959,0.431630971993,0.747189224208,0.526031851325,ACLU02,3,4.48,6,2.82832674527,3
8,Shepherd224_test,1,3.44976115227,"bad, fire, evil, brandon, want, put, need, good, preacher, lit",0.0278824415976,0.0388093443858,0.0,1.0,0.18152866242,147.0,0.468152866242,0.035418236624,0.00640542577242,0.0211002260739,0.00753579502638,0.0128108515448,0.00263752825923,0.00979653353429,0.27995478523,0.655010755256,0.471404768228,Shepherd224,4,3.54666666667,3,3.90633326406,3
10,LiberalJudaism059_test,1,1.94426178932,"isra, jewish, jew, judaism, diaspora, israel, anxieti, fear, hanukkah, ident",0.019248395967,0.012832263978,1.0,0.0,0.617021276596,36.0,0.765957446809,0.0146654445463,0.00274977085243,0.00458295142071,0.0164986251146,0.00183318056829,0.0,0.0137488542621,0.391384051329,0.754124017135,0.620207475279,LiberalJudaism059,5,2.53,3,2.24238588828,3
12,DorothyDay406_test,1,1.40261101723,"obedi, poverti, ave, maria, love, rosari, advent, tell, convers, scriptur",0.0509383378016,0.00536193029491,1.0,0.0,0.35,9.0,0.45,0.0214477211796,0.0,0.0,0.0,0.00268096514745,0.0160857908847,0.00268096514745,0.522788203753,0.771973101472,0.576540447136,DorothyDay406,4,4.33666666667,6,4.46441049294,3
13,DorothyDay258_test,1,1.38348293304,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.44142614601,0.757969985646,0.576023711084,DorothyDay258,4,4.70666666667,3,3.69676508423,3
14,YV50_test,1,1.40533280373,"love, attain, perfect, yoga, worship, sake, devot, god, rememb, bhakti",0.0613718411552,0.0126353790614,1.0,0.0,0.558823529412,22.0,0.647058823529,0.0523465703971,0.0,0.00361010830325,0.00541516245487,0.00361010830325,0.00361010830325,0.0108303249097,0.388086642599,0.780868179774,0.633961004212,YV50,6,4.91333333333,3,4.06163489906,2
15,AEU008_test,1,1.83024501801,"right, stand, violenc, harm, someon, ration, shop, wherev, perpetr, instanc",0.0533736153072,0.0151057401813,1.0,0.0,0.514285714286,24.0,0.685714285714,0.0211480362538,0.0221550855992,0.0,0.00805639476334,0.0,0.0,0.00704934541793,0.401812688822,0.784055293043,0.674291598416,AEU008,8,3.9,3,4.46568189263,4
16,Unitarian096_test,1,3.50062394142,"mystic, spiritu, accept, sunday, gay, radic, selfaccept, quilt, grandmoth, affirm",0.0192307692308,0.0134615384615,1.0,0.0,0.296774193548,118.0,0.761290322581,0.0192307692308,0.005,0.0457692307692,0.00346153846154,0.00961538461538,0.00846153846154,0.00807692307692,0.315384615385,0.675850802518,0.546525072543,Unitarian096,5,4.44333333333,5,4.71306483929,5
19,MalcolmX008_test,1,2.645840168,"nigeria, mecca, racism, malcolm, brotherhood, abroad, color, muslim, ghana, sincer",0.0205669816565,0.0166759310728,1.0,0.0,0.458333333333,51.0,0.708333333333,0.0105614230128,0.000555864369094,0.0322401334074,0.0111172873819,0.00667037242913,0.00111172873819,0.0100055586437,0.342968315731,0.746783182206,0.611114085611,MalcolmX008,3,3.36,3,3.53681528541,3
24,Rabbinic039_test,1,5.90553283691,"cain, thou, abel, genesi, unto, said, shall, thee, blood, sin",0.015876015876,0.021168021168,0.0,1.0,0.264705882353,184.0,0.450980392157,0.001134001134,0.00699300699301,0.01134001134,0.00585900585901,0.036666036666,0.003024003024,0.016632016632,0.203742203742,0.694806362779,0.634417365824,Rabbinic039,4,4.01666666667,4,3.99170115435,4
25,AEU010_test,1,2.36594510078,"shall, ethic, bind, moral, consecr, mere, desir, address, habit, constraint",0.0221962616822,0.018691588785,1.0,0.0,0.328571428571,41.0,0.585714285714,0.0116822429907,0.0,0.0035046728972,0.0134345794393,0.00408878504673,0.0,0.0221962616822,0.339953271028,0.730003494508,0.782806457289,AEU010,8,3.07333333333,1,4.04761640549,6
29,MehrBaba081_test,1,1.30030584335,"plane, conscious, mental, subtl, perfect, awar, unfold, suprament, scious, consci≠",0.0168776371308,0.0126582278481,1.0,0.0,0.545454545455,13.0,0.590909090909,0.00210970464135,0.0105485232068,0.0,0.0,0.0042194092827,0.0,0.0168776371308,0.331223628692,0.808712414029,0.88825246255,MehrBaba081,7,4.6,6,4.63783215829,6
