,Unnamed: 0,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,Difference
30,13,YV04,3,4.596666667,7,3.859093437,4,4
40,24,535.html,5,4.35,8,5.120134613,7,3
41,26,535.html,5,4.486666667,8,4.459291746,8,3
42,14,journal.1.12.11,5,5.2066666669999995,8,4.054318375,4,3
43,30,whats-love-got-to-do-with-it-steve-shepherd-sermon-on-christian-love-118439.asp,4,3.813333333,7,4.989119576,4,3
44,9,768.html,2,3.54,5,3.579807185,5,3
45,11,768.html,2,3.943333333,5,3.8720472339999996,5,3
46,26,768.html,2,3.68,5,2.871696917,2,3
47,27,768.html,2,4.296666667,5,3.911324647,5,3
48,26,768.html,2,3.9266666669999997,5,3.159935001,5,3
49,9,768.html,2,4.2066666669999995,5,2.8304667969999997,2,3
50,19,768.html,2,4.113333333,5,3.095999018,5,3
51,8,768.html,2,4.323333333,5,3.375106326,5,3
52,8,768.html,2,4.2,5,3.161588485,2,3
53,10,768.html,2,3.896666667,5,3.526405201,5,3
54,11,768.html,2,3.6,5,2.978670725,5,3
55,14,768.html,2,3.603333333,5,2.611026538,3,3
56,27,768.html,2,4.06,5,3.8785611810000002,5,3
57,10,768.html,2,4.026666667,5,3.958096574,5,3
58,11,768.html,2,4.413333333,5,3.3331569080000003,5,3
59,12,768.html,2,3.91,5,3.063978108,5,3
60,21,768.html,2,4.356666667,5,3.2086342360000004,2,3
61,36,768.html,2,3.1766666669999997,5,2.525585946,2,3
62,19,768.html,2,3.836666667,5,3.129342253,2,3
63,24,768.html,2,3.5266666669999998,5,2.8665719380000003,5,3
64,8,768.html,2,4.28,5,3.945613753,5,3
65,22,768.html,2,4.39,5,3.671901311,5,3
66,26,MalcolmX-AfterTheBombing,2,3.3233333330000003,5,3.5024496039999997,2,3
67,6,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.873333333,5,3.271494595,2,3
68,1,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.503333333,5,2.261705205,2,3
69,4,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.49,5,3.162849768,2,3
70,4,MalcolmX-AnAppealtoAfricanHeadsofState,2,3.2033333330000002,5,2.578763843,2,3
71,5,MalcolmX-ConfrontationWithAnExpert,2,4.856666667,5,4.639493371,5,3
72,10,MalcolmX-ConfrontationWithAnExpert,2,4.006666667,5,4.112535307,5,3
73,6,MalcolmX-ConfrontationWithAnExpert,2,4.273333333,5,4.108224762,5,3
74,8,MalcolmX-ConfrontationWithAnExpert,2,4.08,5,4.442026567,5,3
75,12,MalcolmX-ConfrontationWithAnExpert,2,3.61,5,4.0747481180000005,5,3
76,10,MalcolmX-ConfrontationWithAnExpert,2,3.903333333,5,3.7909125360000004,5,3
77,6,MalcolmX-ConfrontationWithAnExpert,2,4.046666667,5,3.3905852139999997,5,3
78,6,MalcolmX-ConfrontationWithAnExpert,2,4.493333333,5,4.353592332,5,3
79,9,MalcolmX-ConfrontationWithAnExpert,2,4.123333333,5,4.095870737,5,3
80,9,MalcolmX-ConfrontationWithAnExpert,2,4.686666667,5,3.9920293310000003,3,3
81,11,MalcolmX-ConfrontationWithAnExpert,2,4.276666667,5,3.923685603,5,3
82,7,MalcolmX-ConfrontationWithAnExpert,2,4.33,5,4.477221601,5,3
83,6,MalcolmX-ConfrontationWithAnExpert,2,3.806666667,5,4.673946557,5,3
84,21,MalcolmX-LastAnswersAndInterviews,2,3.0066666669999997,5,3.7018125289999997,3,3
85,14,MalcolmX-TheBallotortheBullet,2,4.216666667,5,3.964177908,5,3
86,19,MalcolmX-TheBallotortheBullet,2,3.903333333,5,3.6060880739999996,5,3
87,17,MalcolmX-TheBallotortheBullet,2,3.8033333330000003,5,3.742741107,2,3
88,15,MalcolmX-TheBallotortheBullet,2,4.296666667,5,4.125972703,2,3
89,18,MalcolmX-TheBallotortheBullet,2,4.846666667,5,3.936593775,5,3
90,19,MalcolmX-TheBallotortheBullet,2,4.153333333,5,3.839906037,5,3
91,24,MalcolmX-TheBlackRevolution,2,4.143333333,5,4.076178661,3,3
92,30,MalcolmX-TheBlackRevolution,2,3.54,5,3.94685613,3,3
93,43,MalcolmX-TheBlackRevolution,2,4.123333333,5,4.589529316,5,3
94,33,MalcolmX-TheBlackRevolution,2,4.953333333,5,4.062730851,5,3
95,10,piper94 07-10-94,2,3.843333333,5,3.422465297,3,3
96,5,piper94 07-10-94,2,4.2533333330000005,5,3.3890809639999997,3,3
97,9,piper94 07-10-94,2,4.173333333,5,4.203582900000001,4,3
98,9,piper94 07-10-94,2,3.72,5,3.7438776060000003,3,3
99,12,piper94 07-10-94,2,3.5533333330000003,5,3.544818668,3,3
100,11,piper94 07-10-94,2,3.9933333330000003,5,3.3971232419999997,3,3
101,9,piper94 07-10-94,2,3.7833333330000003,5,3.35820323,3,3
102,11,piper94 07-10-94,2,3.556666667,5,2.8896799669999997,2,3
103,8,piper94 07-10-94,2,3.726666667,5,3.390384301,3,3
104,7,piper94 07-10-94,2,3.91,5,3.3672479810000002,3,3
105,7,piper94 07-10-94,2,3.626666667,5,3.83187236,3,3
106,10,piper94 07-10-94,2,3.726666667,5,3.682669888,3,3
