,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
5,SS14_test,1,1.40630912781,"vessel, thunder, poacher, crew, chase, gear, endur, illeg, monday, rescu",0.0356234096692,0.030534351145,1.0,0.0,0.47619047619,17.0,0.809523809524,0.0814249363868,0.00508905852417,0.0,0.0101781170483,0.0,0.0152671755725,0.00254452926209,0.820726981541,0.647116918527,SS14,125,3,3.46,2,3.91329128801,5
10,651.html_test,1,1.60046601295,"sudden, ask, job, met, simm, knew, policeman, polic, household, obituari",0.0180921052632,0.0180921052632,0.0,1.0,0.411764705882,27.0,0.794117647059,0.00986842105263,0.0,0.00328947368421,0.00986842105263,0.0740131578947,0.0180921052632,0.00657894736842,0.811280887456,0.599278229852,651.html,39,4,3.25333333333,3,4.18251233907,3
15,ACLU03_test,1,2.00789690018,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.751895926199,0.47666167497,ACLU03,141,3,4.06666666667,4,3.40914476719,3
29,piper94 07-10-94_test,1,4.08878302574,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.725212215329,0.636675363489,piper94 07-10-94,54,2,3.60666666667,4,3.43621790516,4
30,"2006-04-09 Jesus, Rev. Mark Belletini.PDF_test",1,5.3096101284,"jesus, say, opinion, johnson, justic, ohio, pastor, seem, gospel, stake",0.02332433096,0.0203780996808,1.0,0.0,0.253787878788,152.0,0.575757575758,0.0127670022097,0.00515590473852,0.00883869383747,0.00613798183157,0.0235698502332,0.000982077093052,0.00736557819789,0.675219018185,0.584605724449,"2006-04-09 Jesus, Rev. Mark Belletini.PDF",106,6,3.41333333333,3,3.57254637211,3
48,ACLU05_test,1,1.89821600914,"mohamedou, prison, guantánamo, tortur, unlaw, mauritania, memoir, privaci, thrill, slahi",0.0309523809524,0.0297619047619,1.0,0.0,0.547619047619,34.0,0.809523809524,0.0261904761905,0.0,0.00595238095238,0.00119047619048,0.047619047619,0.00119047619048,0.00595238095238,0.69369156751,0.554392760686,ACLU05,143,3,3.48,3,3.93369771992,3
52,SS02_test,1,1.39016103745,"turtl, shepherd, save, gift, donat, pollut, jairo, campaign, amaz, threat",0.0376811594203,0.0231884057971,1.0,0.0,0.882352941176,15.0,0.882352941176,0.0463768115942,0.0231884057971,0.0,0.00579710144928,0.0,0.0,0.0,0.671868044439,0.437062563421,SS02,113,1,3.51,2,3.14945273805,2
54,SS09_test,1,1.29530787468,"shepherd, pamela, anderson, seal, slaughter, babi, orca, whale, newfoundland, salmon",0.0155763239875,0.0155763239875,0.0,1.0,0.818181818182,10.0,0.909090909091,0.018691588785,0.0,0.00934579439252,0.0,0.0,0.0249221183801,0.00311526479751,0.804362333839,0.609438581614,SS09,120,2,2.86,3,3.06393203702,3
60,piper2k 3-5-00_test,1,3.12874388695,"timothi, scriptur, vers, exult, sacr, bibl, christ, persecut, say, stay",0.0343158820941,0.0118785745711,1.0,0.0,0.341463414634,92.0,0.560975609756,0.0189177298724,0.0250769907611,0.0101187857457,0.00923889133304,0.0118785745711,0.0,0.010558732952,0.639543523656,0.70970737575,piper2k 3-5-00,42,3,4.22666666667,3,3.58839852956,3
61,journal.02.06.10_test,1,1.7040579319,"princess, matchabelli, meher, master, usa, baba, princ, spiritu, norina, miracl",0.0433566433566,0.00699300699301,1.0,0.0,0.555555555556,20.0,0.740740740741,0.0013986013986,0.0013986013986,0.0,0.0111888111888,0.0223776223776,0.020979020979,0.0041958041958,0.752301407659,0.713404162438,journal.02.06.10,63,3,4.18,4,4.21296112874,4
64,YV05_test,1,2.56828904152,"want, yogavill, guidelin, get, smoke, whi, don't, anyth, benefit, here",0.0372272143774,0.0224646983312,1.0,0.0,0.335664335664,101.0,0.706293706294,0.0166880616175,0.0590500641849,0.0141206675225,0.0109114249037,0.0,0.0,0.0115532734275,0.696602724031,0.628187391097,YV05,130,4,3.2,2,3.27055837962,3
65,piper97 10-19-97_test,1,3.11362099648,"coven, shepherd, god, vers, etern, grace, christ, pleas, want, glori",0.0310734463277,0.0193032015066,1.0,0.0,0.406504065041,81.0,0.658536585366,0.0235404896422,0.0287193973635,0.0112994350282,0.00141242937853,0.0338983050847,0.0,0.00706214689266,0.632491112462,0.623267788082,piper97 10-19-97,57,3,3.67666666667,3,3.21753936619,3
66,piper92 09-27-92_test,1,3.54296398163,"christ, gentil, reconcil, jew, god, israel, coven, glori, promis, jesus",0.0179290157336,0.0135382363703,1.0,0.0,0.467625899281,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.685398812392,0.843150970135,piper92 09-27-92,53,1,3.12666666667,3,2.66043454291,4
69,piper85 pn850026_test,1,1.71045517921,"grace, god, welltim, christ, priest, let, know, lord, templ, tomorrow",0.0267094017094,0.0160256410256,1.0,0.0,0.204081632653,12.0,0.244897959184,0.0213675213675,0.025641025641,0.0106837606838,0.00213675213675,0.0192307692308,0.0,0.00320512820513,0.753288917291,0.639940519154,piper85 pn850026,48,3,3.47666666667,4,3.20589970653,3
81,wgV2n3-2_test,1,1.76975917816,"brother, avatar, savior, dawn, fear, inhuman, lord, selfish, pain, save",0.04625,0.03375,1.0,0.0,0.826086956522,21.0,0.913043478261,0.09125,0.0,0.00125,0.0,0.03,0.0,0.005,0.758871939654,0.624718088698,wgV2n3-2,70,5,3.59666666667,2,3.8413639963,5
91,piper85 pn850027_test,1,3.88076996803,"corinthian, enslav, thing, drink, whi, say, conscienc, spirit, stomach, immor",0.0242326332795,0.0142164781906,1.0,0.0,0.292237442922,157.0,0.716894977169,0.0132471728595,0.0222940226171,0.0168012924071,0.00743134087237,0.0210016155089,0.00032310177706,0.0158319870759,0.688740671031,0.66117322778,piper85 pn850027,49,5,4.09666666667,2,3.89819978127,5
94,SS05_test,1,1.83727788925,"seaworld, hsus, orca, manbi, pacell, keiko, condemn, profit, will, dolphin",0.0275229357798,0.0336391437309,0.0,1.0,0.456140350877,34.0,0.59649122807,0.00407747196738,0.0,0.00407747196738,0.0346585117227,0.0112130479103,0.0,0.00917431192661,0.679865794645,0.531921212903,SS05,116,2,2.82,3,2.28482434291,3
97,ACLU07_test,1,2.31278896332,"camp, polic, dakota, protector, morton, surveil, pipelin, sheriff, roadblock, vehicl",0.0102702702703,0.0151351351351,0.0,1.0,0.391304347826,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.0113513513514,0.00108108108108,0.0,0.00594594594595,0.5828831426,0.723923388205,ACLU07,145,3,2.94,3,2.67046263413,3
98,YV03_test,1,1.52719688416,"yantra, triangl, manifest, crystal, dot, express, bindhu, mantra, kalaa, shanthi",0.0114942528736,0.00287356321839,1.0,0.0,0.3,23.0,0.46,0.00431034482759,0.0100574712644,0.0014367816092,0.00862068965517,0.0014367816092,0.0014367816092,0.0244252873563,0.752451156322,0.706460240765,YV03,128,3,4.03666666667,3,3.79260631777,3
100,564.html_test,1,1.5653488636,"loneli, worker, farm, quarrel, dispel, ward, appeal, erupt, prison, grace",0.0343878954608,0.0275103163686,1.0,0.0,0.333333333333,28.0,0.622222222222,0.0316368638239,0.00687757909216,0.0110041265475,0.00275103163686,0.0041265474553,0.0041265474553,0.0137551581843,0.771607131866,0.469079468926,564.html,38,3,4.07,4,3.63590941035,3
101,768.html_test,1,1.49720287323,"money, profit, tri, worker, sing, deem, forbad, matthew, insofar, duti",0.0206677265501,0.0143084260731,1.0,0.0,0.636363636364,18.0,0.818181818182,0.0683624801272,0.00635930047695,0.0,0.00476947535771,0.00158982511924,0.0,0.00794912559618,0.816178722642,0.592524274517,768.html,40,2,3.86333333333,2,3.55674241023,2
103,MalcolmX-TheBlackRevolution_test,1,4.79713487625,"negro, solv, socal, malcolm, sam, black, want, uncl, civilright, get",0.0209185993633,0.0163710777626,1.0,0.0,0.260330578512,154.0,0.636363636364,0.0118235561619,0.0161437016826,0.00591177808095,0.012278308322,0.0181900864029,0.00204638472033,0.012278308322,0.7165923404,0.68208128063,MalcolmX-TheBlackRevolution,85,2,3.41333333333,2,3.55704362184,3
104,188.html_test,1,1.84818506241,"christ, rememb, hope, unto, shall, worker, mighti, coffe, pull, fortif",0.0217391304348,0.0217391304348,0.0,1.0,0.415094339623,43.0,0.811320754717,0.0239130434783,0.0184782608696,0.00978260869565,0.00978260869565,0.0173913043478,0.0,0.0141304347826,0.786866400305,0.691311412199,188.html,27,3,2.84666666667,3,2.19641985412,2
107,piper81 071981m_test,1,4.45658397675,"drink, jesus, thirst, let, feast, christ, bless, tast, fulfil, god",0.0269186712486,0.0194730813288,1.0,0.0,0.502673796791,152.0,0.812834224599,0.0398052691867,0.00630011454754,0.0128865979381,0.00601374570447,0.0292096219931,0.00028636884307,0.0151775486827,0.738378481248,0.611053533494,piper81 071981m,46,5,3.88,5,4.12277917422,5
108,YV12_test,1,1.25960898399,"yantra, medit, faith, yoga, cosmos, divin, petal, path, express, god",0.037037037037,0.00617283950617,1.0,0.0,0.411764705882,7.0,0.411764705882,0.00617283950617,0.00617283950617,0.0,0.00617283950617,0.00617283950617,0.0,0.0154320987654,0.836939449065,0.608677116584,YV12,137,6,4.56666666667,4,4.54304484343,4
109,"2015-07-05 Privilege Unpacking the Knapsack, Morgan Patten_test",1,2.47406101227,"privileg, realli, joke, talk, felt, miss, thing, kid, crimin, ticket",0.0179597701149,0.0280172413793,0.0,1.0,0.472527472527,83.0,0.912087912088,0.00862068965517,0.0114942528736,0.0646551724138,0.0100574712644,0.010775862069,0.000718390804598,0.0172413793103,0.707976716405,0.597191696742,"2015-07-05 Privilege Unpacking the Knapsack, Morgan Patten",111,3,3.17333333333,2,3.21434082544,2
