,word,count
111,not,40
300,when,21
304,human,16
393,other,15
57,more,14
290,so,14
79,such,13
275,same,12
185,most,12
394,poor,11
202,only,10
238,many,10
101,good,10
22,spiritual,10
309,also,9
29,even,9
400,ago,9
100,then,8
253,political,8
152,corporal,7
