,word,count
134,not,39
60,illegal,30
64,more,23
329,also,19
146,fish,19
310,costa,17
57,rican,17
408,other,15
406,when,15
376,long,13
374,few,12
265,many,12
135,now,11
319,just,11
316,very,11
243,where,9
107,so,9
30,even,9
400,as,8
213,why,8
