,word,count
268,not,197
814,jewish,109
863,when,58
469,only,49
222,so,47
687,just,44
867,other,40
428,most,39
258,then,36
141,more,35
327,american,33
796,own,29
87,here,26
188,how,26
65,even,21
695,human,21
329,first,21
85,never,20
259,good,20
557,many,19
