,word,count
559,not,145
181,so,63
707,when,59
110,more,53
642,other,42
393,only,42
217,good,41
569,now,34
662,much,32
453,many,31
352,also,30
629,how,30
644,own,29
696,as,27
418,where,27
556,just,26
216,then,25
74,here,23
359,most,22
166,such,22
