,word,count
334,human,41
127,not,26
431,when,20
200,most,16
432,other,15
85,how,13
123,good,12
30,spiritual,12
103,so,11
421,universal,11
40,even,11
66,more,9
382,own,9
300,same,9
194,also,9
46,new,8
226,international,8
311,evil,8
11,religious,7
161,first,7
