,word,count
524,not,158
650,when,63
143,so,61
91,more,47
656,poor,45
351,only,43
69,great,35
413,many,32
380,where,32
48,even,31
653,other,31
255,too,30
138,such,28
170,good,27
122,how,27
640,as,26
441,much,26
180,now,25
509,well,25
169,then,24
