,word,count
135,not,97
461,when,62
93,how,44
130,then,43
27,spiritual,33
194,happy,29
34,even,29
359,just,27
219,why,26
425,there,25
208,also,22
210,so,21
260,away,21
338,same,20
241,only,19
183,painful,18
462,other,17
445,more,17
148,really,16
43,here,15
