,word,count
148,not,39
40,new,30
373,human,24
486,other,22
111,such,18
74,more,15
27,spiritual,14
487,sick,14
434,own,14
483,when,13
52,strong,13
298,many,12
235,most,12
36,even,12
460,true,11
70,only,11
2,global,10
106,how,9
346,same,9
149,now,9
