,word,count
205,not,148
315,so,55
137,how,45
656,when,39
355,only,35
196,good,34
105,more,34
274,too,30
268,little,28
419,many,27
47,even,26
65,here,26
324,most,25
206,now,24
384,where,23
212,always,23
659,other,22
441,much,21
259,first,19
514,just,18
