,word,count
247,not,150
646,when,71
308,so,62
90,great,53
629,thy,42
249,now,40
239,then,39
63,even,37
814,other,35
245,ye,29
652,unto,28
136,more,28
436,only,28
521,last,27
317,first,27
758,there,26
706,dead,25
86,here,24
197,such,24
474,where,21
