"","Var1","Freq"
"343","nt",0.00207374081754596
"331","new",0.0018980000702963
"342","now",0.00168711117359671
"142","etern",0.00151137042634705
"21","also",0.00126533338019753
"265","just",0.00119503708129767
"169","first",0.00115988893184774
"202","great",0.00108959263294788
"442","righteou",0.00105444448349794
"492","spiritu",0.000878703736248287
"218","holi",0.000808407437348424
"539","true",0.000738111138448561
"146","even",0.000667814839548698
"199","good",0.000597518540648835
"252","instead",0.000597518540648835
"441","right",0.000597518540648835
"303","mani",0.000562370391198903
"330","never",0.000562370391198903
"99","dead",0.000527222241748972
"109","differ",0.000527222241748972
