"","Var1","Freq"
"376","nt",0.00318400592373195
"374","now",0.00203628285820067
"225","good",0.00181414291003332
"611","whole",0.00174009626064421
"160","etern",0.0012217697149204
"162","even",0.00111069974083673
"455","realli",0.00107367641614217
"191","first",0.00103665309144761
"1","abl",0.000962606442058497
"296","just",0.000851536467974824
"312","littl",0.000851536467974824
"230","great",0.000814513143280267
"347","much",0.000814513143280267
"474","second",0.000777489818585709
"542","therefor",0.000777489818585709
"68","back",0.000703443169196594
"112","dead",0.000703443169196594
"562","true",0.000703443169196594
"608","well",0.000666419844502036
"251","human",0.000592373195112921
