"","Var1","Freq"
"239","good",0.00183456967376565
"388","now",0.00179468772433597
"389","nt",0.00171492382547659
"177","evil",0.00147563212889846
"174","even",0.00131610433117971
"245","great",0.00111669458403127
"315","just",0.00111669458403127
"377","new",0.00103693068517189
"205","first",0.000837520938023451
"61","awai",0.000797638988593762
"29","also",0.000757757039164074
"66","back",0.000717875089734386
"323","last",0.000717875089734386
"332","littl",0.000677993140304698
"538","strong",0.000677993140304698
"585","togeth",0.00063811119087501
"376","never",0.000598229241445322
"573","therefor",0.000558347292015634
"132","dead",0.000518465342585946
"347","mani",0.000518465342585946
