"","Var1","Freq"
"242","good",0.00192573214155948
"208","first",0.00148971731705545
"403","now",0.00134437904222077
"404","nt",0.00134437904222077
"247","great",0.00127170990480343
"183","even",0.00119904076738609
"316","just",0.00119904076738609
"352","mani",0.000799360511590727
"394","next",0.000763025942882058
"503","right",0.000763025942882058
"681","yet",0.000690356805464719
"514","second",0.00065402223675605
"312","jehoshaphat",0.000545018530630041
"322","last",0.000508683961921372
"374","much",0.000508683961921372
"613","true",0.000508683961921372
"18","also",0.000472349393212703
"99","common",0.000472349393212703
"185","ever",0.000472349393212703
"549","sovereign",0.000472349393212703
