"","Var1","Freq"
"353","nt",0.00264453395174743
"208","great",0.0018308311973636
"351","now",0.00158672037104846
"206","good",0.00126123926929493
"273","just",0.00117986899385654
"438","realli",0.00109849871841816
"424","public",0.00105781358069897
"531","sure",0.000976443305260588
"141","etern",0.000895073029822206
"144","even",0.000895073029822206
"17","also",0.000854387892103015
"176","first",0.000854387892103015
"541","therefor",0.000854387892103015
"468","second",0.000813702754383824
"43","back",0.000732332478945441
"456","rich",0.00069164734122625
"458","right",0.00069164734122625
"337","never",0.000650962203507059
"145","ever",0.000610277065787868
"293","long",0.000610277065787868
