"","Var1","Freq"
"260","great",0.00205058099794942
"434","now",0.00192995858630534
"222","first",0.001447468939729
"436","nt",0.00136705399863295
"341","just",0.00112580917534478
"389","mani",0.00108560170479675
"188","even",0.00104539423424872
"67","back",0.000964979293152668
"521","right",0.000844356881508584
"624","therefor",0.000844356881508584
"257","good",0.000804149410960556
"537","second",0.000683526999316473
"25","also",0.000643319528768445
"510","realli",0.000603112058220417
"412","much",0.00056290458767239
"127","coven",0.000522697117124362
"190","ever",0.000522697117124362
"219","final",0.000522697117124362
"347","last",0.000522697117124362
"286","histor",0.000482489646576334
