"","Var1","Freq"
"366","just",0.00147416525392496
"443","new",0.00136360285988059
"502","poor",0.00136360285988059
"452","nt",0.0012161863344881
"428","much",0.00114247807179185
"402","mani",0.00110562394044372
"244","first",0.0010687698090956
"450","now",0.0010687698090956
"281","great",0.00103191567774748
"550","realli",0.00103191567774748
"51","around",0.000884499152354979
"210","even",0.000884499152354979
"672","true",0.000884499152354979
"395","love",0.000773936758310607
"390","long",0.000700228495614358
"28","also",0.000663374364266234
"442","never",0.00062652023291811
"65","awai",0.000589666101569986
"22","aliv",0.000552811970221862
"211","ever",0.000515957838873738
