"","Var1","Freq"
"334","nt",0.00268601667735728
"166","first",0.00224502886465683
"332","now",0.00208466966003849
"96","dead",0.0017639512508018
"462","spiritu",0.00172386144964721
"196","good",0.00168377164849262
"478","therefor",0.00132296343810135
"19","also",0.001162604233483
"140","even",0.00100224502886466
"254","just",0.000922065426555484
"184","fulli",0.000841885824246312
"199","great",0.000841885824246312
"288","mani",0.000761706221937139
"425","second",0.000761706221937139
"158","fast",0.000721616420782553
"322","new",0.000721616420782553
"488","togeth",0.000721616420782553
"553","yet",0.000681526619627967
"12","aliv",0.00064143681847338
"39","awai",0.000601347017318794
