"","Var1","Freq"
"456","spiritu",0.00233737596471885
"327","now",0.00189636163175303
"329","nt",0.00167585446527012
"269","just",0.00158765159867696
"172","first",0.00141124586549063
"211","great",0.00127894156560088
"209","good",0.00105843439911797
"503","togeth",0.000970231532524807
"25","also",0.000882028665931643
"229","holi",0.000793825799338479
"7","accept",0.000749724366041896
"146","etern",0.000705622932745314
"275","last",0.000705622932745314
"320","new",0.000705622932745314
"461","straight",0.000705622932745314
"490","therefor",0.000705622932745314
"52","back",0.000661521499448732
"147","even",0.00061742006615215
"509","true",0.00061742006615215
"296","mani",0.000573318632855568
