"","Var1","Freq"
"390","nt",0.00184754345148488
"388","now",0.00174490214862461
"312","just",0.00164226084576434
"241","great",0.00147119200766388
"195","first",0.00123169563432325
"401","old",0.000992199260982619
"268","human",0.000923771725742439
"464","realli",0.000889557958122348
"17","also",0.000718489120021897
"164","etern",0.000718489120021897
"235","good",0.000718489120021897
"443","present",0.000718489120021897
"475","right",0.000718489120021897
"44","awai",0.000684275352401806
"379","new",0.000684275352401806
"346","mani",0.000650061584781716
"377","never",0.000650061584781716
"167","even",0.000615847817161626
"490","second",0.000581634049541536
"130","differ",0.000547420281921445
