"","Var1","Freq"
"365","nt",0.00270790000392449
"364","now",0.00207998116243476
"295","just",0.00192300145206232
"183","first",0.00153055217613123
"216","good",0.00149130724853813
"514","spiritu",0.00141281739335191
"219","great",0.00117734782779326
"401","perfect",0.00117734782779326
"57","awai",0.00109885797260704
"356","new",0.00102036811742082
"458","right",0.000941878262234606
"470","second",0.000902633334641498
"546","therefor",0.000784898551862172
"29","also",0.000745653624269063
"316","long",0.000667163769082846
"300","last",0.000627918841489737
"354","never",0.000627918841489737
"117","deep",0.000588673913896629
"326","mani",0.000588673913896629
"567","true",0.000588673913896629
