"","Var1","Freq"
"419","nt",0.00260969414384634
"418","now",0.00215734715891298
"255","good",0.00198336754932322
"332","just",0.00184418386165141
"216","first",0.00160061240822576
"192","even",0.00125265318904624
"208","fals",0.00104387765753854
"409","never",0.00104387765753854
"236","full",0.000939489891784683
"258","great",0.000939489891784683
"525","right",0.00086989804794878
"720","yet",0.00086989804794878
"197","evil",0.000835102126030829
"275","holi",0.000835102126030829
"338","last",0.000835102126030829
"137","dead",0.000730714360276976
"368","mani",0.000730714360276976
"411","new",0.000730714360276976
"29","also",0.000695918438359024
"621","therefor",0.000695918438359024
