,word,count
125,not,79
119,then,54
399,when,33
120,good,33
25,even,29
250,many,26
99,so,26
308,just,22
130,always,21
287,same,21
161,little,21
214,only,20
20,spiritual,18
400,other,18
305,very,18
85,how,16
396,physical,15
33,here,15
201,why,15
38,great,14
