,word,count
135,not,86
486,when,59
106,so,40
225,why,37
241,only,36
65,more,34
337,same,30
29,even,29
128,then,26
20,spiritual,26
487,other,24
286,many,19
432,own,19
369,just,18
217,also,18
222,most,17
88,how,16
129,good,15
333,different,14
15,entire,14
