,word,count
270,not,160
918,when,69
695,thy,59
216,so,58
272,now,45
727,unto,44
255,then,44
76,even,40
438,also,39
186,how,36
895,more,36
920,other,33
100,here,32
203,such,32
110,great,31
837,own,29
490,only,29
144,therefore,26
575,last,22
42,very,21
