,word,count
211,not,160
700,when,84
171,so,59
709,poor,53
443,many,43
404,where,40
378,only,37
106,more,32
212,now,32
199,then,31
564,other,29
76,great,28
636,own,28
147,how,28
201,good,28
487,last,24
85,social,24
217,always,23
690,as,23
265,first,23
