,word,count
43,not,32
225,so,15
193,when,14
47,always,12
128,little,12
44,now,11
141,too,11
23,only,10
31,good,10
0,just,9
94,here,8
210,such,6
86,ever,6
118,own,6
116,other,6
196,how,6
203,even,6
109,many,6
144,more,5
228,very,5
