,word,count
160,not,35
421,other,28
414,when,27
386,same,27
417,human,20
153,then,16
110,how,15
282,only,12
512,more,12
412,just,12
525,together,11
20,very,11
229,white,10
228,too,10
41,even,10
130,so,9
161,now,9
154,good,8
524,single,8
527,physical,8
