,word,count
245,not,160
766,jewish,117
741,own,52
809,when,52
430,only,50
812,other,43
130,more,39
388,most,38
174,how,32
301,american,30
203,so,28
628,just,27
234,then,22
27,very,21
65,even,21
538,much,20
230,actually,20
582,different,20
495,never,20
374,able,19
