,word,count
254,not,154
686,when,76
255,now,68
697,unto,47
208,so,44
419,also,40
194,such,35
60,even,34
854,more,34
88,great,33
74,ever,29
560,many,27
882,other,26
24,very,26
175,how,25
508,where,24
240,then,24
469,only,24
558,last,22
242,good,20
