,word,count
49,not,31
51,now,24
184,more,13
185,danish,12
229,japanese,12
278,so,10
244,other,10
240,when,10
169,illegal,10
107,new,9
20,just,9
254,southern,8
116,never,8
13,yet,7
130,last,7
146,first,6
259,such,6
256,most,6
22,how,5
28,only,5
