term,freq,idf,logidf
,18,882.0,6.78219205601
kalmar,55,288.654545455,5.66523062867
rickman,58,273.724137931,5.61212080336
multi-point,17,933.882352941,6.83935046985
jiankang,10,1587.6,7.36997872091
henstridg,12,1323.0,7.18765716411
rebel,2188,7.25594149909,1.98182065036
gainsbourg,29,547.448275862,6.30526798392
mclaurin,12,1323.0,7.18765716411
blassi,12,1323.0,7.18765716411
abdoulay,10,1587.6,7.36997872091
chongxi,11,1443.27272727,7.2746685411
benedikt,37,429.081081081,6.06164590126
expeditionari,476,33.3529411765,3.50714595967
sylver,13,1221.23076923,7.10761445644
meteorologist,145,109.489655172,4.69583007148
jidaigeki,12,1323.0,7.18765716411
constantinopolitan,19,835.578947368,6.72812483474
baladi,11,1443.27272727,7.2746685411
balada,22,721.636363636,6.58152136054
architecton,24,661.5,6.49450998356
marquett,100,158.76,5.06739362791
jebusit,12,1323.0,7.18765716411
num.cohen,11,1443.27272727,7.2746685411
stoicism,52,305.307692308,5.72132009532
fir,179,88.6927374302,4.48517800806
fis,46,345.130434783,5.84392241741
fip,22,721.636363636,6.58152136054
fit,4710,3.37070063694,1.21512062689
fiu,14,1134.0,7.03350648429
fix,3580,4.43463687151,1.48944573451
fib,21,756.0,6.62804137618
fia,110,144.327272727,4.97208344811
fig,291,54.5567010309,3.99924054673
fie,23,690.260869565,6.53706959797
fin,456,34.8157894737,3.55007100439
fio,29,547.448275862,6.30526798392
fil,88,180.409090909,5.19522699942
fim,23,690.260869565,6.53706959797
wooden,1738,9.13463751438,2.21207350808
verkehrsverbund,14,1134.0,7.03350648429
zuid,11,1443.27272727,7.2746685411
lapua,15,1058.4,6.9645136128
sadhu,21,756.0,6.62804137618
gentzen,10,1587.6,7.36997872091
pinakothek,14,1134.0,7.03350648429
berwick,80,198.45,5.29053717923
skanderbeg,23,690.260869565,6.53706959797
vaca,39,407.076923077,6.00900216777
banksid,14,1134.0,7.03350648429
sepecat,18,882.0,6.78219205601
african-australian,12,1323.0,7.18765716411
viscer,105,151.2,5.01860346375
evangelo,22,721.636363636,6.58152136054
maj.,217,73.1612903226,4.29266646036
majo,10,1587.6,7.36997872091
maje,17,933.882352941,6.83935046985
maja,39,407.076923077,6.00900216777
otello,34,466.941176471,6.14620328929
restaur,2177,7.29260450161,1.98686075267
xlvii,51,311.294117647,5.74073818118
quintess,48,330.75,5.801362803
almon,18,882.0,6.78219205601
zahlen,13,1221.23076923,7.10761445644
doran,111,143.027027027,4.96303361259
disciplina,21,756.0,6.62804137618
froes,10,1587.6,7.36997872091
num.monmouth,12,1323.0,7.18765716411
month-long,153,103.764705882,4.64212589251
giessen,25,635.04,6.45368798903
sims-william,12,1323.0,7.18765716411
fibroblast,30,529.2,6.27136643224
remand,101,157.188118812,5.05744329706
hydromorphon,14,1134.0,7.03350648429
waterboard,21,756.0,6.62804137618
numjun,25,635.04,6.45368798903
shiit,104,152.653846154,5.02817291476
