,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,24.439961195,"we, you, s, my, don, your, christ, me, get, our, t, god, love, preach, ill",0.037921350216,0.0218621758433,0.9,0.1,0.063343602333,0.563801527847,0.653444848826,0.595686660071,Shepherd,4,4.7,4.01365188386
4,Shepherd_test9,10,24.206291914,"we, you, s, me, my, your, our, don, christ, happi, t, ill, want, spirit, get",0.0334412381791,0.0225781827529,0.9,0.1,0.0525895961241,0.57114037631,0.656347999915,0.565905401261,Shepherd,4,4.3,3.90076152319
5,Shepherd_test0,10,26.540733099,"we, you, s, my, your, want, don, get, me, sin, our, t, christ, know, ask",0.0285569874569,0.022214045067,0.8,0.2,0.0693527271933,0.599542796762,0.670662680154,0.746783606919,Shepherd,4,3.3,3.4768224899
8,Shepherd_test10,10,25.6471951008,"we, you, your, my, christ, s, me, get, troubl, don, our, ill, rememb, want, ask",0.0326576519217,0.0199193063382,1.0,0.0,0.084274008375,0.680212687209,0.677682231979,0.628949462346,Shepherd,4,3.6,3.65175936949
14,Shepherd_test20,10,23.6630830765,"we, you, s, your, my, christ, me, don, god, get, our, walk, know, want, ask",0.0320031966498,0.022532474905,0.7,0.3,0.0712123212986,0.614985838663,0.662466503973,0.659070170011,Shepherd,4,4.0,4.05349470138
15,Shepherd_test6,10,23.9362142086,"we, you, your, me, s, my, don, get, want, preach, ill, t, our, let, listen",0.0308170099531,0.025218998568,0.6,0.4,0.0684449150104,0.593044273175,0.638522596928,0.506243421738,Shepherd,4,4.0,3.92764037533
20,Shepherd_test16,10,24.4782109261,"you, we, your, s, my, me, don, get, t, our, want, ask, heaven, love, fear",0.0396816726131,0.0211369065505,1.0,0.0,0.0523987004613,0.59899568966,0.648036556045,0.555525413572,Shepherd,4,4.4,3.85410216599
22,Shepherd_test19,10,23.1636650562,"we, you, your, s, me, get, my, want, walk, god, christ, sin, our, ill, ask",0.0341790485401,0.0212987060206,1.0,0.0,0.0713012204552,0.600080666208,0.592249432833,0.633981003847,Shepherd,4,4.0,4.10725434691
29,Shepherd_test14,10,23.0507659912,"we, you, your, me, s, don, christ, my, get, want, our, know, t, worship, sin",0.031783772451,0.0207575996528,0.9,0.1,0.0688814854001,0.638302708984,0.656325046258,0.579022858417,Shepherd,4,4.0,4.09747094773
30,Shepherd_test4,10,22.9228417873,"you, we, me, my, your, s, get, don, thank, christ, ask, our, t, pray, know",0.0369722623566,0.0183333150397,0.9,0.1,0.0569734778704,0.634926452741,0.656334699871,0.618753250208,Shepherd,4,4.0,3.68520451775
31,Shepherd_test8,10,24.4584708214,"you, we, your, my, me, don, s, pray, get, t, ill, want, our, ask, christ",0.0303718103029,0.019376636131,0.9,0.1,0.0704567445854,0.612481502937,0.683497904889,0.68174207797,Shepherd,4,4.0,3.71933077539
33,Shepherd_test3,10,24.9488191605,"we, you, your, my, me, s, want, don, ask, god, get, love, our, christ, know",0.0369648176866,0.0222811474293,0.9,0.1,0.0644495628112,0.643844576241,0.707615499818,0.700225754918,Shepherd,4,4.0,3.48035324797
36,Shepherd_test13,10,24.5201060772,"you, we, your, my, s, me, don, preach, want, know, christ, our, t, god, get",0.035159870267,0.0211534617552,0.9,0.1,0.0468109538345,0.580671421697,0.702298561547,0.616361017799,Shepherd,4,4.0,3.74178652383
44,Shepherd_test21,10,25.0565857887,"we, you, me, s, your, my, ask, get, our, preacher, don, want, god, t, said",0.0334079852118,0.0201639416911,0.8,0.2,0.0688753793815,0.607677242641,0.654499468627,0.565051074318,Shepherd,4,4.0,4.0598494827
45,Shepherd_test1,10,26.3095958233,"you, we, your, s, me, my, devil, know, satan, don, sin, get, want, christ, our",0.0298983579915,0.0272607893034,0.7,0.3,0.0738180491593,0.618322446966,0.701804371416,0.638208423817,Shepherd,4,3.75,4.27666093348
49,Shepherd_test11,10,22.2004680634,"you, we, my, your, s, me, christ, don, our, want, tell, ill, someon, ask, t",0.0315041160621,0.0218987088576,0.7,0.3,0.0576514306708,0.586820727597,0.670951365522,0.671845020541,Shepherd,4,4.0,3.99328808875
55,Shepherd_test18,10,24.367923975,"we, you, me, s, your, my, rememb, get, don, want, our, god, sin, bless, ill",0.0361796089722,0.0219933863069,0.8,0.2,0.0669243246556,0.621697351152,0.665056514035,0.676633977641,Shepherd,4,4.0,3.94978414321
58,Shepherd_test7,10,25.3617758751,"you, we, my, your, s, me, christ, our, love, ill, said, god, get, let, don",0.0317454697274,0.0213518436517,0.8,0.2,0.0543112029336,0.576529109701,0.639283814787,0.520685742683,Shepherd,4,4.3,3.93532270343
63,Shepherd_test17,10,24.6032471657,"you, we, your, my, s, me, get, sin, don, thank, ask, our, bless, god, grace",0.0378286008434,0.023693260211,0.8,0.2,0.0748076022446,0.622177099921,0.64963908764,0.691023931242,Shepherd,4,4.3,4.11760548957
