,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,5,9.40689492226,"crusad, isi, ﻿, apost, qaeda, nusra, syrian, al, mujāhidīn, islam, syria, jihād, enemi, will, ibn, nationalist, flag, dabiq, jawlānī, …",0.0157667841725,0.0207826331272,0.2,0.8,0.391897122078,0.210694289499,0.603737794382,0.00575252406668,0.00211317210613,0.00387414886124,0.0181967598028,0.00692650857009,0.0,0.0131486264381,0.722249760972,0.692935707078,ISIS,1,1.6,2.13332564658
3,ISIS_test1,5,17.2488720417,"allah, wa, alayhi, ibn, sallam, sallallāhu, messeng, said, jihād, ask, ﻿, inde, abū, imamah, shām, mujāhidīn, advic, libya, will, sinai",0.0188332463463,0.0235891005246,0.2,0.8,0.527637989568,0.158634648996,0.800828417004,0.00730304401215,0.0189362114651,0.00710915788793,0.0148646028566,0.0199702707943,0.00103405932915,0.0129257416144,0.749811721095,0.690871134651,ISIS,1,3.5,2.6913268179
6,ISIS_test0,5,7.52429485321,"allah, ﻿, wa, pkk, prophet, sallallāhu, alayhi, sallam, dabiq, crusad, ī, mujāhidīn, ibn, islam, will, khilāfah, shu'aytāt, bay'ah, abū, muslim",0.0140185326244,0.0244396799957,0.0,1.0,0.487588932806,0.158932806324,0.669920948617,0.00469208211144,0.00410557184751,0.00102639296188,0.0263929618768,0.00791788856305,0.000146627565982,0.00821114369501,0.759858216891,0.739203700998,ISIS,1,1.1,1.66258580628
14,Shepherd_test0,5,15.3840880394,"s, don, get, ask, sin, want, t, let, said, re, christ, know, thing, god, someth, think, ill, go, say, preacher",0.028186538887,0.029404339554,0.4,0.6,0.277376394779,0.0637003102163,0.544586258829,0.0195481266379,0.0151568807989,0.0232311070189,0.0111197676889,0.0220978822863,0.00375380692684,0.0109072880516,0.633174052317,0.620710168016,Shepherd,4,4.2,4.48931724426
17,Shepherd_test1,5,15.9012670517,"s, disagr, don, thank, merci, get, t, christ, jesus, thing, rememb, god, know, said, disagre, pattern, trust, ask, ill, say",0.034749654809,0.0240600357555,0.8,0.2,0.249044717652,0.0499307792229,0.564037077853,0.0235060307018,0.016173245614,0.0265899122807,0.00952576754386,0.0188459429825,0.00870339912281,0.011992872807,0.659965516027,0.615819410199,Shepherd,4,4.2,4.59510687159
19,Shepherd_test2,5,15.294729948,"s, god, lord, wisdom, talk, know, want, righteous, will, t, godless, bless, dream, am, say, dreamer, remind, get, i, thing",0.0290896921775,0.0287528609526,0.6,0.4,0.3873676754,0.0938250663152,0.627142571641,0.019411891581,0.0189805162125,0.022503415055,0.0124379897908,0.0221439355813,0.00215687684233,0.0116471349486,0.669254085332,0.756575510859,Shepherd,4,4.4,2.76844250065
20,Ghandi_test0,5,23.8921670914,"div, href, class, meta, svg, td, li, https, id, numlnum, button, rel, content, width, numcnum, mnum, viewbox, ariahidden, fillrul, evenodd",0.010491801908,0.00659124639431,1.0,0.0,0.142180724045,0.172244650434,0.711290305779,0.00604193341869,0.00544174135723,0.0136043533931,0.00364116517286,0.00236075544174,0.000320102432778,0.00472151088348,0.638848715135,0.615521310086,Ghandi,1,4.2,2.11324541445
26,MehrBaba_test2,5,6.56431698799,"baba, shri, master, bahinabai, suffer, s, love, perfect, mind, discipl, calf, happi, feel, meher, bliss, tukaram, gorakhnath, devot, brahmin, ratnakar",0.0318658798824,0.030053365003,0.8,0.2,0.461030551756,0.133386532908,0.689480924153,0.00308536167295,0.00908467603702,0.0109701748372,0.0083990401097,0.0263969832019,0.0140555365101,0.011141583819,0.720004752906,0.680228215435,MehrBaba,8,6.0,3.74475665424
28,MehrBaba_test1,5,10.3634560108,"baba, love, nt, s, hotel, everyth, room, get, know, mind, master, will, mental, spiritu, want, perfect, impress, realli, infinit, mandali",0.0422401372409,0.0188711334942,0.8,0.2,0.420122352146,0.220640356862,0.639910462459,0.0108360777648,0.01189843833,0.00669287156061,0.0113672580474,0.0296398597684,0.00339955380856,0.0152979921385,0.808310937202,0.821138223507,MehrBaba,8,6.6,5.5668355447
31,MehrBaba_test0,5,5.97610592842,"baba, spiritu, s, meherabad, shri, meher, arangaon, master, infinit, ahmednagar, done, vithoba, pandharpur, grace, mandali, realiz, karbala, love, away, hour",0.0444622802973,0.0163680563014,1.0,0.0,0.472993301094,0.264839949979,0.720573850356,0.00656497393319,0.00135161228036,0.00502027418421,0.0200810967368,0.019501834331,0.000193087468623,0.00714423633906,0.701213548029,0.651291358632,MehrBaba,8,1.4,4.83544931946
34,Unitarian_test0,5,21.6728830338,"depress, feel, hope, bread, rod, s, am, nt, tell, let, know, love, hannah, noth, i, everyon, twilight, silenc, get, dont",0.0279835506568,0.027510997135,0.6,0.4,0.339210603106,0.0873675119423,0.627874017815,0.0161793777963,0.0115492664655,0.0238268650505,0.0100405785038,0.0143585474977,0.00972843616689,0.0112891478514,0.685763489098,0.70425136482,Unitarian,7,5.2,5.21162288341
41,Unitarian_test2,5,19.7772810459,"evil, am, i, get, know, hope, ask, dont, told, conscienc, think, sunday, talk, realli, everyon, congreg, tri, unitarian, love, vote",0.0263732631287,0.0191914045848,0.8,0.2,0.310382268182,0.0880283499312,0.605702528773,0.0175064785488,0.00886841347538,0.033054995681,0.0100201554852,0.00938669737979,0.00794701986755,0.0107687877915,0.658797712715,0.563414807196,Unitarian,7,6.7,6.70516419529
42,Unitarian_test1,5,19.646009922,"unitarian, congreg, universalist, love, worth, want, hope, am, josselin, safeti, know, i, ask, e, courag, sermon, n, get, let, challeng",0.0267579131181,0.0224960564699,0.8,0.2,0.334902568282,0.165313053035,0.653415596524,0.0238634384254,0.00702548917146,0.0198571677408,0.00952215061255,0.00778029379318,0.00481913720026,0.0091157173547,0.673655409383,0.664163592761,Unitarian,7,6.3,6.65746933657
46,NaumanKhan_test1,5,19.6129801273,"allah, don't, apo, say, get, quot, talk, know, na, want, go, opinion, someth, gon, thing, better, re, happen, distract, am",0.0192759373792,0.0149945764818,1.0,0.0,0.576838845131,0.171138567979,0.814466610916,0.0143503266514,0.0423250879446,0.0194315707186,0.0190965436373,0.0177564353119,0.000446702775141,0.0155229214361,0.640355633017,0.566716912193,NaumanKhan,3,2.8,2.8270612614
50,NaumanKhan_test0,5,19.4673521519,"allah, don't, know, say, ask, get, y, quran, talk, want, go, messeng, happen, thing, realli, am, didn't, pray, tell, someth",0.0176534823848,0.0167276786821,0.8,0.2,0.522334350736,0.218491749771,0.768883878936,0.0163061381355,0.0364554738114,0.0185022510157,0.0259690348084,0.0211924892939,0.00032941693203,0.0160316240255,0.695122658813,0.588901066565,NaumanKhan,3,2.8,2.22358614681
52,NaumanKhan_test2,5,25.7849590778,"allah, quot, apo, get, talk, say, know, someth, quran, want, wa, messeng, tell, dont, na, don't, gon, moosa, thing, angri",0.0195773453924,0.0195265454363,0.6,0.4,0.478342001498,0.174924900549,0.747416433272,0.0200660292415,0.0299275393389,0.0124340779488,0.0210093041204,0.0136346096128,0.00171504523432,0.0156497877632,0.65199235046,0.559097653415,NaumanKhan,3,2.2,2.92213624333
54,PastorAnderson_test0,5,56.1833720207,"s, re, say, nt, get, go, want, vers, sorrow, whi, know, truth, chapter, unto, sin, let, thing, bibl, tell, god",0.0262571177934,0.0232781875792,0.8,0.2,0.484082806725,0.0726597349192,0.663031433867,0.0142870243008,0.0238606143971,0.025969738652,0.0183768913343,0.0198074277854,0.000385144429161,0.0171114167813,0.698132413332,0.758141373168,PastorAnderson,2,2.0,1.30407333456
