,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,16.8063378334,"s, don, get, christ, want, preacher, ill, know, t, bless",0.0332687760124,0.0214033948675,0.8,0.2,15.0,0.0533622135732,0.624571191394,0.696560510405,Shepherd,4,4.01008688281,3.93240749012
4,Shepherd_test9,10,14.5685300827,"s, christ, don, ask, get, want, knock, door, t, jesus",0.0329776343423,0.0231827518973,0.9,0.1,15.1,0.0648151783332,0.577810910575,0.589392431544,Shepherd,4,4.01008688281,3.96644519634
6,Shepherd_test21,10,13.6568858624,"s, christ, don, ill, say, preacher, said, ask, want, know",0.0307164183878,0.018760355193,0.9,0.1,16.3,0.0776181131266,0.591861809085,0.628761869505,Shepherd,4,4.01008688281,3.90202130205
7,Shepherd_test0,10,16.4093799591,"s, don, get, sin, want, thank, pray, t, ask, god",0.0307147969046,0.0221295648138,0.8,0.2,15.8,0.0514357037133,0.606619034024,0.696434339464,Shepherd,4,4.01008688281,3.98278236079
10,Shepherd_test10,10,12.9896440506,"s, get, pray, don, ask, god, prayer, want, ill, lord",0.0354477014808,0.0197022203269,0.9,0.1,16.9,0.0753858860221,0.578503722022,0.566604234855,Shepherd,4,4.01008688281,4.03569356123
17,Shepherd_test20,10,12.7410271168,"s, christ, god, know, get, sin, ask, ill, say, i",0.0322034519778,0.0224910027457,0.9,0.1,12.9,0.0668665960327,0.617573412667,0.721361605648,Shepherd,4,4.01008688281,3.97537056119
18,Shepherd_test6,10,14.9067881107,"s, get, don, love, christ, lord, hope, know, want, god",0.0356761494602,0.0204657181386,1.0,0.0,14.9,0.0541822907882,0.630080007715,0.504601297205,Shepherd,4,4.01008688281,3.90184420075
22,Shepherd_test16,10,13.4392359257,"s, sin, get, know, christ, god, ask, judg, want, ill",0.029117705455,0.0259405296674,0.7,0.3,16.6,0.0762030717972,0.583010645633,0.698381127267,Shepherd,4,4.0,3.97280384168
25,Shepherd_test19,10,13.3198812008,"s, get, don, pray, want, know, bless, ask, t, god",0.0315997381157,0.0203450411495,0.8,0.2,15.6,0.0617934206752,0.616297379639,0.583009860353,Shepherd,4,4.01008688281,3.93834214026
32,Shepherd_test14,10,16.0235910416,"s, christ, get, don, sin, want, know, ask, t, ill",0.0284520587916,0.022389439851,0.6,0.4,19.1,0.0750726906485,0.633502142331,0.589719454681,Shepherd,4,4.01008688281,4.39705173314
33,Shepherd_test4,10,14.4346730709,"s, don, grace, worship, sin, want, t, jesus, christ, get",0.0340953627731,0.0249294412114,0.6,0.4,16.3,0.062367362535,0.67956194297,0.657776718087,Shepherd,4,4.01008688281,4.4009091651
34,Shepherd_test8,10,16.4154949188,"s, don, christ, get, want, t, ask, jesus, said, god",0.0286473257269,0.0211415628706,0.8,0.2,16.4,0.0611335984287,0.628644624772,0.610979624881,Shepherd,4,4.01008688281,4.18013137404
36,Shepherd_test3,10,15.6937499046,"s, get, don, t, evil, ill, happen, god, sin, let",0.034550975803,0.0271722981677,0.8,0.2,19.8,0.0661607572254,0.569216962199,0.52067284187,Shepherd,4,4.0,4.12192600495
39,Shepherd_test13,10,15.4470579624,"s, get, don, christ, pray, sin, ask, t, thing, ill",0.0335834957118,0.0219590578503,0.8,0.2,15.6,0.0551504832471,0.579695975021,0.596524225151,Shepherd,4,4.01008688281,3.91867161899
46,Shepherd_test1,10,14.4571862221,"s, christ, listen, don, want, t, ill, god, know, get",0.0317971940288,0.0198955102855,0.8,0.2,18.8,0.075947086387,0.580339895501,0.639685611523,Shepherd,4,4.01008688281,3.98371054861
50,Shepherd_test11,10,13.4491050243,"s, don, christ, ask, get, said, t, god, preach, want",0.0336613323814,0.0176360201479,1.0,0.0,15.6,0.0631070524388,0.626547719767,0.601174776261,Shepherd,4,4.01008688281,3.85614888487
