,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,ISIS_test2,5,21.7717490196,"allah, hijrah, jihād, sallam, crusad, alayhi, sallallāhu, ibn, shām, apost, messeng, said, abandon, will, rahimahullāh, khilafah, sahīh, dabiq, mujahidin, radiyallāhu",0.0187494962364,0.0221009709152,0.4,0.6,0.393524554542,0.721512385919,0.00195761341391,0.00842624904247,0.00476636309473,0.0245978381139,0.0205123840327,0.0,0.0114052259767,0.742465908649,0.663689376605,ISIS,1,1.41333333333,1,0.961069737541,1
3,ISIS_test1,5,24.7588338852,"allah, ibn, abū, prophet, sallam, sallallāhu, alayhi, syrian, nūh, radiyallāhu, said, anh, ask, slavegirl, punish, choic, rahimahullāh, repli, messeng, khilāfah",0.0179729424203,0.0206198647695,0.4,0.6,0.370747765124,0.720141632521,0.0086738002594,0.00786316472114,0.00607976653696,0.0200226977951,0.0230220492866,0.0015402075227,0.0106193255512,0.778583858149,0.714539131563,ISIS,1,1.53333333333,1,1.40935668377,1
6,ISIS_test0,5,17.0104010105,"allah, hijrah, alayhi, sallam, dabiq, tunisia, islam, dābiq, abū, prison, sallallāhu, ibn, say, muslim, camp, fear, kuffār, prophet, shām, tribal",0.0223430655055,0.0238019360195,0.2,0.8,0.431511843294,0.689856052071,0.00872719029808,0.00952057123427,0.00952057123427,0.0175677207299,0.0103139521705,0.0032868638785,0.0115606936416,0.767265602686,0.680541159347,ISIS,1,1.90333333333,1,1.81761678922,1
14,Shepherd_test0,5,25.347299099,"god, get, don, ask, faith, thing, lord, say, christ, said, sin, dreamer, dream, pray, will, want, ill, troubl, worri, know",0.0307544037906,0.0223672166025,0.6,0.4,0.297884475492,0.591283234143,0.0231457893588,0.0194337288012,0.0243103573768,0.0100443991557,0.025547710896,0.0046582720722,0.00997161365456,0.646163294022,0.605055386308,Shepherd,4,4.18666666667,4,3.95545342268,4
17,Shepherd_test1,5,26.9060900211,"don, want, get, wisdom, righteous, know, god, bless, adulteri, ask, say, thing, proverb, obey, bad, someth, encourag, job, said, sermon",0.0338753862751,0.0250034410972,0.8,0.2,0.223951544969,0.57862874639,0.0182336975433,0.019625582852,0.0244275871668,0.0118310251235,0.0226181362656,0.00347971327163,0.010787111142,0.650306373701,0.573924093792,Shepherd,4,4.06333333333,4,4.05511845251,4
19,Shepherd_test2,5,26.7695569992,"don, christ, get, hell, want, know, heaven, ask, trust, sin, rememb, god, thing, said, ill, remind, love, redeem, say, save",0.035640403321,0.0273730481391,0.8,0.2,0.253946092114,0.587796195936,0.0236605537576,0.0199208917656,0.0279755483639,0.0122258180511,0.0210715569939,0.00302049622438,0.0133045667026,0.649745256839,0.690806276417,Shepherd,4,4.09666666667,4,3.94635018851,4
20,Ghandi_test0,5,38.1434850693,"div, href, class, meta, svg, https, numlnum, button, rel, content, width, numcnum, octicon, viewbox, ariahidden, fillrul, evenodd, mnum, path, arialabel",0.00945536779873,0.00738585127006,0.6,0.4,0.154467473228,0.700915436764,0.00350376858831,0.00554084334895,0.0127113465064,0.00382970055001,0.00183336728458,0.00057038093298,0.00452230596863,0.66946747136,0.655431673048,Ghandi,1,2.13666666667,1,1.66589469933,1
26,MehrBaba_test2,5,11.3223159313,"baba, love, janabai, realiz, shri, master, infinit, namdev, react, feel, devot, divin, hour, everyth, strang, meher, lord, amongst, happi, shall",0.0423204920382,0.0175643248817,1.0,0.0,0.413490212544,0.774434593993,0.00574012871804,0.0024352061228,0.0146112367368,0.0173943294486,0.0187858758045,0.00782744825187,0.0165246129762,0.729793854997,0.571238953172,MehrBaba,8,2.62666666667,1,5.40740515813,8
28,MehrBaba_test1,5,17.287060976,"love, baba, conscious, master, realiz, spiritu, mere, etern, mind, true, ideal, realiti, will, saint, leila, perfect, soul, truth, attain, feel",0.0424122529802,0.015896270563,1.0,0.0,0.416683046683,0.643503624837,0.00789957796775,0.000865707174548,0.00205605453955,0.00930635212639,0.0169895033005,0.00324640190456,0.0151498755546,0.734824456218,0.681501736772,MehrBaba,8,6.99,8,7.54750630175,8
31,MehrBaba_test0,5,16.4169318676,"baba, meher, love, mediocr, want, pure, happen, know, silenc, realiz, perfect, feel, mind, someth, self, surrend, belov, rememb, will, almighti",0.0447108566796,0.0142781808638,1.0,0.0,0.414048863728,0.82407781466,0.0174461766889,0.0243751546647,0.0116307844593,0.0118782479584,0.0309329373917,0.00358822073744,0.0126206384558,0.772698108033,0.650790947868,MehrBaba,8,4.77333333333,4,5.15433723607,8
34,Unitarian_test0,5,32.9453701973,"tell, fig, silenc, fear, want, tree, let, dont, rememb, feel, abus, afraid, talk, get, sing, know, thing, happen, too, think",0.0225070284307,0.0218183553383,0.6,0.4,0.226924527714,0.691256120701,0.016877890564,0.00864916811821,0.0268484593669,0.0108715238152,0.0150759805394,0.0127334975074,0.011832542495,0.638220391873,0.709483624214,Unitarian,7,5.23333333333,4,5.12742941548,4
41,Unitarian_test2,5,15.7880589962,"unitarian, congreg, universalist, bulli, wonder, happen, prais, too, circl, face, love, everyth, worship, get, talk, want, think, say, option, imagin",0.0299643062901,0.0226668918332,0.8,0.2,0.25154158215,0.682898869893,0.0248916408669,0.0131269349845,0.0232817337461,0.00854489164087,0.0071826625387,0.00767801857585,0.00842105263158,0.680709645534,0.616910941781,Unitarian,7,6.02666666667,7,6.74374905557,7
42,Unitarian_test1,5,39.5997760296,"get, grief, anger, angri, know, vote, feel, wonder, think, einstein, illus, talk, love, ask, decis, yes, say, darwin, dont, too",0.0284406904691,0.0207005054353,0.8,0.2,0.292520244149,0.69712198505,0.0178913126674,0.00904133180253,0.0377918101799,0.0126769996173,0.0101415996938,0.0049272866437,0.0108113279755,0.721978770555,0.677062311257,Unitarian,7,5.83333333333,4,6.03471689178,7
46,NaumanKhan_test1,5,59.0247530937,"allah, know, talk, don't, get, say, someth, want, gon, thing, let, realli, whi, ask, tell, happen, how, ibrahim, quran, guy",0.0198164329706,0.0141504353384,0.8,0.2,0.492547430231,0.744432174488,0.0197355691712,0.0320864237343,0.0185746533376,0.023153821348,0.0169300225734,0.000741696227024,0.0110287004192,0.57410022078,0.512261165039,NaumanKhan,3,2.74,3,3.70982623446,3
50,NaumanKhan_test0,5,45.3781881332,"allah, swt, know, say, don't, get, messeng, realli, want, someth, prophet, ask, bee, tell, talk, alayhi, quran, dont, happen, listen",0.0207052047945,0.0144533268909,0.8,0.2,0.442792680344,0.765837947833,0.0154833533895,0.0425190533494,0.0179703168873,0.0224227837946,0.0163658243081,0.000320898515844,0.0179703168873,0.673379075636,0.570728809043,NaumanKhan,3,2.8,3,3.1183537353,3
52,NaumanKhan_test2,5,43.0959341526,"allah, don't, get, know, say, want, thing, someth, talk, deen, happen, ask, ali, khan, quran, els, opinion, realli, tell, better",0.0231463989543,0.0153077111973,1.0,0.0,0.508672695369,0.806965031061,0.0167284713638,0.0461063040791,0.0181705809642,0.0177585496498,0.00931190770499,0.00214256283478,0.0202719406675,0.672388422927,0.621530834041,NaumanKhan,3,3.04333333333,3,3.42137317725,3
54,PastorAnderson_test0,5,103.063576937,"say, get, want, sorrow, bibl, vers, know, tell, let, sin, thing, talk, unto, preach, god, whi, chapter, lot, look, realli",0.0202944953981,0.0265723265048,0.4,0.6,0.409126685687,0.70642039627,0.0133854557512,0.0226697614352,0.0269454285266,0.0206279122528,0.0165791172929,0.000872585120679,0.0183940943439,0.679667092341,0.775191218317,PastorAnderson,2,2.31666666667,2,2.30794163136,2
57,PastorAnderson_test1,5,94.6355190277,"say, get, save, sin, bibl, vers, let, know, want, talk, shall, unto, salvat, thing, whi, christ, preach, look, god, jesus",0.026579878672,0.02607540418,0.8,0.2,0.441174184899,0.702270398356,0.0150532283577,0.0281870368067,0.0221266461692,0.0179145858141,0.0150532283577,0.00145733733805,0.0198517781293,0.690398316609,0.769682449963,PastorAnderson,2,2.24666666667,2,2.10441269048,2
61,PastorAnderson_test2,5,82.3851249218,"say, repent, save, unto, bibl, vers, get, sin, chapter, god, jesus, whi, christ, let, talk, shall, don, look, tell, fals",0.0257068449521,0.0195194638208,1.0,0.0,0.375943295464,0.620464415777,0.0148764394902,0.0254497766485,0.0144256382935,0.0213925658784,0.0180935207573,0.000368837342732,0.0145895660014,0.710942618083,0.740720426061,PastorAnderson,2,2.14,2,1.01223274135,2
66,Rabbinic_test2,5,22.3949229717,"jew, steinberg, jewish, rabbi, netanyahu, israel, ask, know, cousin, want, diaspora, moment, whi, sermon, hope, judaism, tell, bialik, happen, sure",0.0234906291538,0.0244815922833,0.6,0.4,0.5387230201,0.798957357825,0.0218933887158,0.00614399446175,0.0131533402561,0.0107303565247,0.0145379023884,0.00112495673243,0.0115957078574,0.737672906787,0.63005459829,Rabbinic,6,5.19666666667,4,4.67697246092,6
69,Rabbinic_test1,5,20.5202679634,"keter, rabbi, know, kippur, yom, mose, ask, shalev, liberti, bless, moment, meant, aleppo, sacr, ourselv, will, promis, let, tell, oblig",0.025531593359,0.0228184546457,0.6,0.4,0.369337369241,0.789738374007,0.0314318975553,0.00989522700815,0.0130966239814,0.00591773379899,0.0109623593326,0.0023282887078,0.0162010089251,0.734400584729,0.749226777477,Rabbinic,6,5.84333333333,6,5.8193551876,6
71,Rabbinic_test0,5,21.5417301655,"mose, jew, koufax, rabbi, know, jewish, hyphen, pharaoh, answer, judaism, ask, synagogu, alinski, sandi, want, abraham, plagu, pitch, everyon, torah",0.0201781145287,0.0146060021118,1.0,0.0,0.399121014968,0.733865940861,0.0199305988077,0.0115668653795,0.0123676483673,0.00640626390248,0.0151259008809,0.00115668653795,0.0135243349052,0.704052072814,0.584354333516,Rabbinic,6,5.38,4,6.06568082881,6
75,Bahai_test0,5,7.75799894333,"thi, thou, baha'i, thee, baha'u'llah, evil, abdu'lbaha, want, everyon, mankind, worship, heaven, verili, craft, grace, realiti, servant, thine, nobil, unto",0.0347238018638,0.0244569629266,0.8,0.2,0.358333333333,0.509090909091,0.0162803532009,0.00469094922737,0.00993377483444,0.0110375275938,0.00965783664459,0.000275938189845,0.0091059602649,0.733772866479,0.698332469191,Bahai,6,5.23333333333,6,4.36718640913,6
78,Bahai_test2,5,8.1034719944,"baha'i, abdu'lbaha, spirit, color, parent, consent, coupl, tower, uniti, ration, babel, look, truth, marriag, mind, grandmoth, tree, auxiliari, flower, fruit",0.0261674841492,0.0106908203272,0.6,0.4,0.276293748294,0.567824551825,0.0079408543264,0.00246440306681,0.0079408543264,0.0161555312158,0.00355969331873,0.0079408543264,0.00958378970427,0.714514919644,0.487935662906,Bahai,6,3.17333333333,1,5.54221239898,6
82,Bahai_test1,5,8.12097907066,"baha'i, abdu'lbaha, baha'u'llah, heaven, virus, prejudic, sex, equal, women, talk, uniti, afflict, realiti, bring, mankind, tree, corrupt, better, spiritu, god",0.0330798980525,0.0273382377217,0.8,0.2,0.296373765411,0.508416098164,0.00748430709802,0.00507001448576,0.00434572670208,0.00796716562047,0.00627716079189,0.000482858522453,0.0132786093675,0.705970179939,0.733912164792,Bahai,6,5.92,6,5.36699279077,6
84,IntegralYoga_test0,5,13.2487180233,"gurudev, pain, don't, get, yoga, want, everyth, boat, happi, whi, mind, sri, someth, say, know, realli, how, spiritu, ask, noth",0.028539961035,0.0166196027409,0.8,0.2,0.39736899442,0.793268611772,0.0227739996837,0.0298908745848,0.0276767357267,0.00490273604302,0.0126522220465,0.000790763877906,0.0177131108651,0.639027090783,0.56868619736,IntegralYoga,6,5.79,6,5.23252789837,6
88,IntegralYoga_test2,5,9.05216002464,"mind, yoga, guru, know, everyth, medit, want, breath, happi, asana, should, feel, whi, let, sit, will, exercis, pray, everyon, calm",0.0231390673985,0.0102517389203,1.0,0.0,0.407569960668,0.673493205763,0.0185676392573,0.0481874447392,0.00862068965517,0.00685234305924,0.0026525198939,0.00198938992042,0.012599469496,0.693321767279,0.657384754233,IntegralYoga,6,5.66,6,5.43394512841,6
89,IntegralYoga_test1,5,13.8371119499,"mind, yoga, don't, fruit, medit, want, clean, anyth, everyth, calm, self, should, keep, selfish, whi, will, say, disturb, happi, get",0.0402048739009,0.0201336673564,1.0,0.0,0.41956624412,0.695704553044,0.0125981917889,0.0655105973025,0.00340892248407,0.0060767748629,0.00444642063139,0.000444642063139,0.015858900252,0.709939502486,0.655895296642,IntegralYoga,6,5.99666666667,6,5.11799807129,6
93,WBC_test1,5,26.8024218082,"shall, unto, repent, sin, heaven, angel, god, christ, etern, wit, thing, lord, forth, thi, thou, say, sermon, perish, hell, thee",0.0278395112462,0.0256591120837,0.6,0.4,0.389291820007,0.570839834022,0.00851177018221,0.00764729352307,0.0111716983641,0.0141641175688,0.0203484505918,0.00379039765926,0.00784678813672,0.749582102941,0.729575984932,WBC,1,2.31333333333,1,2.63794242152,1
94,WBC_test2,5,21.2437670231,"shall, obama, prophet, sodomit, unto, worship, fals, beast, belov, wit, abomin, rev, sermon, demon, sunday, nebuchadnezzar, filthi, outlin, say, antichrist",0.0215961032213,0.0414349912473,0.2,0.8,0.319603042638,0.526256200355,0.00814558058925,0.00693240901213,0.00944540727903,0.0180242634315,0.0142980935875,0.00103986135182,0.007712305026,0.74297329666,0.697710025309,WBC,1,1.64666666667,1,1.132823158,1
100,WBC_test0,5,42.2161278725,"shall, unto, god, wrath, hell, thou, sin, wick, christ, submit, rejoic, husband, noth, let, angri, thing, lord, will, psalm, love",0.0251668759691,0.0352389814086,0.6,0.4,0.471540934556,0.691200554539,0.0102341644205,0.016804245283,0.00888645552561,0.0197944743935,0.0224477762803,0.00206367924528,0.0106553234501,0.74042500373,0.731509268078,WBC,1,1.46666666667,1,1.48695765201,1
103,JohnPiper_test2,5,20.7153060436,"sin, bless, god, promis, say, vers, jesus, truth, mose, christ, shall, prophet, want, will, know, spirit, luke, tell, thing, desir",0.031051230644,0.025623059592,0.6,0.4,0.439267666852,0.664626677096,0.0159481684525,0.0185231331506,0.0135393305092,0.0110474291885,0.022344048509,0.001162887283,0.0127086967356,0.716692873789,0.735971759182,JohnPiper,4,4.27333333333,4,3.24245086884,4
108,JohnPiper_test1,5,25.0946319103,"elder, barnaba, god, say, vers, shame, bethlehem, grace, magnifi, salvat, asham, let, stone, whi, faith, feel, will, gospel, joy, christ",0.0391226649048,0.0230529200745,0.8,0.2,0.433491127023,0.676517047138,0.0166794185157,0.0188217291507,0.0122417750574,0.00650344299923,0.0247895944912,0.0,0.0123182861515,0.697915810418,0.603074498004,JohnPiper,4,4.33666666667,4,4.47767187339,4
111,JohnPiper_test0,5,23.9914648533,"worship, vers, god, christ, glori, spirit, say, love, whi, happen, lose, thing, lord, want, know, let, look, jesus, wonder, pursu",0.0247314113118,0.0198404288937,0.6,0.4,0.517647955996,0.706458159813,0.0317065589058,0.0115013988188,0.0139104755984,0.00303077401306,0.0247901771837,0.000155424308362,0.0101802921977,0.697640972025,0.688593704405,JohnPiper,4,5.07,4,4.55542641567,4
115,DorothyDay_test0,5,15.5752007961,"prison, joy, room, too, felt, stteresa, talk, know, visit, prayer, wish, hour, worker, parad, tivoli, how, farm, say, tree, reader",0.025707007852,0.0212443269078,0.6,0.4,0.34095031845,0.715558773059,0.0149253731343,0.00621890547264,0.0205223880597,0.00883084577114,0.0108208955224,0.0125621890547,0.0101990049751,0.71501094696,0.661972382673,DorothyDay,4,5.83333333333,6,5.55242343476,4
118,DorothyDay_test1,5,20.5879659653,"worker, mroconnel, farm, get, mauric, seattl, fellow, love, tax, tri, pay, talk, hospit, comfort, will, seem, say, let, bishop, away",0.0247713640566,0.016632439442,0.8,0.2,0.316906853248,0.70604141175,0.0204100652377,0.0022367194781,0.0121155638397,0.00838769804287,0.0183597390494,0.00214352283318,0.0100652376514,0.751517190198,0.713844346277,DorothyDay,4,5.49,4,5.5177175707,4
121,DorothyDay_test2,5,11.4649970531,"worker, christ, get, strike, parish, love, talk, stloui, wish, monsignor, too, noth, hellriegel, visa, pay, know, cathol, poor, say, hospit",0.0221209185347,0.0228965623755,0.6,0.4,0.354552482261,0.665533554852,0.0168024439919,0.0020366598778,0.0166327223354,0.0134080108622,0.0112016293279,0.00424304141208,0.0139171758316,0.7442650587,0.75510952938,DorothyDay,4,3.97333333333,6,4.30143681625,4
123,SeaShepherds_test1,5,5.75707793236,"greenpeac, whale, seal, shepherd, diminish, oxygen, pollut, turtl, phytoplankton, slaughter, save, plankton, fish, contamin, pamela, fur, gift, campaign, will, donat",0.0223887587776,0.0250260485449,0.4,0.6,0.550718562483,0.66388502565,0.0210120068611,0.00385934819897,0.00771869639794,0.00643224699828,0.0,0.00385934819897,0.00385934819897,0.74618096603,0.668622523651,SeaShepherds,2,4.23333333333,6,4.67150604069,6
126,SeaShepherds_test0,5,8.55561113358,"costa, seaworld, hsus, rican, coco, shepherd, orca, illeg, vessel, fish, poacher, dolphin, arrest, crew, guatemalan, charg, stop, extradit, rica, boat",0.0208458766726,0.0385536092342,0.2,0.8,0.419261125998,0.724271798813,0.0191364082434,0.00785083415113,0.0161923454367,0.0161923454367,0.00294406280667,0.00147203140334,0.0053974484789,0.709895623238,0.61721107283,SeaShepherds,2,2.64666666667,2,2.71346770851,2
127,MalcolmX_test0,5,51.1955621243,"get, malcolm, want, think, tri, negro, know, answer, say, thing, tell, racism, got, whi, anyth, should, feel, nonviol, talk, congo",0.0144805125246,0.0189021769836,0.4,0.6,0.324137120755,0.76155343875,0.0145913329676,0.019162552569,0.0214664472481,0.0202962150302,0.0120680197477,0.00135308100201,0.0146279027244,0.681801611102,0.546571534094,MalcolmX,2,2.49666666667,2,3.0578368327,2
