,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,DorothyDay,4,5.04333333333,4,3.54470369915,4
3,DorothyDay,4,4.44333333333,4,4.16076804666,4
6,PastorAnderson,2,1.95666666667,2,2.16926653555,2
7,PastorAnderson,2,1.91666666667,2,1.69502150422,2
10,SeaShepherds,2,4.31333333333,6,3.18222879751,1
13,Bahai,6,4.63666666667,6,4.62040825465,6
16,Bahai,6,5.51333333333,8,5.41985527615,6
17,JohnPiper,4,5.26333333333,4,5.09659872262,4
21,JohnPiper,4,5.32,4,5.8879360149,4
24,NaumanKhan,3,2.79333333333,3,3.24732165303,3
25,NaumanKhan,3,2.75333333333,3,3.08172577361,3
28,WBC,1,2.22,1,2.38961354487,1
30,WBC,1,1.48666666667,1,1.76773520594,1
33,IntegralYoga,6,5.90666666667,6,5.35088948847,6
36,IntegralYoga,6,5.72666666667,6,5.96547032222,6
37,MehrBaba,8,5.72666666667,8,5.76072226002,8
38,MehrBaba,8,5.60333333333,8,6.0201661008,8
43,ISIS,1,1.2,1,0.8998040328,1
45,ISIS,1,1.25666666667,1,1.27848087017,1
50,Unitarian,7,5.84333333333,7,5.33126434851,7
51,Unitarian,7,5.67,7,4.23212291759,4
52,Rabbinic,6,5.54,6,5.17303583875,6
56,Rabbinic,6,5.74666666667,4,5.50642716246,6
58,MalcolmX,2,2.84,2,3.58462791065,3
61,Shepherd,4,4.87333333333,4,4.95403646499,4
63,Shepherd,4,4.25666666667,4,4.16955935461,4
65,Ghandi,1,4.10333333333,6,3.36938959392,1
