,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,5,16.9657690525,"allah, ibn, faction, wa, sallallāhu, sallam, alayhi, rahimahullāh, murji'ah, hypocrit, abū, irjā, kufr, said, hypocrisi, prophet, abandon, syrian, nationalist, ignor",0.0121241015013,0.0192126379996,0.2,0.8,0.33195832135,0.69739642244,0.00417126732916,0.00472334682861,0.00453932032879,0.0255796834744,0.0165623849834,0.0,0.00993743099006,0.712631147313,0.737986705759,ISIS,1,1.0,1.71545897671
3,ISIS_test1,5,14.6660628319,"allah, crusad, you, your, ibn, plot, wa, alayhi, sallam, sallallāhu, prophet, apost, ﻿, rāfidah, muslim, inde, messeng, abū, tāghūt, khilāfah",0.0190022695443,0.0268652750918,0.0,1.0,0.536219176606,0.788835157955,0.00651971437442,0.0115647314499,0.00558832660664,0.0295715616268,0.024681775846,0.00147469729898,0.00931387767774,0.748237898312,0.815784824923,ISIS,1,1.7,3.03531055433
6,ISIS_test0,5,12.1801929474,"allah, ﻿, my, mujāhidīn, crusad, you, we, muslim, dabiq, alayhi, wa, your, sallam, khilāfah, islam, sallallāhu, jihād, kuffār, obama, kufr",0.0185420294584,0.0259998467399,0.2,0.8,0.426184639628,0.675990667535,0.00682593856655,0.00529908388719,0.00691575354769,0.0191305909826,0.00889168313275,0.0,0.010328722831,0.783818749907,0.70363539177,ISIS,1,1.0,1.11268872816
14,Shepherd_test0,5,16.2741498947,"we, you, s, don, me, my, t, ask, your, get, let, want, preacher, christ, know, said, ill, encourag, re, i",0.0334286028255,0.02239496749,0.8,0.2,0.435709870937,0.578613055475,0.0184131235353,0.0126548376297,0.0267157683294,0.0103783059926,0.0193505189153,0.00455306327419,0.012989621694,0.647517683279,0.643707959129,Shepherd,4,5.5,4.84846899374
17,Shepherd_test1,5,15.8101570606,"we, you, s, get, me, my, don, your, thank, want, t, ill, our, christ, know, confid, talk, someon, said, preacher",0.0330178168521,0.0190042920432,1.0,0.0,0.372805243189,0.569478307016,0.0214285714286,0.0140028288543,0.0225601131542,0.0108910891089,0.0190947666195,0.00848656294201,0.0101131541726,0.627600812352,0.594608681148,Shepherd,4,5.6,4.67194165788
19,Shepherd_test2,5,14.1487960815,"you, we, my, me, s, your, mom, love, get, grace, don, want, sin, t, trust, ask, got, didn, thing, said",0.0351145027361,0.0272875807113,0.8,0.2,0.43423166545,0.636455488894,0.0207294264339,0.017144638404,0.0270417705736,0.0127026184539,0.0202618453865,0.00958541147132,0.00974127182045,0.655182352996,0.610144213455,Shepherd,4,3.8,5.19802699453
20,Ghandi_test0,5,25.4379270077,"div, href, class, meta, td, svg, https, li, id, numlnum, button, rel, content, numcnum, width, tr, evenodd, viewbox, fillrul, octicon",0.0098991493327,0.00825777523929,0.6,0.4,0.133485573733,0.691336129976,0.00605217652808,0.00451093902714,0.0135328170814,0.00458612134426,0.00214269603789,0.000639049695512,0.00545071799113,0.681122839981,0.610242488613,Ghandi,1,2.3,2.40446718394
26,MehrBaba_test2,5,9.72323608398,"baba, perfect, spiritu, finit, shri, meher, we, love, hazrat, master, conscious, realiti, truth, sufi, divin, etern, realiz, s, say, you",0.0329121942734,0.0135908054679,1.0,0.0,0.410067762698,0.614835664421,0.00800432666306,0.00313683071931,0.00475932936723,0.0111411573824,0.019253650622,0.000324499729584,0.0108166576528,0.758199949297,0.60175173918,MehrBaba,8,7.0,6.17093006345
28,MehrBaba_test1,5,7.47058081627,"mind, spiritu, master, baba, discipl, perfect, want, we, spirit, journey, saint, s, my, hyderabad, feel, heart, love, thiev, palac, bahaulhuq",0.0368500572553,0.0155795216254,0.8,0.2,0.47881157686,0.650860052323,0.007,0.00228571428571,0.005,0.00885714285714,0.0174285714286,0.00271428571429,0.0137142857143,0.82376023527,0.761047498677,MehrBaba,8,6.6,6.13174105074
31,MehrBaba_test0,5,10.5565879345,"baba, master, meher, discipl, bahinabai, we, s, spiritu, my, you, happen, me, perfect, love, silenc, soul, calf, divin, realiz, told",0.0335597489652,0.0133351831457,1.0,0.0,0.56099066972,0.775505930484,0.00867589341045,0.00340838669696,0.0100185912002,0.00764304895683,0.0268539557943,0.0119809956621,0.0127039867796,0.724739748896,0.631954656132,MehrBaba,8,5.3,5.30506756725
34,Unitarian_test0,5,13.7290048599,"we, you, my, me, hope, rod, our, love, your, intimaci, twilight, congreg, s, nt, want, serl, too, am, everyon, silenc",0.0324139499921,0.0271725504558,0.8,0.2,0.423714888264,0.654498552973,0.0237665956401,0.0140960498279,0.0233568267497,0.0098344533683,0.0120472053762,0.00344205867891,0.0111457138174,0.662202189148,0.58141205426,Unitarian,7,5.6,5.39720917373
41,Unitarian_test2,5,21.9082701206,"my, me, we, you, fig, your, tree, hope, our, let, want, silenc, get, thing, am, i, sing, hannah, say, joy",0.0296681302014,0.0191517686695,1.0,0.0,0.470039709001,0.668590695799,0.0139928744772,0.00872618371457,0.0255589404657,0.00950069706201,0.016471317189,0.00552486187845,0.0112046264264,0.678335940473,0.639044888003,Unitarian,7,6.2,5.82994136141
42,Unitarian_test1,5,17.4026019573,"my, we, me, you, am, grief, our, garden, unitarian, your, i, flower, illus, congreg, love, s, shed, easter, spiritu, know",0.0252759545174,0.018926527684,0.8,0.2,0.493728696118,0.64782519074,0.0193290934032,0.0083551565033,0.0341064970695,0.00729517396184,0.0127821424118,0.00193290934032,0.00960219478738,0.724543678907,0.730858846913,Unitarian,7,6.4,5.51343440499
46,NaumanKhan_test1,5,40.9939069748,"you, allah, your, say, we, me, know, talk, nt, get, wa, s, want, re, quran, my, go, ayah, thing, surah",0.0175360604617,0.0166989026467,0.6,0.4,0.578991759072,0.750210139413,0.0152324535886,0.0372613317819,0.0179563124769,0.0205479452055,0.0214999735548,0.00108425450891,0.0155762416036,0.670673432095,0.647228573623,NaumanKhan,3,2.9,2.39516195994
50,NaumanKhan_test0,5,18.0014081001,"you, allah, amp, don't, get, know, “, fear, we, your, na, want, …, say, me, thing, go, realli, talk, happen",0.0183071416321,0.020167633323,0.6,0.4,0.56493576135,0.710774735499,0.0132003344881,0.0371520726317,0.0169633257675,0.0191733365189,0.00889977302592,0.00107514036555,0.0144546649146,0.662086369803,0.552263076314,NaumanKhan,3,2.7,2.03456390088
