,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.1627168655,"s, christ, don, ill, worship, ask, said, god, let, prais",0.0328277296178,0.0233863979972,0.9,0.1,0.56709728887,0.664042966372,0.649754141972,Shepherd,4,3.86057692308,4.05920058345
4,Shepherd_test9,10,12.9220750332,"s, get, christ, want, don, said, ask, t, ill, god",0.0307063073661,0.0206565725715,0.7,0.3,0.535460924031,0.65968226953,0.618771416124,Shepherd,4,3.94464285714,3.81088782597
6,Shepherd_test0,10,14.3371748924,"s, don, get, want, ill, ask, said, listen, t, christ",0.0316869903627,0.0256675333784,0.7,0.3,0.615483490568,0.668741830695,0.638700802492,Shepherd,4,4.06759662751,4.23910778855
9,Shepherd_test10,10,12.8519749641,"sin, s, want, love, don, know, jesus, ill, go, christ",0.0348764576625,0.0260759360033,0.9,0.1,0.644320167847,0.705281348467,0.601524523803,Shepherd,4,4.06485853227,3.76875601736
14,Shepherd_test20,10,16.3861789703,"s, don, get, want, t, thing, ill, christ, ask, said",0.0298783294314,0.0219331808495,0.7,0.3,0.584022543971,0.705002103874,0.548576149035,Shepherd,4,3.86955329154,4.04907566931
15,Shepherd_test6,10,12.6153509617,"s, sin, get, god, bless, grace, want, don, enoch, said",0.0330316537646,0.0255097231471,0.7,0.3,0.612092861255,0.606184529394,0.698575982612,Shepherd,4,4.35152519894,3.93642930985
20,Shepherd_test16,10,14.4468319416,"s, sin, get, don, christ, love, t, want, god, faith",0.0364998510931,0.0273875364476,0.6,0.4,0.620741271326,0.680946718787,0.595369075274,Shepherd,4,4.32844827586,3.99761336393
22,Shepherd_test19,10,13.3415789604,"s, god, christ, sin, get, ill, want, don, love, said",0.034643481209,0.0249756808721,0.7,0.3,0.64002757597,0.68585240125,0.658699964627,Shepherd,4,4.08759662751,3.97414122512
29,Shepherd_test14,10,14.5638229847,"s, don, christ, get, want, t, ask, said, ill, sin",0.0296500800764,0.0196103008838,0.7,0.3,0.571745454437,0.657437922359,0.710461369707,Shepherd,4,4.42068965517,3.75240637162
30,Shepherd_test4,10,13.2434670925,"s, don, sin, get, t, know, want, grace, christ, love",0.0366861559661,0.025633662249,0.8,0.2,0.60552247719,0.666114340282,0.55711813521,Shepherd,4,4.4878888353,3.81947541321
31,Shepherd_test8,10,13.8112721443,"s, get, preach, want, god, christ, sin, preacher, t, ask",0.0315911080732,0.0219902468543,0.8,0.2,0.637800814274,0.648891548958,0.597175417893,Shepherd,4,4.18481191223,4.11897456285
34,Shepherd_test3,10,13.3670270443,"s, don, christ, get, t, want, ill, thing, said, lord",0.02904837948,0.0193746156938,0.9,0.1,0.592620940777,0.637079408778,0.696642999679,Shepherd,4,3.8558045977,3.75208617465
37,Shepherd_test13,10,13.9164750576,"s, let, god, worship, want, ask, get, evil, don, ill",0.03383816049,0.0293017168346,0.4,0.6,0.622763246881,0.694310148819,0.615207903511,Shepherd,4,2.2,2.91175741617
