,groupId,files,timeRun,nous,vous,je,ils,il,elle,le,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,4.38763403893,0.021433129387,0.0159528546226,0.0243609474119,0.0100596824444,0.0252618144965,0.00412897413761,0.010322435344,Shepherd,4,4.91472696606,4.09754636117
4,Shepherd_test9,10,5.08239006996,0.0228257633398,0.017962883324,0.0273247543749,0.00969267921532,0.0224949551755,0.00502828409805,0.0127030335109,Shepherd,4,4.22812865497,4.09418832711
6,Shepherd_test0,10,4.69870710373,0.0205432876418,0.0161769442754,0.0188969614545,0.0105937511184,0.024158047314,0.00275580687878,0.0112021760137,Shepherd,4,4.52810457516,4.1079586685
9,Shepherd_test10,10,4.44485402107,0.0235765958244,0.0211027399828,0.0251133850594,0.00985794070243,0.0248135237453,0.00509764234042,0.0109074553019,Shepherd,4,4.52812865497,4.0777905001
15,Shepherd_test20,10,4.86442494392,0.0246639072281,0.0172749974344,0.0244928676496,0.00851777101221,0.0237745014196,0.00605480108097,0.0102623747135,Shepherd,4,4.88418926103,4.0890066632
16,Shepherd_test6,10,4.8896780014,0.0227406052659,0.0165637185548,0.0216363573622,0.00800579730149,0.0294351081818,0.00517616204838,0.0117671417233,Shepherd,4,4.2614619883,4.10649342425
21,Shepherd_test16,10,4.64874100685,0.0212423559704,0.0178450094768,0.02281586382,0.0103350856489,0.026570825734,0.00479204663305,0.0115509780782,Shepherd,4,4.34119755429,4.10070328557
23,Shepherd_test19,10,4.6919901371,0.0205187486453,0.0161115526335,0.0242395780652,0.0121739758688,0.0255761866917,0.00476844158659,0.0131132143631,Shepherd,4,4.17437441643,4.13614162168
30,Shepherd_test14,10,5.08504009247,0.0257743836203,0.0155041311432,0.0197834030087,0.00813061654432,0.0204088350505,0.00395009710655,0.0130024029757,Shepherd,4,4.2614619883,4.09185818963
31,Shepherd_test4,10,4.99786090851,0.0216551955682,0.0135974483801,0.024576128924,0.00960214873258,0.0299479603827,0.00406244754071,0.010877958704,Shepherd,4,4.45066607854,4.09687368122
