,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC
102,DorothyDay_train45,10,26.5721080303,"we, our, worker, you, my, get, talk, me, love, too, room, farm, tri, go, christ, say, fr, thing, street, hospit, peter, merci, maurin, your, i, suffer, us, am, retreat, feel",0.0257028664579,0.0258287141741,0.6,0.4,0.695391885682,0.0182511898674,0.0038941116312,0.0121936828856,0.010462966605,0.016481139126,0.0143570782362,0.010462966605,0.789710343752,0.694046257387
103,WBC_train37,10,27.2374329567,"shall, you, s, me, we, unto, sodomit, my, say, sermon, fag, god, your, sunday, wit, outlin, preach, thou, belov, sin, heaven, baxter, etern, esau, hell, ie, lord, christ, our, ye",0.0237317631566,0.0310125572109,0.4,0.6,0.563438710424,0.0100734992352,0.00708875872104,0.0116404880051,0.0139536619035,0.0201096892139,0.00768570682386,0.00973771592732,0.802652013255,0.741712017616
104,Shepherd_train50,10,26.1322979927,"you, we, your, s, my, get, don, me, our, want, sin, christ, lord, ill, ask, god, t, must, said, trust, know, thing, wait, husband, obey, ve, i, do, car, whi",0.0294152369499,0.0232479210225,0.5,0.5,0.529760826898,0.0214647908803,0.0182622288307,0.0210072820161,0.00880704563651,0.0219604254832,0.0194060009913,0.0118189789927,0.644911768225,0.646333145497
105,Shepherd_train72,8,25.0611920357,"we, you, my, your, me, s, get, christ, don, our, want, god, sin, let, said, i, t, know, ask, lord, ill, someon, go, preach, talk, walk, re, am, prayer, thing",0.0314844793355,0.0247845555839,0.75,0.25,0.594954239109,0.0239479569018,0.0165480788778,0.0293962187436,0.00922951819476,0.0228501727993,0.0209392152877,0.0105305956495,0.641163225544,0.596630161343
106,DorothyDay_train50,10,18.8254129887,"we, our, worker, me, love, my, too, farm, han, room, get, fr, talk, larri, you, know, us, retreat, hospit, dollar, kitchen, go, christ, priest, save, morn, bread, littl, say, night",0.0300662101076,0.019158940928,0.9,0.1,0.752271365915,0.0283878178262,0.00234702430847,0.0111204246996,0.0111763062308,0.0157585917854,0.01017043867,0.0119027661358,0.674869273988,0.61025906036
107,DorothyDay_train70,10,17.3232769966,"we, our, worker, you, love, poverti, my, too, retreat, your, me, seem, am, jesus, christ, get, us, labor, messag, sex, ammon, thing, talk, will, strike, go, cathol, ask, senat, maurin",0.0272354482144,0.0241379425122,0.6,0.4,0.727977226928,0.0253195825357,0.00401408015809,0.00951028222071,0.0109306490459,0.0135243623788,0.00876922126845,0.0114864447601,0.795683431079,0.630307459714
108,DorothyDay_train71,10,24.0258488655,"we, our, you, get, worker, sin, love, priest, me, fr, ammon, your, tri, retreat, christ, say, my, labor, go, poverti, too, ask, fear, god, know, room, pay, poor, must, us",0.0270796352537,0.0273439168386,0.4,0.6,0.696463585261,0.0266369748619,0.00586698642456,0.0104920560147,0.0119909211597,0.0180720311764,0.0118624470044,0.0102351077042,0.769793267985,0.707598073132
109,Rabbinic_test2,10,25.2197048664,"we, you, our, my, your, rabbi, apolog, know, me, israel, jew, jewri, yom, am, jewish, let, kippur, happi, netanyahu, noth, moment, rememb, tell, don't, abraham, ask, synagogu, isra, us, will",0.027549316001,0.0199165725125,0.7,0.3,0.738405558372,0.0236086175943,0.011131059246,0.0144973070018,0.00628366247756,0.011131059246,0.0110412926391,0.0131956912029,0.72185011465,0.639380031917
110,WBC_train19,10,36.2234070301,"shall, unto, you, we, thou, s, crook, god, lot, me, your, thi, ye, lord, sin, wit, heaven, etern, let, my, hath, christ, will, our, thing, say, thee, hell, shalt, belov",0.0256756624316,0.0300737574744,0.4,0.6,0.639338160005,0.0110691962442,0.00776495855935,0.0109039843599,0.0165762590522,0.021202191811,0.00762728198915,0.0123633560041,0.778471309552,0.795844063511
111,Shepherd_test16,10,31.4953980446,"we, you, s, my, your, me, don, get, know, want, love, christ, our, god, t, ill, thing, said, ask, i, someth, go, car, jesus, preacher, sin, preach, someon, do, tri",0.0331185744793,0.0198694807487,1.0,0.0,0.593441791974,0.021355806004,0.0167529698447,0.0230141807967,0.00961180492097,0.0273462618878,0.0191220766914,0.0121501336853,0.67495880752,0.656668547888
112,DorothyDay_test21,10,22.8262488842,"we, me, my, worker, farm, our, get, too, room, talk, you, fr, christ, want, go, night, maurin, got, say, pray, destitut, money, am, detroit, peter, bus, cloth, stay, ask, rememb",0.0209074725814,0.0201175029528,0.5,0.5,0.672915945949,0.0182462270102,0.00228077837628,0.0122288542728,0.0122288542728,0.0129567622652,0.0118891638764,0.0100451302955,0.732414634302,0.639996255439
113,MehrBaba_train14,10,14.2839608192,"baba, we, mind, you, me, pure, conscious, s, divin, meher, realiz, my, feel, love, infinit, am, your, bad, reaction, imperson, react, shri, our, know, finit, say, awaken, i, here, k",0.0346675989105,0.0231921905584,0.7,0.3,0.730454087241,0.0151515151515,0.00757575757576,0.0183869949495,0.00449810606061,0.0233585858586,0.0141256313131,0.0109690656566,0.710954891013,0.729385217386
114,MehrBaba_test8,10,20.5970208645,"baba, we, sanskara, conscious, soul, master, s, our, realiz, worri, discipl, spiritu, love, meher, infinit, shri, mind, truth, me, dionysus, divin, oversoul, absolut, impress, upanishad, know, wisdom, my, say, etern",0.0362645851676,0.0172187487376,0.8,0.2,0.723617163784,0.0130368990804,0.00157141194273,0.00541264113607,0.0100686765219,0.021417762775,0.00453963450122,0.0122802933302,0.786646953369,0.627629454647
115,DorothyDay_test14,10,20.4673748016,"we, my, me, you, our, your, worker, get, too, am, pray, shall, talk, go, room, walk, i, love, weav, night, farm, fr, tri, feel, say, away, know, beach, down, sunday",0.0233056554642,0.0208613331056,0.7,0.3,0.720434823837,0.0163012928612,0.00612703766161,0.0186059584036,0.013940415964,0.00713884204609,0.0174817313097,0.0114109050028,0.760604940077,0.783496345882
116,DorothyDay_test4,10,28.7854127884,"we, my, our, me, get, worker, peter, tri, too, talk, room, go, you, am, maurin, i, us, want, love, fr, hospit, better, farm, ask, prayer, paper, everyon, pay, hope, say",0.0242824087305,0.0203560757125,0.7,0.3,0.740627663628,0.0217391304348,0.00241127269987,0.0176701077537,0.00855248285736,0.023924346319,0.0154848918695,0.00930600557607,0.738972197957,0.669252198247
117,Shepherd_train23,10,29.5396778584,"you, we, your, s, don, my, me, christ, our, t, want, get, ask, lord, thank, god, sin, jesus, know, said, thing, say, ill, love, happen, i, heaven, someth, do, let",0.0360458062607,0.0198593892581,0.9,0.1,0.555202874289,0.0228549361045,0.0202218789496,0.0220474652436,0.00958432804381,0.0231709029631,0.0192388709451,0.0135865749193,0.663768553157,0.681744471598
