,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
37,MehrBaba_test0,10,15.7008490562,"baba, meher, love, feel, discipl, master, realiz, want, spiritu, shall, perfect, shri, mediocr, know, infinit, mind, pure, divin, belov, god",0.0387370235058,0.0162387323997,0.8,0.2,0.397905995003,0.74002860217,0.013999164229,0.0153224683103,0.0104471374843,0.0108650229837,0.0260481961276,0.00188048474718,0.0110043181502,0.814051787907,0.761251736518,MehrBaba,8,5.23,8,6.0652388146,8,8
38,MehrBaba_test1,10,17.2807629108,"baba, realiz, imperson, meher, infinit, mind, imper, master, plane, truth, reaction, real, know, shall, bahinabai, pure, divin, grace, happen, spiritu",0.0309041806984,0.0131004768071,0.9,0.1,0.44708796888,0.738779998843,0.0143402264894,0.00240029542097,0.0203101920236,0.00966272772033,0.0179098966027,0.0062776957164,0.0137247661251,0.712242056537,0.723660710807,MehrBaba,8,6.07666666667,4,5.61264270562,4,4
21,JohnPiper_test1,10,24.835105896,"vers, god, christ, gospel, say, sin, salvat, shame, jesus, asham, kind, thing, save, let, love, will, perfect, spirit, joy, want",0.03106868537,0.0268845434314,0.6,0.4,0.503010250049,0.705216323257,0.0202911890218,0.0176554263242,0.0154380386579,0.00983181323739,0.0230106267258,0.000292862521965,0.0123002259225,0.696263030704,0.70419555875,JohnPiper,4,4.27,4,2.93343582902,4,4
52,Rabbinic_test0,10,23.0518360138,"moment, mose, rabbi, get, jew, jewish, synagogu, know, jewri, ourselv, rememb, tell, ask, want, journey, whi, promis, think, too, memori",0.0237990812615,0.0158604424145,0.8,0.2,0.375567959619,0.807973148661,0.0269112852207,0.00953817704025,0.0170324590004,0.00652099858874,0.0121660421432,0.00175191006862,0.0123120346489,0.769207005755,0.683528697434,Rabbinic,6,5.61,6,6.17677688985,6,6
1,DorothyDay_test0,10,24.1204810143,"car, worker, love, farm, say, pray, tri, prayer, mroconnel, get, maurin, feel, priest, christ, too, night, must, silon, fellow, walk",0.0270548388133,0.0226505147752,0.8,0.2,0.272744933693,0.71910070819,0.0186412593206,0.00492497468471,0.0171683696953,0.011276811194,0.0174905643008,0.00400441866888,0.0101261161742,0.725159349623,0.671469111801,DorothyDay,4,5.54666666667,4,5.4955642059,4,4
6,PastorAnderson_test0,10,121.788475037,"say, get, bibl, vers, want, know, let, look, talk, preach, lot, shall, unto, christ, whi, thing, tell, chapter, sin, realli",0.0204934327569,0.0170282952376,0.9,0.1,0.363435299508,0.660494923301,0.0124199163452,0.0305451248407,0.0267558528428,0.0145155633869,0.0150715513776,0.00118895893387,0.0179712425904,0.732312839565,0.731781888965,PastorAnderson,2,2.61666666667,2,2.58554128627,2,2
65,Ghandi_test0,10,53.2357099056,"div, href, class, meta, svg, https, numlnum, button, rel, content, width, numcnum, octicon, fillrul, mnum, viewbox, ariahidden, evenodd, path, arialabel",0.0111838027903,0.00760922639981,0.9,0.1,0.161530920736,0.714610387954,0.00415991356024,0.00680713128039,0.0165856293895,0.00506032775077,0.004087880425,0.000630289933369,0.00549252656222,0.623255649283,0.620823822615,Ghandi,1,5.82333333333,7,4.81640572474,6,6
16,Bahai_test1,10,7.71875286102,"baha'u'llah, baha'i, abdu'lbaha, fear, courag, uniti, perfect, god, creator, parent, must, imagin, mankind, consent, hath, tree, opinion, love, coupl, everyon",0.0292538988183,0.0187921542062,0.7,0.3,0.372436205946,0.619691493411,0.0107824163672,0.00801769422173,0.00801769422173,0.00870887475809,0.0118883052253,0.00124412496544,0.0110588885817,0.732059940995,0.692304622722,Bahai,6,6.28,6,5.7063358889,6,6
63,Shepherd_test1,10,30.0110800266,"don, christ, want, get, god, ask, know, said, bad, lord, thing, will, say, jesus, let, sin, wisdom, evil, heaven, pray",0.0315263233386,0.0252560564545,0.7,0.3,0.267333216318,0.573044875086,0.0206326383896,0.0203091301222,0.0210999281093,0.00941768511862,0.0202731847592,0.00427749820273,0.0117181883537,0.645688687547,0.722556926857,Shepherd,4,4.42,4,4.12673810416,4,4
13,Bahai_test0,10,7.52914905548,"baha'i, baha'u'llah, abdu'lbaha, talk, evil, thing, want, marriag, hath, heaven, will, everyon, craft, poverti, god, say, “the, worship, scriptur, friendship",0.0365467532478,0.0308241038326,0.6,0.4,0.349308490204,0.567116236303,0.00493096646943,0.0143702451395,0.0069033530572,0.0114116652578,0.00831220061989,0.000140884756269,0.0107072414765,0.727569732575,0.667698540279,Bahai,6,5.22666666667,1,3.93040548415,6,6
25,NaumanKhan_test0,10,56.4362471104,"allah, say, know, don't, get, quran, talk, thing, quot, someth, apo, want, gon, qur'an, surah, tell, whi, merci, ayah, somebodi",0.0193684920991,0.0122780490957,1.0,0.0,0.449709966017,0.739510736618,0.0127104426945,0.0336510944007,0.016263050901,0.0173288333629,0.016795942132,0.000690784929047,0.0172104130894,0.639659509226,0.613474726293,NaumanKhan,3,2.43,3,3.16815167436,3,3
24,NaumanKhan_test1,10,56.9974951744,"allah, don't, say, know, get, amp, talk, want, surah, happen, thing, tell, someth, ayah, whi, you'r, realli, fear, didn't, let",0.0196084326535,0.0214252110057,0.7,0.3,0.498421264729,0.764159837576,0.0116129032258,0.0472865275142,0.018330170778,0.0183491461101,0.0169070208729,0.000664136622391,0.0158823529412,0.714686457958,0.600050526956,NaumanKhan,3,2.38666666667,3,3.06266510856,3,3
51,Unitarian_test1,10,46.4335439205,"congreg, tell, evil, know, unitarian, let, want, feel, love, thing, too, silenc, say, think, talk, realli, ask, someth, universalist, heard",0.0250519147662,0.0230691332677,0.6,0.4,0.24859838467,0.689169290335,0.0188964287483,0.0105502996681,0.0274654514835,0.00953489523998,0.0105750656298,0.00626578830056,0.0106988954381,0.734731525308,0.603781119744,Unitarian,7,5.69,7,5.90229884195,7,7
17,JohnPiper_test0,10,29.2438471317,"vers, god, say, christ, hope, let, fear, sin, spirit, promis, jesus, husband, grace, whi, forgiv, lord, will, gospel, salvat, trust",0.0288087140672,0.0221643164011,0.7,0.3,0.399741274629,0.678484896337,0.0190776200757,0.0188298587761,0.0117509644993,0.0079637560613,0.0181927582912,0.00180511804056,0.0129543765264,0.677250544664,0.640101515537,JohnPiper,4,4.81333333333,4,4.5329442629,4,4
56,Rabbinic_test1,10,22.4478621483,"jewish, know, jew, rabbi, netanyahu, ask, koufax, moment, rememb, memori, answer, jewri, keter, want, question, synagogu, yizkor, hyphen, esther, israel",0.0215442597911,0.0165336987131,0.8,0.2,0.419478253638,0.755697708135,0.0264997087944,0.00863909920404,0.013443991458,0.00582411182295,0.0104834012813,0.00397980974568,0.0113570180547,0.698743880571,0.610473351328,Rabbinic,6,5.64333333333,6,5.48282100462,6,6
30,WBC_test1,10,33.6196279526,"shall, unto, prophet, sin, thou, job, god, thee, wit, belov, lord, say, sermon, pharaoh, heaven, mose, thi, puritan, angel, thing",0.0258608101213,0.0329718879985,0.5,0.5,0.380360643033,0.593146314427,0.00952291451305,0.00548194092034,0.0131879835855,0.0144096732763,0.0211446292642,0.00291326003195,0.00758074115841,0.800324906718,0.716251211835,WBC,1,1.81333333333,1,1.4988802275,1,1
45,ISIS_test0,10,23.891067028,"allah, ibn, messeng, mubāhalah, alayhi, sallam, sallallāhu, abū, said, dollar, prophet, ask, dabiq, prison, ta'ālā, kufr, jihād, inde, islam, say",0.0187030660029,0.0232688830785,0.3,0.7,0.369677562886,0.682511335349,0.00645678197757,0.0125836553869,0.00744650768216,0.0179093222735,0.0208313695919,0.00014138938637,0.0116410594778,0.73726271269,0.668057868694,ISIS,1,1.32,1,0.89930046617,1,1
58,MalcolmX_test0,10,63.8737959862,"malcolm, get, negro, let, got, want, know, say, tri, talk, think, tell, whi, thing, here, anyth, put, nonviol, should, black",0.0170061913503,0.0177594128355,0.5,0.5,0.382419390757,0.75181450934,0.0141385783626,0.0246072147339,0.0184850073568,0.0193137039355,0.0129885504575,0.00136988618106,0.0153393427929,0.689660283898,0.638043461172,MalcolmX,2,2.27666666667,3,2.86992627783,3,3
7,PastorAnderson_test1,10,107.477532864,"say, sin, get, repent, vers, bibl, want, unto, save, let, talk, thing, know, whi, chapter, tell, god, truth, preach, look",0.0240012806409,0.0235786233028,0.8,0.2,0.39810321678,0.678563966334,0.0135440180587,0.0287086878509,0.0198047500531,0.0196118153229,0.0168624954178,0.00109972796203,0.0182902124211,0.758594663655,0.714471466172,PastorAnderson,2,2.23666666667,2,1.70833806475,2,2
28,WBC_test0,10,30.4331870079,"shall, unto, coven, thou, thi, thee, christ, god, lord, sin, prophet, sabbath, heaven, say, thing, wit, rejoic, hath, saith, belov",0.0262536432539,0.027975735742,0.6,0.4,0.390545101276,0.596649210537,0.0118917066484,0.00551747772447,0.0111034955449,0.0157299520219,0.0257025359836,0.00123372172721,0.00860178204249,0.723404495383,0.787144036377,WBC,1,2.76,1,1.409097707,1,1
10,SeaShepherds_test0,10,6.24961280823,"whale, shepherd, fish, illeg, danish, seal, net, slaughter, eat, dog, diminish, gift, save, totoaba, vaquita, turtl, dolphin, endang, pollut, “sustain",0.0200601798438,0.0288975281605,0.3,0.7,0.317375752576,0.553162240708,0.0172156927661,0.00413838768416,0.00496606522099,0.00910445290515,0.000165535507366,0.000331071014733,0.00877338189042,0.770859091467,0.705085001201,SeaShepherds,2,4.73666666667,6,3.88282503873,6,1
36,IntegralYoga_test0,10,12.0280990601,"mind, medit, breath, sri, get, want, yoga, prana, don't, ask, feel, whi, happi, prayer, pranayama, sit, will, everyth, cri, inhal",0.0330683567972,0.0142962821276,1.0,0.0,0.345414559752,0.675532708913,0.013934792318,0.0379633765074,0.0103617686467,0.00821795444395,0.00964716391246,0.00133988387673,0.0150960250112,0.673488307085,0.703264737538,IntegralYoga,6,5.78,6,5.45097951724,6,6
33,IntegralYoga_test1,10,10.4819321632,"yoga, mind, whi, say, vibrat, self, want, don't, everyth, spiritu, joy, mantra, should, let, feel, will, get, mango, god, sound",0.0291288026724,0.0119133932648,1.0,0.0,0.39131977782,0.682882017272,0.0227934531579,0.0333366803896,0.00522140777186,0.00682799477859,0.00230946882217,0.000502058439602,0.0194798674566,0.746754554243,0.667924323415,IntegralYoga,6,5.46,6,5.21309565469,6,6
43,ISIS_test1,10,34.6951630116,"allah, ibn, jihād, alayhi, sallam, ribāt, sallallāhu, mujāhidīn, said, hijrah, will, khilāfah, prophet, muslim, dabiq, abū, messeng, inde, ask, rahimahullāh",0.018886007975,0.0220572162176,0.3,0.7,0.483421499713,0.734754207017,0.00551337386976,0.00923096310765,0.0047887590183,0.0187769761507,0.0164771116222,0.00135471472228,0.0123499574683,0.788224014215,0.760425447426,ISIS,1,1.74333333333,1,1.67754604365,1,1
50,Unitarian_test0,10,38.314291954,"get, want, know, fig, ask, anger, feel, grief, tree, say, talk, love, wonder, let, joy, too, moment, angri, silenc, rememb",0.0296607655094,0.0173041845833,0.9,0.1,0.228204968356,0.677653194128,0.0173317450864,0.00955926146516,0.0336807623585,0.0109291244789,0.0123287671233,0.00181655747469,0.011137581894,0.670323766147,0.64965067251,Unitarian,7,6.15666666667,7,4.87900518535,4,6
3,DorothyDay_test1,10,18.230533123,"prison, worker, too, get, farm, talk, room, prayer, maurin, joy, priest, say, know, pray, night, visit, hour, wool, wish, shall",0.0249866860496,0.0191736406884,0.8,0.2,0.302563131297,0.691024408037,0.018328969293,0.00380861699595,0.0148179004999,0.0154725065461,0.00964056177101,0.00773625327303,0.00946203284932,0.726122828744,0.660852582019,DorothyDay,4,2.98666666667,6,6.01881281956,4,1
61,Shepherd_test0,10,32.3187248707,"don, get, ask, god, ill, thing, know, said, didn, christ, want, bless, let, thank, lord, look, will, say, preacher, heaven",0.03332173899,0.0211341484719,0.9,0.1,0.249350582281,0.581638706204,0.0204158018306,0.013100139508,0.0218789342951,0.0116370070435,0.0232399877505,0.00568239817619,0.0118751913981,0.662249261912,0.578716428003,Shepherd,4,4.94666666667,4,4.04870403836,4,4
