,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,18.1067779064,"s, pray, don, sin, ask, prayer, get, christ, god, t, ill, want, said, re, heaven",0.033697141763,0.0268235205263,0.6,0.4,0.577808181368,0.0204690693223,0.0169656469978,0.0235832224998,0.0117105135109,0.0264054238168,0.0198202874104,0.0118078307977,0.673261895006,0.719403959407,Shepherd,4,4.0,3.58143100158
5,Shepherd_test9,10,15.1109559536,"s, sin, don, christ, ask, pray, get, t, jesus, say, want, know, said, prayer, let",0.0309157541676,0.0260048947314,0.6,0.4,0.620078980586,0.0254203991828,0.015558698727,0.021373565928,0.00876159044476,0.0286814395725,0.0191340562628,0.012258368694,0.62793231572,0.624099396609,Shepherd,4,4.0,4.14861639896
6,Shepherd_test0,10,15.4821081161,"s, don, love, god, get, know, christ, encourag, t, want, said, ask, listen, ill, thing",0.0378727437655,0.0200224225026,0.9,0.1,0.582664556643,0.0219005196733,0.0192650334076,0.0183741648107,0.00890868596882,0.0243504083148,0.0183741648107,0.0121752041574,0.62116792106,0.600269174689,Shepherd,4,4.0,3.96382722967
9,Shepherd_test10,10,18.3567409515,"s, get, don, want, christ, worship, t, god, ask, said, i, ill, know, prayer, pray",0.03423604831,0.0202410283842,1.0,0.0,0.601146571369,0.0232002617801,0.0157722513089,0.0262434554974,0.00958769633508,0.0237892670157,0.0230693717277,0.0105366492147,0.675275531511,0.565356476131,Shepherd,4,4.0,4.03254425254
15,Shepherd_test20,10,14.7453210354,"don, s, get, t, ask, sin, god, christ, grace, want, ill, said, know, satan, jesus",0.037998608638,0.0235579236264,0.9,0.1,0.623688030508,0.0241810877627,0.0181165018541,0.016880407911,0.00900030902349,0.0259193448702,0.0190435723115,0.0126313349815,0.657191700002,0.587483704552,Shepherd,4,4.0,3.8307710143
16,Shepherd_test6,10,17.3159189224,"s, christ, get, want, don, ill, ask, god, t, go, sin, said, thing, expect, love",0.0326334834734,0.0231845446328,0.7,0.3,0.655499905907,0.0178209801539,0.0148845686513,0.0220399621979,0.00934926420953,0.0286553260429,0.0207236398002,0.0123869312812,0.643806972161,0.532308804338,Shepherd,4,4.0,4.20271372296
21,Shepherd_test16,10,15.1307809353,"s, get, don, christ, want, said, ask, love, let, enoch, mom, i, t, preach, jesus",0.0342128165432,0.0199589180635,0.8,0.2,0.614482039509,0.0152958488228,0.0179677819083,0.0281521065675,0.00836431226766,0.0245120817844,0.0278810408922,0.0118881660471,0.643101103318,0.603133906343,Shepherd,4,4.3,4.26080976552
23,Shepherd_test19,10,15.4723260403,"s, get, don, want, ill, christ, ask, t, go, said, know, thing, god, sin, whi",0.0291972830432,0.0202583345474,0.9,0.1,0.626320868986,0.0227905798936,0.018123937344,0.0220670694208,0.0127337843215,0.0215967876135,0.0201497666679,0.0115399920414,0.659081154001,0.638052208151,Shepherd,4,3.7,3.87437771599
30,Shepherd_test14,10,20.7448449135,"s, don, christ, devil, ill, god, sin, know, get, let, satan, job, want, said, t",0.0296597183832,0.0316037291658,0.3,0.7,0.588325415226,0.018981520194,0.0194553613736,0.0211277420074,0.00900298241213,0.0220754243666,0.0176993617081,0.0124034897009,0.74691880302,0.639825962252,Shepherd,4,3.4,3.05349386026
31,Shepherd_test4,10,14.8558168411,"trust, s, get, don, christ, want, rememb, dad, lord, sin, god, said, pray, ill, t",0.0371831123988,0.0217584183755,0.8,0.2,0.633784240796,0.0232010363915,0.0177835355082,0.0285007655164,0.0108742590194,0.0266164173831,0.0210026302359,0.0105994582499,0.671649206461,0.529773546824,Shepherd,4,4.0,3.86443149603
32,Shepherd_test8,10,15.6208019257,"s, don, christ, get, pray, want, t, rememb, said, ill, car, ask, prepar, sin, god",0.0325887369529,0.0223530471623,0.8,0.2,0.601307098496,0.0225558237779,0.0156155703078,0.0238382619191,0.00856216053108,0.0256487628244,0.0211225105613,0.0122585998793,0.659150024276,0.704412518896,Shepherd,4,4.0,4.03135624269
34,Shepherd_test3,10,17.0470490456,"s, want, get, don, christ, god, t, ill, preacher, say, jesus, thing, will, spirit, said",0.0303795577411,0.0202159403871,0.9,0.1,0.589539789733,0.0200090005885,0.0131547062693,0.0231245889154,0.0114238238654,0.0241631183577,0.0203205594212,0.0124623533077,0.659419580234,0.618558143445,Shepherd,4,4.0,3.88740540181
37,Shepherd_test13,10,18.0336298943,"s, get, don, christ, god, ask, said, t, trust, ill, go, sin, let, know, want",0.0330718632525,0.0251673809651,0.7,0.3,0.564182432064,0.0205035730982,0.0162959994657,0.0200360649169,0.0108862619382,0.0219060976424,0.0177319174514,0.0140252454418,0.674791509321,0.645843836086,Shepherd,4,4.0,3.52469931121
44,Shepherd_test21,10,17.7475419044,"s, don, pray, get, t, christ, want, ask, prayer, ill, mind, said, know, i, god",0.032465285701,0.0210518081789,0.9,0.1,0.558967210863,0.0193169942352,0.0199575228399,0.0232275899268,0.00761891919226,0.0232275899268,0.0186764656306,0.0116643630112,0.668273506245,0.617345076558,Shepherd,4,4.0,4.04271933014
45,Shepherd_test1,10,15.6539139748,"s, sin, want, get, know, ill, god, don, said, delight, ask, preach, i, go, t",0.0287859999384,0.0266759398222,0.4,0.6,0.638672288181,0.0202853321444,0.0150468123049,0.0257839203448,0.00906524000594,0.025412394115,0.0229603209987,0.0141179967306,0.69802054172,0.653491966821,Shepherd,4,3.7,3.97248287415
49,Shepherd_test11,10,17.899009943,"s, don, get, christ, want, t, ill, thing, tell, re, say, ask, christma, car, i",0.0303566964857,0.0213197357626,0.8,0.2,0.554989212939,0.0175368804906,0.0179678435273,0.0269186142881,0.0107077739102,0.0228078899387,0.020023205702,0.0121001160285,0.699589871207,0.71120548571,Shepherd,4,4.0,4.05397002789
55,Shepherd_test18,10,16.6562669277,"s, pray, get, christ, ill, preacher, want, don, spirit, said, thing, sunday, prayer, ask, lord",0.0328240737294,0.0207041661459,0.9,0.1,0.599472364262,0.024864498645,0.0161585365854,0.0272696476965,0.0112127371274,0.0234078590786,0.0209010840108,0.012093495935,0.681598844703,0.616819242786,Shepherd,4,4.0,3.87054518107
58,Shepherd_test7,10,15.1690969467,"s, christ, get, sin, wisdom, god, want, ill, bad, know, said, evil, let, lord, ask",0.0339306752849,0.0265324392031,0.8,0.2,0.639625639235,0.0199992263355,0.0122625817183,0.0184905806352,0.00874240841747,0.024254380875,0.0182197980736,0.0119144327105,0.644521701893,0.685919087332,Shepherd,4,4.0,4.12266199989
63,Shepherd_test17,10,17.8662469387,"s, get, christ, don, ill, t, ask, said, heaven, god, know, preach, thing, preacher, bless",0.0328863475986,0.0226614995391,0.8,0.2,0.551736917249,0.0214407112041,0.0151980651065,0.0225519675775,0.00964178323964,0.0223558635116,0.0203294548307,0.0138907046673,0.652368428128,0.630335658773,Shepherd,4,4.0,3.86884864007
