,groupId,files,timeRun,nous,vous,je,ils,il,elle,le,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,5.30329704285,0.0213065853738,0.0202248664241,0.0226505392205,0.00989936735831,0.0231094502901,0.00540859474875,0.0133739797424,Shepherd,4,4.23282467532,4.05824409022
4,Shepherd_test9,10,4.82677292824,0.0210490346831,0.0166410387835,0.0231334358449,0.0116863147104,0.0222791730736,0.00372458568256,0.011788826243,Shepherd,4,4.27535714286,4.1374498993
5,Shepherd_test0,10,4.66007399559,0.0213113010177,0.0133683202723,0.0273039963122,0.00918407148683,0.0265593418673,0.00368781248892,0.0121981490018,Shepherd,4,4.25157467532,4.02206240743
8,Shepherd_test10,10,4.81752109528,0.0243489307643,0.013868304044,0.0209612534406,0.00931611264027,0.0260074811208,0.00292892935281,0.011539275884,Shepherd,4,4.22625968941,4.04444497537
14,Shepherd_test20,10,5.13680696487,0.0240869735043,0.0153635831001,0.025193672287,0.00869084044008,0.0276674695658,0.00494759455765,0.0115877872534,Shepherd,4,4.56465254655,4.10945459612
15,Shepherd_test6,10,4.94732403755,0.0211685301336,0.0140782656122,0.0281224434142,0.0104990455413,0.0252249795473,0.00248841014453,0.0107376602127,Shepherd,4,4.14353896104,4.09196547901
20,Shepherd_test16,10,4.55154109001,0.0194599322182,0.0152326810247,0.023359207026,0.00940198972341,0.0241609270799,0.00488320396487,0.0119164753471,Shepherd,4,4.18339285714,4.00903372901
22,Shepherd_test19,10,4.51785802841,0.0242873390322,0.0174267160729,0.019554609825,0.00939208276773,0.0270756136038,0.00297171368823,0.0125472355725,Shepherd,4,4.22625968941,4.03287814649
29,Shepherd_test14,10,4.47367501259,0.0185446183518,0.0157258363623,0.0218455604184,0.0119798234552,0.0262962688228,0.00448779764112,0.0116460203249,Shepherd,4,4.81742424242,4.08281168489
30,Shepherd_test4,10,4.46338605881,0.0218865944609,0.0175767342503,0.0266836562605,0.00738297792602,0.0259715923997,0.00794513360567,0.0132668740397,Shepherd,4,4.47860081752,4.00192275288
31,Shepherd_test8,10,4.31545209885,0.023368658049,0.0153332556966,0.0244555723768,0.00892822483599,0.0204960987539,0.00477465936881,0.0127324249835,Shepherd,4,4.56465254655,4.04925024664
33,Shepherd_test3,10,4.57930707932,0.0214009203126,0.018515813308,0.0298736396173,0.0107004601563,0.0232999780878,0.00339639179023,0.0115039076766,Shepherd,4,4.2717998306,4.09360320057
36,Shepherd_test13,10,4.71961402893,0.0233851071962,0.0132388199729,0.0247750095556,0.0102505299003,0.0295354251364,0.00566385211439,0.0121963932034,Shepherd,4,4.16465254655,3.98236108872
44,Shepherd_test21,10,4.65706801414,0.0226461360932,0.0172370271537,0.0267931196134,0.00883487793444,0.0244131116801,0.00753669178897,0.00977245681728,Shepherd,4,4.71527569436,4.03474086318
45,Shepherd_test1,10,5.05700302124,0.0212002281037,0.0163697963839,0.0218375767334,0.00801717486834,0.0261648384824,0.00563550367314,0.0119754453054,Shepherd,4,4.10757836991,3.96655655993
49,Shepherd_test11,10,4.55709576607,0.0184492178729,0.0210687822768,0.0238380360751,0.0100291894319,0.023650924332,0.00467779357832,0.0109647481476,Shepherd,4,4.31623376623,4.04388202085
55,Shepherd_test18,10,4.63596510887,0.0195431563094,0.01656685911,0.0238820956001,0.0107577007208,0.0219815684728,0.00674149245168,0.0122637788217,Shepherd,4,4.10262987013,4.10890414471
58,Shepherd_test7,10,4.71444511414,0.0221124106794,0.0182374062356,0.0257030111273,0.0116250133314,0.0236410821572,0.00472821643144,0.00945643286288,Shepherd,4,4.17504658385,4.07908878794
63,Shepherd_test17,10,4.98000693321,0.0257003858413,0.0193256165073,0.0248951518202,0.0109377621204,0.0221103841637,0.00375775876531,0.0111390706257,Shepherd,4,4.3075,3.92516535873
66,Shepherd_test2,10,4.53357410431,0.0262856734139,0.0162005579,0.0223517631071,0.00861883985409,0.0252843144267,0.0046134039053,0.0134110578642,Shepherd,4,4.57020810211,4.44606566851
71,Shepherd_test12,10,4.84697914124,0.0208519716468,0.0185809648338,0.0280434932214,0.00980662032895,0.0246369830019,0.00388823893744,0.0114926708416,Shepherd,4,4.23282467532,4.05603959575
72,Shepherd_test5,10,4.02344417572,0.0235318359777,0.0159076859674,0.0246857613847,0.00939624974243,0.0221306408407,0.0085308056872,0.00976715433752,Shepherd,4,4.22625968941,4.01969496666
73,DorothyDay_test8,10,2.33866906166,0.0145850451931,0.00178033415503,0.014927417146,0.010545056149,0.0126677622569,0.00499863051219,0.00999726102438,DorothyDay,4,3.42068965517,4.42928566111
