,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,17.7784659863,"christ, get, s, ill, god, don, preacher, said, want, ask, trust, know, jesus, i, sin, go, say, love, t, preach, thing, dad, scriptur, sunday, truth, lord, think, let, car, do",0.0334449563074,0.0205568546833,0.8,0.2,0.682231080765,0.0207166451242,0.0161209248887,0.0250610369094,0.0090478242137,0.0272511848341,0.0220450955048,0.0119201493609,0.6547869235,0.630503845374,Shepherd,4,4.0,4.2701960829
4,Shepherd_test9,10,17.7336399555,"s, christ, get, want, rememb, don, jesus, ill, devil, bless, said, go, god, t, satan, ask, say, i, lord, sin, evil, save, talk, someon, thing, know, whi, let, happen, think",0.031123398455,0.0231755889164,0.7,0.3,0.616917147144,0.0220511025551,0.0168708435422,0.0258662933147,0.00885544277214,0.0253762688134,0.0205110255513,0.0133006650333,0.698680821758,0.636290836713,Shepherd,4,4.2,4.18808974364
5,Shepherd_test0,10,15.923320055,"s, god, christ, pray, want, love, ask, know, ill, get, don, preacher, lord, i, bless, said, t, prayer, will, say, commit, do, hope, grace, sin, delight, thing, faith, evil, jesus",0.0369856702637,0.0221675602965,0.9,0.1,0.692359470894,0.0219142518994,0.0187836444852,0.0267628755774,0.00996449433055,0.024930324896,0.0206543733058,0.0111098385065,0.680572315986,0.679349676189,Shepherd,4,4.0,4.34916605236
8,Shepherd_test10,10,17.0919010639,"s, christ, don, love, get, god, thing, ask, sin, want, t, rememb, know, said, say, i, go, faith, let, evil, ill, heaven, preacher, re, trust, preach, better, someth, told, super",0.0349412550702,0.026439658595,0.8,0.2,0.6083901752,0.0222938004415,0.0171546451449,0.0232347725381,0.00940972096558,0.0248633780898,0.0214252108139,0.0109297528139,0.671820923816,0.697588196818,Shepherd,4,4.0,4.04823335334
13,Shepherd_test20,10,17.1000010967,"s, ask, get, christ, don, pray, prayer, troubl, god, want, know, ill, let, t, someth, love, thank, lord, i, sin, thing, do, say, bless, said, everyth, go, spirit, someon, re",0.0380760560609,0.017753985523,1.0,0.0,0.64150011221,0.0289183460861,0.0175306247081,0.0249308474333,0.00854977188634,0.0190753313935,0.0223802852319,0.0130761217085,0.679823888412,0.636038910623,Shepherd,4,4.4,4.22111470322
14,Shepherd_test6,10,17.2835190296,"s, don, get, love, t, god, ask, want, said, ill, know, didn, i, sermon, got, christ, tell, think, thing, do, warn, go, say, sin, whi, worship, evil, rememb, how, repli",0.030866439017,0.0223476014588,0.7,0.3,0.590852574688,0.0195082745771,0.0163299601797,0.0230884448179,0.0120922076499,0.0255361122274,0.0213348920469,0.0134804369269,0.62998499582,0.689027894299,Shepherd,4,4.2,3.77149647192
19,Shepherd_test16,10,17.3985989094,"s, don, get, sin, christ, t, ask, want, know, ill, thing, said, god, i, lose, someth, say, do, heaven, think, good, car, preacher, will, better, ve, lord, didn, put, super",0.0352079254576,0.0198690155866,1.0,0.0,0.597871622821,0.0228780193665,0.019118220835,0.0234100663285,0.010392650658,0.0173802007591,0.0233036569361,0.0143297981769,0.655030359282,0.593390852846,Shepherd,4,4.6,4.31009930969
21,Shepherd_test19,10,17.9481999874,"s, don, sin, get, grace, t, want, jesus, said, ill, christ, ask, sunday, i, god, let, know, whi, elder, say, someon, got, someth, walk, tri, save, do, go, preach, didn",0.0311058942495,0.0232859890366,0.9,0.1,0.588224753541,0.0185185185185,0.0170356576316,0.0270018621974,0.00969032347058,0.024932753983,0.0218980619353,0.0104145113456,0.681743679648,0.619199583651,Shepherd,4,4.0,4.30872412623
28,Shepherd_test14,10,17.895524025,"s, get, don, know, christ, god, t, judg, grace, jesus, said, thing, lord, prayer, evil, sin, whi, do, ill, will, want, happen, i, let, ask, pray, go, say, listen, prais",0.0326280366107,0.0230143213596,0.8,0.2,0.563528464237,0.0203926972098,0.0186014467792,0.0227695487427,0.00781949707199,0.0242163279366,0.0206682741991,0.014812263176,0.69051441466,0.629479272309,Shepherd,4,4.2,4.15190102061
29,Shepherd_test4,10,18.3208398819,"s, pray, evil, get, christ, god, happen, ask, ill, preach, love, said, grace, don, let, know, thing, preacher, whi, t, heaven, do, lord, think, go, i, repli, bless, must, re",0.037542116794,0.0258798108565,0.8,0.2,0.610153613656,0.0214082792208,0.0179247835498,0.0197849025974,0.00808306277056,0.0234375,0.0202922077922,0.0111607142857,0.699617769864,0.625373321644,Shepherd,4,4.0,3.95574993347
30,Shepherd_test8,10,17.589302063,"get, s, grace, want, don, wisdom, god, lord, sin, said, friend, ill, prayer, know, christ, i, whi, trust, ask, preach, go, let, rememb, say, t, will, thing, fear, someth, got",0.0334243962878,0.0213666986089,1.0,0.0,0.663316977775,0.0218686454283,0.0152688095323,0.0284684813242,0.00895437194535,0.0239377831686,0.0220113445828,0.0118083550355,0.700297942349,0.692096918956,Shepherd,4,5.2,4.73583287865
33,Shepherd_test3,10,16.7813930511,"s, christ, sin, get, want, don, ill, god, know, said, ask, t, lord, whi, wait, love, promis, let, i, say, thing, tell, will, evil, someon, anger, preacher, jesus, someth, good",0.0338702198475,0.0240094163599,0.6,0.4,0.582307439127,0.0219522903556,0.0176715937363,0.0243670422947,0.00911020049759,0.025245133909,0.0191716669106,0.0116713010391,0.634540809426,0.643844448699,Shepherd,4,4.0,3.99327784142
36,Shepherd_test13,10,14.5512449741,"s, get, don, christ, want, t, pray, thank, bad, jesus, heaven, mom, god, i, said, ask, ve, good, know, lord, go, will, prayer, love, say, sin, got, told, didn, preacher",0.0370735745588,0.0224328063046,0.9,0.1,0.630940359804,0.0215135408757,0.0201214882308,0.0291909221294,0.00911161731207,0.0213026238083,0.0256475153969,0.0110520543322,0.703903460287,0.638634299511,Shepherd,4,5.2,4.30811515874
44,Shepherd_test21,10,18.6674940586,"s, get, sin, don, christ, merci, ill, t, say, ask, god, want, said, trust, go, i, lord, pray, tell, let, heaven, evil, truth, know, must, preacher, save, will, am, re",0.0301723538451,0.0283088753911,0.6,0.4,0.60716108522,0.0199256555373,0.0164763403771,0.026690331871,0.0100465490104,0.0212651954054,0.0250159070359,0.0108167844345,0.663511339652,0.607622564813,Shepherd,4,4.0,4.50992849423
45,Shepherd_test1,10,17.6287109852,"s, get, christ, don, know, t, god, worship, ask, want, ill, jesus, heaven, lord, walk, got, whi, preach, bibl, i, let, said, how, go, thing, tell, happen, sin, preacher, thank",0.0318441687498,0.0184713542941,0.9,0.1,0.615220566833,0.0226691301876,0.015598351336,0.0239837976123,0.0106239340534,0.0278212052302,0.0205017055145,0.0128979533826,0.660508353612,0.619497616281,Shepherd,4,4.0,3.96123896525
49,Shepherd_test11,10,16.2220890522,"s, preacher, don, get, christ, god, t, ask, said, will, ill, want, re, know, heaven, love, sin, go, say, i, dad, think, imit, thing, talk, lord, let, grace, listen, someon",0.0361949293317,0.0218809494705,0.8,0.2,0.635384484626,0.0235148977532,0.0157389061273,0.0242625892557,0.0116266028637,0.0268421249393,0.0201876705671,0.0110658342368,0.654346690935,0.634674448598,Shepherd,4,4.0,3.86517096478
55,Shepherd_test18,10,17.3631088734,"s, christ, don, want, elder, get, say, preacher, t, ill, know, said, should, i, thing, tell, ask, must, think, someth, will, better, look, bad, lord, commit, go, someon, do, love",0.0329617886282,0.0205254908972,0.9,0.1,0.596727135547,0.0234960720307,0.0161423395631,0.023460200165,0.00932668508089,0.0264734368835,0.0209132977006,0.0124834092621,0.678831729559,0.644389409895,Shepherd,4,4.0,3.9285325323
58,Shepherd_test7,10,16.6704800129,"pray, s, don, want, prayer, rememb, get, t, christ, ask, know, god, love, preach, jesus, i, ill, didn, preacher, spirit, let, someon, said, bless, better, got, say, do, thing, walk",0.032469313045,0.0185114869879,1.0,0.0,0.581870592267,0.0230281455112,0.0210627804353,0.0257351577854,0.00808395446286,0.02358438091,0.0213223569548,0.0107538843772,0.691915221731,0.659464331825,Shepherd,4,4.0,4.05023356012
63,Shepherd_test17,10,18.2729251385,"s, get, don, sin, t, want, christ, god, let, thing, ill, said, know, thank, go, happen, ask, heaven, didn, i, say, spirit, do, whi, someth, bad, lord, car, better, someon",0.0324464464059,0.0263343501893,0.6,0.4,0.599111984055,0.02203517416,0.0151577362622,0.0227879285568,0.00889618832546,0.0242592212414,0.0222062547047,0.0118045575857,0.676349253117,0.587567615274,Shepherd,4,4.0,4.06971211309
66,Shepherd_test2,10,17.0808498859,"s, christ, get, don, want, know, pray, grace, ask, god, ill, t, said, thing, go, i, jesus, sin, talk, say, spirit, whi, heaven, re, someon, will, am, prayer, someth, better",0.0310073304001,0.022937022132,0.8,0.2,0.590880653353,0.0236352004549,0.015353994882,0.0225334091555,0.00980949673017,0.026976116008,0.0184461188513,0.0102004549332,0.658272475346,0.605157326008,Shepherd,4,4.0,3.9911199809
71,Shepherd_test12,10,16.8233029842,"s, get, god, want, christ, ill, don, let, say, know, thing, save, wisdom, ask, sure, said, fear, t, i, jesus, preacher, happen, someth, do, faith, lord, whi, if, spirit, els",0.0314402612873,0.0186910196674,0.9,0.1,0.622344723062,0.0210005060363,0.0186871972819,0.0258439962409,0.0120364346129,0.0234583965879,0.0219764331671,0.0117834164679,0.6423573489,0.563178886577,Shepherd,4,4.0,4.10385655138
72,Shepherd_test5,10,16.4703400135,"s, christ, don, preach, walk, want, get, ill, t, ask, god, said, i, someon, know, say, thing, whi, hope, do, love, should, dad, let, evil, go, jesus, tell, got, pleas",0.031592662008,0.0186868386347,0.9,0.1,0.624121649967,0.0213875651946,0.0187235000563,0.0274661363551,0.00904281265243,0.0237889760234,0.0246144609958,0.0115567896139,0.667557765295,0.593820929883,Shepherd,4,4.0,4.25528303967
73,DorothyDay_test8,10,13.6050059795,"get, worker, want, go, love, too, i, am, babi, thing, hospit, done, ask, priest, pray, conscript, peter, know, tamar, tri, dollar, farm, hour, say, put, paper, room, fear, talk, night",0.0241616725919,0.0224661891419,0.6,0.4,0.708858837037,0.0186239505935,0.00250892598668,0.0162597703368,0.0101322011001,0.0142815786934,0.0180932162501,0.0119173984367,0.751459125672,0.597963158512,DorothyDay,4,4.0,4.22360846989
75,DorothyDay_test13,10,19.1289229393,"worker, get, room, too, love, talk, labor, i, tri, am, christ, know, thing, go, say, cloth, want, poor, sin, shelter, night, street, morn, hope, desir, woman, feel, cathol, comfort, shall",0.0269296377135,0.0243337986185,0.7,0.3,0.753735000368,0.0196248871653,0.00447995720638,0.0196248871653,0.0127043562569,0.0140416569155,0.0181538564408,0.0126040587075,0.752931749366,0.723723260433,DorothyDay,4,4.2,4.06556513451
76,DorothyDay_test3,10,10.0089969635,"worker, room, hospit, ask, talk, get, floor, fidel, love, priest, street, morn, too, go, prayer, know, night, say, unemploy, farm, paper, cloth, reader, bed, stjoseph, put, cathol, strike, hour, will",0.024001676332,0.0197880264953,0.7,0.3,0.733224182257,0.024846767284,0.00177947670204,0.011533645291,0.0104791405787,0.0175970473868,0.0099518882225,0.00916100968826,0.721154816056,0.664253979398,DorothyDay,4,4.0,4.24519908989
88,DorothyDay_test23,10,16.8742830753,"too, worker, talk, get, retreat, priest, say, go, tri, fr, labor, farm, love, pray, know, room, i, cooper, hear, hospit, joy, am, thing, silenc, happi, bed, parish, night, put, cathol",0.025366949123,0.018614321859,0.9,0.1,0.690760374055,0.0205484773151,0.00407862026103,0.0131681168428,0.0115755127408,0.0115366687383,0.0128962088254,0.00998290863891,0.74027048005,0.763156986375,DorothyDay,4,4.0,3.98935541617
89,DorothyDay_test16,10,9.5395488739,"worker, get, labor, priest, too, talk, poverti, love, peter, ask, joy, pray, god, want, say, maurin, cathol, tri, bread, rememb, spoke, said, farm, know, hospit, prayer, manual, told, ddlw, merci",0.0274898125717,0.0215322773372,0.6,0.4,0.675831176985,0.0227335736069,0.00304962572775,0.00928749653452,0.0112281674522,0.0196839478791,0.00984197393956,0.0100499029665,0.699787862088,0.660542153015,DorothyDay,4,4.0,3.83140914465
90,DorothyDay_test6,10,10.9515559673,"get, worker, room, peter, night, bed, christma, tri, summari, want, strike, love, go, sleep, priest, am, hospit, farm, say, joy, got, club, maurin, picket, talk, too, cathol, parish, pay, door",0.0243617404815,0.022524133711,0.7,0.3,0.678807153966,0.0165534804754,0.00224351200582,0.0132185301965,0.010914382731,0.025951976716,0.0133398011157,0.0093984962406,0.735953690705,0.745558213627,DorothyDay,4,4.0,3.76184363369
