,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
0,ACLU_test0,10,6.87326693535,"kobach, “the, africanamerican, bensoud, you'r, zipti, youtubecom, don't, guliani, soud",0.022619722388,0.0239471535018,0.5,0.5,0.0637082487097,17.3,0.484113086254,0.00755172934602,0.00558827971605,0.00573931430298,0.0137441474098,0.00860897145446,0.00135931128228,0.00770276393294,0.853542545886,0.773282696963,ACLU,3,2.93,3,4.21773580214,9
2,ACLU_test1,10,7.08266711235,"mohamedou, you'r, guantánamo, don't, we'r, can't, “we, “everi, asylumseek, aclu",0.0229635671704,0.0338134437044,0.3,0.7,0.0987778186726,17.0,0.560495662434,0.0104936446941,0.00266036062666,0.00945906000591,0.00827667750517,0.0101980490689,0.00295595625185,0.00827667750517,0.755044096914,0.76654842297,ACLU,3,2.74666666667,3,3.80665469885,3
5,Schizophrenia_test1,10,8.00194597244,"pammi, lynni, supportemptypara, endif, didn't, dunno, trashcan, jerald, mittwoch, wouldn't",0.0160994806029,0.0239617072686,0.3,0.7,0.0738980146596,38.6,0.821634501115,0.00271273557967,0.00371216447744,0.0762421473444,0.00799543118218,0.0125642490006,0.0256996002284,0.0104226156482,0.762287040628,0.587395388141,Schizophrenia,9,8.01666666667,9,8.61723893372,9
8,Schizophrenia_test2,10,5.82841014862,"didn't, endif, num¢, supportemptypara, can't, walkietalki, “you, wristheld, design—cent, doesn't",0.0152284384529,0.0214916485415,0.1,0.9,0.103543366056,23.3,0.843865030997,0.00348964013086,0.00523446019629,0.0728462377317,0.00763358778626,0.00436205016358,0.0263904034896,0.0111232279171,0.804878476523,0.535010208181,Schizophrenia,9,7.83333333333,9,7.22301621131,9
9,Schizophrenia_test0,10,10.8618769646,"lynni, pammi, omalley, zyprexa, pam, rdf, trackback, sominex, demateri, xmlns",0.017503252021,0.0223688705407,0.2,0.8,0.19244237691,55.3,0.80697916864,0.00226804123711,0.00814432989691,0.0457731958763,0.00845360824742,0.00855670103093,0.0403092783505,0.0175257731959,0.719263092795,0.674601625121,Schizophrenia,9,8.33,9,6.19234681834,9
11,Ghandi_test0,10,50.0037870407,"href, numlnum, svg, octicon, ariahidden, fillrul, evenodd, viewbox, arialabel, datagaclick",0.0108902542616,0.00693896486314,0.9,0.1,0.0752529200894,96.3,0.729242530006,0.00466888282972,0.00689127105666,0.0156687707765,0.00562133492698,0.00380980838905,0.000485563814291,0.00580809024017,0.674386670114,0.461848119994,Ghandi,2,2.65,2,3.94078264668,9
13,ISIS_test1,10,23.6892039776,"jihād, ribāt, sallam, sallallāhu, alayhi, hijrah, shām, rahimahullāh, abū, radiyallāhu",0.0157001547117,0.0196707729387,0.4,0.6,0.150884605919,65.4,0.657113987972,0.00473872399087,0.00809891009348,0.00581570671606,0.0200749579977,0.0170163270581,0.00129237927024,0.0124068409943,0.777303927961,0.822455327684,ISIS,1,2.23666666667,1,2.49238418146,1
16,ISIS_test0,10,30.0855460167,"tandhīm, abū, alayhi, sallam, jihād, mujāhidīn, dabiq, sallallāhu, shām, bay'ah",0.016338115964,0.0250290994217,0.2,0.8,0.13161309805,85.0,0.692162735773,0.00693862501257,0.00623470653303,0.00532966848792,0.0207823551101,0.0138102101699,0.000234639493179,0.0102906177723,0.769032456568,0.766031452493,ISIS,1,1.4,1,1.07001198676,1
