,groupId,files,timeRun,nous,vous,je,ils,il,elle,le
0,Shepherd_train32,10,4.76973795891,0.0251250776029,0.0172004528357,0.0209253916664,0.00920279005222,0.0255267866925,0.00660994047402,0.00949494211737
1,DorothyDay_test8,10,4.04945206642,0.0162469536962,0.00317202429306,0.014390158988,0.0128428300646,0.0172914007195,0.0050288190012,0.00998027155623
2,Shepherd_train27,10,5.33878302574,0.0269697364988,0.0147404122098,0.0280459170363,0.00883772501957,0.0254369945213,0.00384816070963,0.0118705974433
3,Unitarian_train13,10,4.71103692055,0.0217666948436,0.0127852916314,0.0241617357002,0.0124683009298,0.0106015779093,0.00383910960834,0.0117638771485
4,Unitarian_test6,10,5.74426007271,0.0158541877622,0.011398813829,0.0307536525387,0.0119195718212,0.00862143787068,0.00208303196875,0.011398813829
5,JohnPiper_train57,9,4.11446905136,0.0228438228438,0.0126651126651,0.0122377622378,0.0100233100233,0.0232711732712,0.000505050505051,0.0123543123543
6,WBC_test9,10,5.36298584938,0.0104753494321,0.00645573860349,0.0148908310241,0.0131550899845,0.0229909558756,0.0033192240933,0.0110843813758
7,WBC_train34,10,4.99983119965,0.0103295622233,0.00750942777505,0.0163633382522,0.0170191834727,0.0267584849975,0.00206591244466,0.00849319560584
8,DorothyDay_train68,10,2.14531803131,0.0180253690379,0.000815963207477,0.0166901565166,0.0113493064313,0.00912395222906,0.00830798902159,0.0109042355908
9,Shepherd_train44,10,4.73982977867,0.0183954298854,0.0166349297596,0.0232457873747,0.00804800057486,0.0259404304243,0.00786835770488,0.0116408579743
10,Shepherd_test15,10,4.38763403893,0.021433129387,0.0159528546226,0.0243609474119,0.0100596824444,0.0252618144965,0.00412897413761,0.010322435344
11,DorothyDay_test13,10,2.38860797882,0.0217362752824,0.00262674021539,0.0130680325716,0.00925925925926,0.0212109272393,0.00472813238771,0.00925925925926
12,PastorAnderson_test5,10,19.9960618019,0.0168046781271,0.0328207193375,0.0240282566929,0.0156133329977,0.0131886939669,0.00314615791196,0.0185916958211
13,DorothyDay_test3,10,2.37241101265,0.0155694812326,0.00310097551521,0.0234511273338,0.00930292654564,0.0193164933135,0.0116286581821,0.00917371923251
14,DorothyDay_train29,10,2.89871001244,0.02652381943,0.00499271895153,0.0115976700645,0.0142500520075,0.0128458498024,0.00754108591637,0.0107655502392
15,Unitarian_train25,10,5.45504188538,0.0186458765637,0.0114424616114,0.0255232110037,0.0125689215628,0.00788521965969,0.0031422303907,0.0104345763918
16,JohnPiper_test8,10,3.98462605476,0.0183482602837,0.017912340493,0.00994689704367,0.0080050725212,0.019656019656,0.00083221050963,0.0121264959975
17,DorothyDay_train65,10,4.22846603394,0.0195507930313,0.00312244970372,0.0104673029841,0.00883511336621,0.0128801050279,0.00379661498066,0.011425327325
18,WBC_train23,10,4.34656190872,0.00851079507774,0.00526858742908,0.0143688748066,0.0132635767445,0.0216638420161,0.000773708643431,0.00869501142141
19,WBC_train13,10,4.28366804123,0.0104263292642,0.00905346740381,0.012801009239,0.0168082816964,0.0281993247004,0.000853400615933,0.00972134614671
20,DorothyDay_train58,10,3.67632508278,0.0180261749938,0.00246933904025,0.0179850193432,0.0103300683184,0.0190962219113,0.00345707465635,0.00847806403819
21,JohnPiper_test15,10,4.48537302017,0.0189581733119,0.0137560226241,0.00984568116752,0.00914740590741,0.0208086027512,0.000593533971091,0.0119055931848
22,Shepherd_test9,10,5.08239006996,0.0228257633398,0.017962883324,0.0273247543749,0.00969267921532,0.0224949551755,0.00502828409805,0.0127030335109
23,Shepherd_train59,10,4.70727109909,0.0224466891134,0.0196408529742,0.0199915824916,0.00838243546577,0.0244458473625,0.00634820426487,0.0129419191919
24,NaumanKhan_train5,10,9.01602387428,0.0160709239898,0.0384995761515,0.0166537157389,0.020450692286,0.0164417914665,0.000777055665442,0.0157177168692
25,Rabbinic_train16,6,1.74285697937,0.0220419679069,0.0118144947981,0.0141068594604,0.00793510844648,0.0129606771293,0.00202786104743,0.0140186915888
26,Rabbinic_train15,10,3.02150988579,0.0184236402215,0.00708999637737,0.0121616726181,0.0076592661595,0.0097293380945,0.0026910935155,0.013662474771
27,JohnPiper_train41,10,4.09897994995,0.0187454384819,0.0148273345369,0.00975684707871,0.0104482771866,0.021280682211,0.000883494026812,0.0109476433757
28,DorothyDay_train64,10,3.01666212082,0.0206680479054,0.00282985496993,0.0167264641973,0.0132396786093,0.00808529991409,0.0127848804892,0.010258224266
29,DorothyDay_train59,10,2.2016620636,0.0228857122738,0.00204210971058,0.0128159988733,0.0156327019224,0.0110555594676,0.00457714245476,0.00887261460461
30,Shepherd_test0,10,4.69870710373,0.0205432876418,0.0161769442754,0.0188969614545,0.0105937511184,0.024158047314,0.00275580687878,0.0112021760137
31,WBC_test11,10,4.67446303368,0.0111164154675,0.00954784150583,0.0142535633908,0.0167087226352,0.0221305326332,0.000681988678988,0.00804746641206
32,JohnPiper_train26,10,4.37447619438,0.022071796349,0.0164188240377,0.0147265329637,0.00954164116228,0.0227919202103,0.001656284881,0.0102977712166
33,Shepherd_train55,10,5.23186898232,0.0177501376607,0.0185599067146,0.0256534836265,0.0119845819972,0.0263660803939,0.0027856055453,0.0105269977003
34,MehrBaba_test1,10,2.37100601196,0.00926225791826,0.0182006606646,0.0117883282596,0.00744866895524,0.0277867737548,0.00213744413498,0.0154155061856
35,MehrBaba_train20,10,2.82444310188,0.00231647454636,0.00518449065137,0.00507418233964,0.0130163807843,0.0292868567647,0.0136230764988,0.0115272185759
