,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
3,Shepherd_test15,10,53.4675629139,"don, ask, want, christ, get, sin, merci, god, ill, someon, know, pray, preacher, said, love, lord, lose, thing, jesus, money",0.032325806303,0.0218571902089,0.7,0.3,0.300285079955,0.639189961922,0.0242519137091,0.0173973556019,0.024913013222,0.00998608211552,0.0239735560195,0.00734168406402,0.0143006263048,0.67635908988,0.664169697951,Shepherd,4,4.62,4,3.78633166756,4
5,Shepherd_test9,10,53.9825928211,"don, christ, ill, pray, let, merci, ask, get, said, know, sin, want, prayer, god, someon, rememb, told, worship, dad, need",0.0304065372212,0.0203574403394,0.9,0.1,0.21678007327,0.550601794652,0.0237601878713,0.0138831330294,0.0251761292996,0.0100842657826,0.0225859925404,0.00618179306534,0.0117074181517,0.736848869764,0.62712962983,Shepherd,4,4.14,4,4.64443944418,4
6,Shepherd_test0,10,50.7551748753,"christ, trust, worship, say, get, know, ill, don, lord, rememb, said, god, want, talk, thing, let, will, love, preach, whi",0.0351017330791,0.0194593390151,0.8,0.2,0.294480059621,0.619234432656,0.0242844444444,0.0163555555556,0.0228622222222,0.0108444444444,0.0241422222222,0.00380444444444,0.0113777777778,0.628868231403,0.68247207647,Shepherd,4,4.0,4,3.89945507154,4
9,Shepherd_test10,10,56.1480488777,"don, christ, ask, want, sin, jesus, get, know, love, said, save, preach, god, ill, thing, think, heaven, talk, whi, preacher",0.0325868901391,0.0220128460317,0.8,0.2,0.269705794065,0.609238248047,0.0201015297605,0.015808660693,0.0233382167558,0.0126060440871,0.0230997240298,0.00538312152908,0.0116861435726,0.709363420046,0.582346881731,Shepherd,4,4.0,4,3.817813572,4
15,Shepherd_test20,10,57.9416279793,"christ, don, get, ask, know, sin, ill, want, said, preach, god, thing, sigh, better, talk, will, let, say, jesus, whi",0.0259676605544,0.0254000789315,0.7,0.3,0.251918606091,0.571882358138,0.0207534117351,0.0171372869631,0.0203131878498,0.00861581032639,0.0242752028174,0.00393057040438,0.0134582730646,0.668293681484,0.744068400082,Shepherd,4,4.02,4,3.94831197888,4
16,Shepherd_test6,10,50.7495231628,"don, get, ask, ill, said, listen, want, worship, thing, thank, whi, know, christ, lord, disagr, god, say, jesus, judg, sin",0.0292583802769,0.0211453450223,0.8,0.2,0.257803109876,0.61710490673,0.0221221257583,0.0190707980675,0.0269533946021,0.00795524719387,0.0266991172945,0.007628319227,0.0123869374115,0.648614321281,0.652578092232,Shepherd,4,4.0,4,3.96356159464,4
21,Shepherd_test16,10,53.9532339573,"get, don, christ, know, ill, sin, say, lord, spirit, said, ask, thing, want, happen, will, talk, bless, let, someon, preacher",0.0307572142157,0.0262543675406,0.6,0.4,0.263742328879,0.631998988277,0.024362070776,0.0176064965522,0.0224719101124,0.0103608806749,0.0216318387063,0.00392033322832,0.0110959431552,0.750366691845,0.695584486324,Shepherd,4,3.99,4,4.62507162307,4
23,Shepherd_test19,10,54.008949995,"god, get, ask, thing, know, christ, want, said, don, grace, ill, tell, sin, pray, whi, happen, will, prayer, bad, preacher",0.034443825121,0.0217864900608,0.7,0.3,0.282246333604,0.652381863651,0.0209237776671,0.0155504946267,0.0228809337414,0.0106042274571,0.0246245818803,0.00644082271724,0.0115650131663,0.677010882264,0.640593685421,Shepherd,4,4.0,4,3.91803226873,4
30,Shepherd_test14,10,50.46235919,"christ, get, ask, don, want, jesus, let, knock, door, sin, pray, said, know, say, god, elder, talk, ill, rememb, someon",0.0294732249589,0.019818895525,1.0,0.0,0.253599632968,0.591640366248,0.0204765981735,0.0177297374429,0.0240439497717,0.00945348173516,0.0217608447489,0.0044948630137,0.0112371575342,0.686378282292,0.58889284481,Shepherd,4,4.01,4,4.51236024713,4
31,Shepherd_test4,10,52.3847260475,"get, god, don, job, know, sin, want, wisdom, thank, hope, ill, ask, said, christ, say, thing, preacher, someth, everyth, lord",0.035604772432,0.0271327166001,0.6,0.4,0.289532952654,0.620451827292,0.0219986295936,0.0134876843738,0.0250640124058,0.00923221176386,0.0260737855675,0.00526524577157,0.0129106711385,0.67166014893,0.597963770168,Shepherd,4,4.02333333333,4,4.17977950588,4
32,Shepherd_test8,10,54.9535319805,"christ, don, get, ask, want, said, ill, know, preacher, pray, sin, say, let, thing, tell, god, someon, jesus, someth, tri",0.0266953597487,0.0268140272842,0.4,0.6,0.269761036942,0.609329497896,0.0203849337748,0.017798013245,0.0227649006623,0.00903697571744,0.024075607064,0.00300082781457,0.0110030353201,0.669696910362,0.577760420982,Shepherd,4,3.89333333333,4,4.40917768478,4
34,Shepherd_test3,10,51.4245378971,"don, want, get, ask, ill, christ, said, know, god, thing, tell, whi, preacher, say, got, lord, someon, sin, let, better",0.0311322669876,0.0219164096576,0.7,0.3,0.248537180683,0.591665395073,0.0227534562212,0.0186851958525,0.0265697004608,0.00838853686636,0.0255616359447,0.00486031105991,0.0118087557604,0.694046942314,0.683083848411,Shepherd,4,4.01,4,4.17588575166,4
