,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,58.7485120296,"s, get, sin, walk, christ, want, know, don, thing, i, ask, say, god, said, spirit, t, ill, whi, do, go, jesus, bless, tell, someth, eat, preacher, think, love, talk, clean",0.0304247804229,0.0232635902195,0.7,0.3,0.0669970627055,0.657886298328,0.0226531217559,0.0154234020466,0.0271763310099,0.00882396559395,0.0231721785555,0.00626575708142,0.0135325522764,0.668109403771,0.656312258629,Shepherd,4,4.0,4.24045880409
5,Shepherd_test9,10,62.3625190258,"s, christ, don, sin, want, get, t, know, ask, god, ill, spirit, lord, said, enoch, say, save, jesus, will, satan, go, i, thing, scriptur, preach, ungod, too, heaven, drink, veteran",0.0273001383787,0.0274808394376,0.4,0.6,0.0652654797537,0.55211070649,0.0188672701419,0.015676481809,0.0187285402143,0.0100579197447,0.0245551971699,0.00381507300662,0.0118267263205,0.686030815994,0.707237907111,Shepherd,4,4.0,3.62417949694
6,Shepherd_test21,10,62.8911399841,"sin, s, get, don, christ, want, god, thank, ill, t, ask, said, say, go, know, preacher, jesus, i, let, good, someon, bless, put, will, think, look, evil, cleans, better, thing",0.0328105595796,0.025762350607,0.8,0.2,0.0784472383079,0.619545191503,0.024064078008,0.0172035521504,0.0254919031865,0.00947240118405,0.0220790527599,0.00518892564862,0.0110047013756,0.653110784685,0.589426514667,Shepherd,4,4.0,4.13526163641
7,Shepherd_test0,10,55.4247229099,"s, don, get, god, ask, christ, said, want, preacher, t, i, preach, know, go, wisdom, ill, bless, lord, say, love, tell, heaven, do, will, faith, hope, thing, whi, sin, repli",0.0379435541191,0.0230340367763,0.7,0.3,0.0766409652517,0.638989677396,0.021015195603,0.019147178216,0.0251104644897,0.0086575421202,0.0236016812156,0.00452634982218,0.0115673384345,0.676321989695,0.62385890925,Shepherd,4,4.0,4.17539208221
10,Shepherd_test10,10,52.0648188591,"s, don, get, christ, t, god, say, jesus, know, lord, thing, pray, ill, go, love, said, whi, will, i, sin, want, should, tell, someth, am, bless, re, let, ask, do",0.036119832641,0.0198593879603,0.8,0.2,0.0552064271227,0.588790010977,0.0230083837738,0.0182337681868,0.0246625813,0.00864694161435,0.0240986503252,0.00383473062897,0.0119553366668,0.662787578184,0.65357274241,Shepherd,4,4.0,4.01463578918
16,Shepherd_test20,10,56.122407198,"s, get, christ, don, ask, god, want, t, bless, know, ill, thing, preacher, i, said, will, sigh, whi, jesus, heaven, let, lord, trust, preach, am, doesn, job, say, better, go",0.0336454719897,0.0210420633353,0.9,0.1,0.0634962242559,0.588278561972,0.0178552926956,0.0175790018995,0.0250733897427,0.00808150578484,0.0281125884994,0.00331548955275,0.0124330858228,0.659394720499,0.640366713631,Shepherd,4,4.0,4.10734909557
17,Shepherd_test6,10,57.566824913,"christ, s, walk, preach, god, get, pray, troubl, let, sin, ill, said, preacher, lord, ask, want, prayer, don, jesus, go, i, say, save, will, know, t, do, whi, heaven, thing",0.0294767582971,0.0220704538798,0.7,0.3,0.0653074249979,0.61867452091,0.0199699597187,0.0184679456544,0.0230422612139,0.00867071755308,0.0265583395917,0.00296989144535,0.0120161125145,0.694585159568,0.572409271665,Shepherd,4,4.0,3.81090935625
22,Shepherd_test16,10,58.243819952,"s, christ, god, get, grace, know, mind, sin, jesus, don, testimoni, thing, want, said, t, ill, say, spirit, ask, preach, i, go, let, save, gospel, will, happen, sing, think, must",0.0326253809539,0.0197851125252,0.9,0.1,0.0648236650194,0.576792496169,0.0258938706016,0.0127695800227,0.0186577752554,0.0112088535755,0.0253263337117,0.00365351872872,0.011066969353,0.757001887333,0.675674681137,Shepherd,4,4.0,3.96065476506
24,Shepherd_test19,10,59.7644238472,"s, get, don, god, ill, want, said, ask, pray, t, sin, listen, faith, know, christ, say, i, got, let, walk, whi, evil, sunday, am, heaven, bless, thing, look, will, lord",0.037966633917,0.0246092838406,0.8,0.2,0.0721403938276,0.605148497872,0.0224563450111,0.0135977543655,0.0232583573329,0.00787430279611,0.0255550289818,0.00703583536874,0.0127957420437,0.665989492064,0.610988736212,Shepherd,4,4.0,3.92879608165
31,Shepherd_test14,10,68.4982609749,"s, christ, get, don, want, said, ill, know, sin, ask, go, lord, god, t, preacher, forgiv, judg, say, i, will, heaven, re, someon, thing, tri, jesus, better, whi, pray, ve",0.0321473244606,0.0215345474009,0.9,0.1,0.0670635854266,0.580473147462,0.0204126703685,0.0189929328622,0.02523977789,0.00968576476527,0.0234098939929,0.00514260474508,0.0120204442201,0.671949713121,0.668599995544,Shepherd,4,4.0,4.06858201236
32,Shepherd_test4,10,62.1219789982,"s, don, christ, get, t, love, know, want, ask, preach, thing, sure, say, preacher, tell, ill, said, i, do, good, pray, talk, go, someth, god, dad, listen, didn, evil, lord",0.0372584089117,0.0219497416033,0.9,0.1,0.0625298455244,0.5729115365,0.0238292011019,0.016632231405,0.023347107438,0.014152892562,0.0224173553719,0.00392561983471,0.0113292011019,0.646275743523,0.59684265737,Shepherd,4,2.8,4.22004520605
33,Shepherd_test8,10,63.451818943,"s, christ, get, love, don, ill, want, rememb, t, god, know, jesus, said, thing, say, ask, got, lord, do, i, let, someon, spirit, sin, someth, everyth, didn, will, tri, should",0.0329245982673,0.0240478301663,0.7,0.3,0.0542064281406,0.599573423257,0.0227421748283,0.0184629188667,0.0217413810954,0.00983538668599,0.0273665320772,0.00438278634779,0.0109397108051,0.695788942131,0.573538443443,Shepherd,4,4.0,3.73905080322
35,Shepherd_test3,10,52.6751799583,"sin, s, god, get, want, thank, ask, encourag, rememb, christ, don, merci, someon, sinner, said, ill, bad, thing, say, will, t, jesus, look, think, everyth, barnaba, whi, do, lord, should",0.0315019752942,0.0282214828783,0.7,0.3,0.0888489688094,0.603722654717,0.0192458319347,0.0155533176681,0.0169333482526,0.0116743127821,0.0254373205028,0.00578120920518,0.0108164559323,0.63298249038,0.64537619527,Shepherd,4,4.0,3.65687718489
38,Shepherd_test13,10,28.8687720299,"get, want, s, said, job, ill, heaven, preacher, god, christ, pray, ask, know, go, els, lord, do, told, don, thing, let, preach, i, foolish, sin, sunday, say, someth, bad, tell",0.0376184352475,0.0201492202349,0.9,0.1,0.0859456191232,0.655480358646,0.0232752968602,0.0166824506447,0.0207255773294,0.0103081518176,0.0234574196838,0.00353318277847,0.0133313906899,0.643783734798,0.609950143142,Shepherd,4,4.0,3.96927009983
