,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,toBeCount,pronounFrac,pronounCount,avgSD,avgEVC
0,Shepherd_train32,10,13.1732289791,"s, christ, want, love, don, ill, get, rememb, god, pray",0.0328215032412,0.0190016754394,1.0,0.0,14.6,0.061882208385,141.7,0.57472511009,0.580752550659,0.624593347327
1,DorothyDay_test8,10,9.17717194557,"farm, get, worker, love, tri, babi, go, too, talk, night",0.0237349401231,0.0223613394084,0.6,0.4,14.6,0.185050866597,61.8,0.662479935464,0.711894316194,0.602460144977
2,Shepherd_train27,10,14.0954341888,"s, get, don, want, god, christ, worship, spirit, t, ill",0.0354853333152,0.0206782752648,1.0,0.0,15.2,0.0569263483483,159.9,0.574121411614,0.628992086899,0.635201792903
3,Unitarian_train13,10,16.3157088757,"unitarian, s, am, know, nt, moment, love, congreg, i, emerson",0.0283589806904,0.0226500930863,0.8,0.2,21.2,0.121117881825,116.1,0.669239215681,0.681438976116,0.539984167349
4,NaumanKhan_train5,10,15.630975008,"allah, nt, s, re, say, know, get, want, ask, go",0.0202066643118,0.0172856246523,0.7,0.3,22.4,0.13212912828,169.7,0.633312418006,0.70218787447,0.790998328084
5,JohnPiper_train57,9,12.7338171005,"vers, s, god, nt, christ, grace, hope, glori, say, let",0.0316516511375,0.0261449398496,0.666666666667,0.333333333333,18.1111111111,0.100560157438,118.666666667,0.66190894027,0.763054523843,0.799525074835
6,JohnPiper_train26,10,10.7973749638,"god, vers, sin, s, jesus, promis, say, nt, bless, want",0.0316566320957,0.0247275867489,0.6,0.4,15.1,0.110285418522,100.9,0.740219399971,0.637021875451,0.730723590141
7,DorothyDay_train68,10,9.58924603462,"get, worker, room, farm, too, fr, reader, go, hospit, prison",0.0269585613467,0.024925511325,0.8,0.2,15.0,0.163206337341,60.3,0.643511317472,0.738499283836,0.600397909837
8,WBC_test2,10,13.3362290859,"shall, unto, hope, thou, ye, lord, hath, god, sin, thi",0.0224379129155,0.0333281586767,0.1,0.9,21.4,0.161240468138,77.5,0.576931041838,0.692280503843,0.726738403006
9,Shepherd_train44,10,13.3988649845,"s, get, christ, don, want, t, god, know, jesus, disagr",0.0314859255858,0.0209078321815,0.8,0.2,17.6,0.072555266098,151.5,0.579330123363,0.587479817548,0.579298130396
10,Shepherd_test15,10,14.764095068,"s, don, get, grace, christ, love, ask, want, ill, t",0.0386458887489,0.0216174571535,0.8,0.2,17.9,0.0667182567047,169.4,0.591759305818,0.599370576393,0.720992533334
11,DorothyDay_test13,10,9.09614896774,"worker, get, babi, tri, too, labor, talk, farm, want, night",0.0265927554266,0.0184819480885,0.8,0.2,13.5,0.158442661057,66.3,0.742237752732,0.731972711137,0.655442403229
12,PastorAnderson_test5,10,54.6624131203,"s, re, nt, say, go, get, bibl, preach, know, want",0.0253904512939,0.0144933016849,1.0,0.0,64.2,0.0694479374399,683.3,0.647873040335,0.693240545585,0.724594081099
13,DorothyDay_test3,10,9.2883310318,"love, tri, am, joy, too, say, talk, thing, god, christ",0.0254424254315,0.0245768376861,0.6,0.4,15.3,0.159102517725,71.1,0.697737301444,0.748479339408,0.818590576248
14,DorothyDay_train29,10,7.73557400703,"too, worker, danvill, morn, bread, get, prayer, told, ask, love",0.0247917884274,0.0219928857235,0.7,0.3,11.3,0.149634180936,54.1,0.733247796323,0.694096780666,0.616319263097
15,Unitarian_train25,10,21.7232949734,"get, am, know, i, tell, love, dont, say, thing, resist",0.0287538116929,0.0225187140924,0.9,0.1,27.0,0.100043383635,180.9,0.655278019522,0.67976938912,0.624363913249
16,JohnPiper_test8,10,14.4829208851,"prayer, god, christ, s, vers, say, jesus, strive, sin, will",0.0293059277273,0.0209222004111,0.8,0.2,23.7,0.140415892644,118.1,0.686674795759,0.751261894224,0.747154066764
17,DorothyDay_train65,10,11.8199181557,"worker, get, too, talk, tri, fr, priest, love, hard, room",0.0255982096548,0.0219539344331,0.6,0.4,18.3,0.158912096655,83.6,0.712070867452,0.725369056399,0.736519687363
18,JohnPiper_train31,10,11.9943079948,"vers, say, christ, s, god, etern, nt, jesus, wonder, sin",0.0300649256328,0.0222208737736,0.7,0.3,20.0,0.130697278573,103.7,0.658817528091,0.714029921302,0.600982994877
19,WBC_train13,10,14.8840920925,"shall, unto, sin, god, prophet, s, ye, christ, wit, lord",0.0223084282036,0.0287259957213,0.3,0.7,27.2,0.188340441358,80.4,0.556257073876,0.690497560635,0.766704752365
20,DorothyDay_train58,10,11.3812739849,"love, priest, worker, get, tri, farm, christ, go, hour, fr",0.0284021405261,0.0219072131885,0.7,0.3,20.4,0.201682336233,72.9,0.686427123682,0.807175383874,0.742671647724
21,JohnPiper_test15,10,13.2225780487,"vers, grace, christ, sin, gospel, god, s, job, nt, say",0.0320255462552,0.0238348646678,0.6,0.4,22.6,0.141374806372,118.0,0.735735282044,0.707665824586,0.660446345183
22,Shepherd_test9,10,14.2312619686,"s, get, don, christ, ask, ill, god, sin, said, t",0.0282822678214,0.0244671478483,0.6,0.4,16.8,0.0682262410319,157.0,0.592095830568,0.61875850837,0.533858663173
23,Shepherd_train59,10,13.4755740166,"s, get, thank, ask, don, sin, god, t, christ, prayer",0.0386578933214,0.020110327744,0.9,0.1,16.9,0.065194239528,162.5,0.617912364504,0.59564707966,0.604484039961
24,Unitarian_test6,10,18.043118,"want, am, s, nt, love, i, let, know, get, feel",0.0317612454615,0.0182024579852,1.0,0.0,23.8,0.101970679432,159.2,0.713308799794,0.706357766322,0.566405696664
25,Rabbinic_train16,6,6.96001291275,"am, mose, journey, rabbi, jew, whi, jewri, rememb, ask, know",0.0201437283086,0.0154830930885,0.666666666667,0.333333333333,23.3333333333,0.238913145491,76.8333333333,0.796055230339,0.691595655718,0.617725774213
26,WBC_train29,10,16.4512491226,"unto, shall, ye, sin, thou, god, thi, lord, christ, hath",0.0228585491289,0.0324630225114,0.2,0.8,28.7,0.161537781873,107.7,0.617822072991,0.71607405948,0.799765998743
27,JohnPiper_train41,10,12.3379781246,"god, christ, hope, vers, s, say, job, let, fruit, righteous",0.0329234778847,0.0291203003998,0.6,0.4,21.7,0.139257335347,108.8,0.70150621797,0.713895989643,0.574006580602
28,DorothyDay_train64,10,10.8288359642,"get, room, worker, talk, fr, night, priest, stay, want, love",0.0212667688823,0.0192150127207,0.5,0.5,17.5,0.186873774618,65.9,0.704953739047,0.795074342547,0.724626480161
29,DorothyDay_train59,10,10.8986480236,"worker, get, talk, room, say, go, farm, strike, done, labor",0.0252805537442,0.0199158975166,0.7,0.3,20.0,0.204395517602,64.7,0.659322923559,0.701313099812,0.673531183474
30,Shepherd_test0,10,13.040941,"s, don, prais, know, get, t, want, ill, christma, said",0.0323763967355,0.0176457487023,1.0,0.0,14.6,0.0537443825853,162.1,0.587514817503,0.650612664238,0.706805820553
31,WBC_test11,10,14.9005968571,"unto, shall, crook, god, s, lord, thou, lot, let, sin",0.0274587353268,0.0290135740379,0.3,0.7,25.1,0.156198355862,96.8,0.601987288549,0.731488628291,0.778236398534
32,WBC_train34,10,13.2395038605,"shall, unto, ye, christ, god, lord, jesus, scriptur, say, spirit",0.0288070830909,0.025039093619,0.7,0.3,25.0,0.218216625982,77.6,0.635863896908,0.785085754309,0.75247536808
33,Shepherd_train55,10,13.3643648624,"s, get, god, don, christ, want, know, worship, sin, wrath",0.0296617703246,0.0247971685385,0.7,0.3,17.1,0.0785258720542,154.9,0.644685609932,0.600201874879,0.756407005527
34,MehrBaba_test1,10,9.77297496796,"baba, s, master, infinit, discipl, realiz, spiritu, feel, self, meher",0.0374584384633,0.0187142849286,0.8,0.2,18.8,0.217259233282,75.3,0.7426139948,0.678952036551,0.684212696585
35,MehrBaba_train20,10,11.3769471645,"baba, meher, jan, love, spiritu, master, s, shri, feel, perfect",0.0375706338593,0.0143777514384,0.9,0.1,19.7,0.24118815453,71.5,0.740177060262,0.757236473189,0.781590815623
36,DorothyDay_train27,10,7.58248305321,"worker, christ, talk, get, room, tri, poverti, love, bread, fr",0.0251363441002,0.0252911315764,0.5,0.5,12.2,0.166831162763,54.2,0.701650583435,0.697382919595,0.873429655675
37,Shepherd_train37,10,13.291328907,"s, don, christ, get, want, t, god, ask, ill, know",0.0309978928942,0.0243018161808,0.7,0.3,17.5,0.0750750054231,156.9,0.641801283647,0.629736486097,0.445207361744
38,DorothyDay_train36,10,10.8352398872,"worker, get, farm, too, room, talk, bed, i, tanzania, priest",0.0239223573787,0.0153342979429,0.9,0.1,20.6,0.21122886566,72.9,0.741912591861,0.763954687922,0.748211738806
39,Unitarian_train16,10,19.3552050591,"let, disappoint, i, am, feel, nt, say, want, dream, dont",0.0317696637536,0.0178363395496,0.9,0.1,24.8,0.128035383877,159.3,0.675870246234,0.681037038674,0.653262605469
40,Unitarian_train9,10,17.5526518822,"silenc, dont, cloth, i, tell, want, too, fear, feel, am",0.0281548835389,0.0194878655181,0.8,0.2,21.8,0.108212852387,141.0,0.659552006303,0.696573838516,0.526482274303
41,Unitarian_test3,10,18.6750929356,"fear, depress, hope, get, feel, am, love, i, know, nt",0.027242607215,0.0233452077894,0.8,0.2,26.0,0.1109426603,145.5,0.669166182363,0.658875540304,0.726022564398
42,JohnPiper_test4,10,11.6209478378,"christ, vers, god, s, joy, gospel, salvat, say, spirit, gift",0.0316633183497,0.0157313531486,0.9,0.1,20.1,0.138478999108,94.0,0.638161050047,0.744607593037,0.754530736222
43,DorothyDay_train47,10,5.79228210449,"prayer, worker, retreat, farm, talk, too, say, pray, cathol, get",0.0258680230869,0.0138660648014,0.7,0.3,8.4,0.150566209023,37.9,0.707374084078,0.726321270889,0.744914936933
44,WBC_train31,10,13.8980228901,"shall, unto, ye, god, hath, thee, s, thou, sermon, christ",0.0267388357094,0.0302609757847,0.3,0.7,23.1,0.158974823038,83.0,0.556099759632,0.684946366026,0.637139287628
45,DorothyDay_train63,10,15.1038639545,"love, worker, labor, christ, room, i, hour, strike, too, tri",0.0272249452756,0.0216088503358,0.7,0.3,24.0,0.16304897689,103.6,0.767447584425,0.721378161774,0.606680477517
46,DorothyDay_train56,10,7.94991588593,"worker, farm, room, want, maurin, get, too, labor, love, walk",0.0259968083189,0.0200290766064,0.6,0.4,12.1,0.172483968884,50.7,0.683027152887,0.722147722355,0.757410271275
47,DorothyDay_train72,10,10.3193180561,"too, worker, get, love, go, say, talk, want, pray, negro",0.0246475661266,0.0208172826971,0.8,0.2,17.3,0.181923159122,71.6,0.733622842281,0.766492559774,0.544630216268
