,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,3,16.9219329357,"allah, ibn, wa, faction, murji'ah, hypocrit, sallam, alayhi, sallallāhu, rahimahullāh, irjā, hypocrisi, kufr, prophet, abandon, said, ignor, prayer, numah, oblig, īmān, messeng, you, jihād, bid'ah, ahmad, excus, “the, ﻿, zakāh",0.0180736356041,0.0213762974466,0.333333333333,0.666666666667,0.421294604798,0.687863390123,0.00279048135803,0.00503836911867,0.00488334237656,0.026122006046,0.016432834664,0.0,0.0101542516084,0.783140315091,0.832004376286,ISIS,1,1.0,0.889780640327
3,ISIS_test1,3,3.39090394974,"pkk, iraqi, ﻿, obama, isil, iraq, yazidi, terrorist, airstrik, foley, dabiq, shām, kurdish, allah, blow, strike, ocalan, soldier, personnel, demolish, apost, mosul, murtaddīn, wage, tal, tomb, peshmerga, irbil, wilāyat, our",0.00771170506657,0.0278299508804,0.0,1.0,0.444841269841,0.578571428571,0.0113378684807,0.0,0.00226757369615,0.0102040816327,0.00793650793651,0.0,0.00680272108844,0.743415211461,0.648785308457,ISIS,1,4.3,2.21841805386
5,ISIS_test4,3,11.0927839279,"allah, you, your, wa, messeng, alayhi, sallam, ibn, sallallāhu, advic, inde, my, enemi, abū, we, fear, ta'ālā, ﻿, dābiq, tunisia, ask, said, path, brother, jihād, don't, ab, me, deed, prison",0.0168247526652,0.0273862994473,0.0,1.0,0.614019152883,0.791531531938,0.00668181210744,0.0271281571562,0.00948817319257,0.0129627154884,0.0175063477215,0.000267272484298,0.00975544567687,0.725237384593,0.593723033338,ISIS,1,2.8,2.4519622342
9,ISIS_test0,3,11.3903200626,"crusad, allah, plot, apost, you, your, rāfidah, faction, …, wa, nusra, alayhi, qaeda, sallam, jihād, tāghūt, weak, ﻿, inde, syrian, sallallāhu, muslim, jawlānī, sahwah, will, kuffār, tawāghīt, rāfidī, al, shām",0.0176652908005,0.0299997520399,0.0,1.0,0.576976466815,0.719192040679,0.00424469413233,0.00799001248439,0.00262172284644,0.0314606741573,0.0143570536829,0.0,0.00923845193508,0.812793211893,0.733467906566,ISIS,1,1.0,1.26174235178
14,ISIS_test3,3,8.18088197708,"dollar, ’s, my, currenc, you, allah, ﻿, gold, oil, ask, foley, your, tri, ing, meltdown, crusad, worth, prison, dinar, money, me, dabiq, messag, obama, us, iraq, we, syria, wright, got",0.0162880117511,0.0279336479043,0.333333333333,0.666666666667,0.59147402436,0.809594829729,0.00892369331634,0.00637406665453,0.0107448552176,0.0171189218722,0.0125660171189,0.0,0.0173010380623,0.733846155012,0.65343221843,ISIS,1,1.4,0.908826307599
16,Rabbinic_test4,3,10.5573198795,"we, rabbi, steinberg, you, our, me, your, jewri, my, know, rememb, moment, ask, jew, synagogu, jewish, mose, golda, memori, am, sermon, levi, suffer, “this, too, chosen, promis, shall, yar, i",0.0186613266419,0.0249502116735,0.0,1.0,0.733158292342,0.839178844191,0.0243972035954,0.0115565701241,0.0206876872592,0.00756170637751,0.0148380653446,0.00342416892567,0.013268654587,0.655232049763,0.689164540815,Rabbinic,6,5.2,4.41754010591
20,Rabbinic_test2,3,9.86841607094,"we, you, our, your, me, my, know, deed, rabbi, bad, wrong, aumann, tell, ourselv, ask, forgiv, judg, choic, us, kind, kippur, hurt, maimonid, promis, let, lincoln, gustman, yom, want, tip",0.0234214192096,0.0220165756806,0.666666666667,0.333333333333,0.652344042785,0.824826175328,0.0312596242686,0.0149368647983,0.0160147828765,0.00354173082846,0.00816137973514,0.00477363720357,0.0146288882045,0.707517607935,0.682192087494,Rabbinic,6,6.0,6.26821929276
24,Rabbinic_test1,3,7.56086611748,"we, keter, our, bless, sibl, esau, israel, you, question, my, ask, aleppo, jacob, netanyahu, your, jerusalem, know, miss, jewish, biblic, sacr, sit, epstein, synagogu, how, jew, want, neither, “hidden, palestin",0.0231631866258,0.0155913558423,1.0,0.0,0.572988714962,0.667926508062,0.024024024024,0.00563063063063,0.00750750750751,0.00638138138138,0.00600600600601,0.00206456456456,0.0106981981982,0.719992253153,0.583689940578,Rabbinic,6,6.0,6.29780329151
26,Rabbinic_test5,3,8.8386900425,"we, mose, netanyahu, you, memori, our, your, my, shul, rememb, jewish, jew, walk, diaspora, introvert, tell, me, don't, am, ask, moment, answer, know, want, bless, yerushalmi, whi, generat, judaism, say",0.0225216056284,0.013276757184,1.0,0.0,0.623148148148,0.741798941799,0.0212907518297,0.0106453759148,0.0163007318696,0.00698602794411,0.0123087159015,0.0021623419827,0.0129740518962,0.726117359792,0.700934283715,Rabbinic,6,5.3,6.05281454312
28,Rabbinic_test0,3,7.48228406906,"we, synagogu, evil, our, you, want, let, eichmann, amalek, god, templ, abnorm, presenc, yizkor, atzeret, dwell, me, my, go, jew, prayer, amalekut, answer, shemini, your, know, memori, jewish, absolut, arendt",0.0173844438125,0.0202736757952,0.666666666667,0.333333333333,0.591944886063,0.677085013402,0.0311358831443,0.00557370747646,0.00768787238132,0.00538151066692,0.00557370747646,0.00192196809533,0.0111474149529,0.70117171302,0.611713351791,Rabbinic,6,5.6,5.62851160354
