,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,rank
0,Unitarian,0.0255687004171,0.0216275863858,0.8,0.2,0.0318001238813,151.5,0.6504215655210001,0.019066158235799997,0.00767979520546,0.0251459961068,0.00965307591798,0.00946641422895,0.00410655715848,0.009733073784700001,0.739718952189,0.573033627062,7
1,Unitarian,0.027627220092000002,0.018744961503700003,0.8,0.2,0.020927672022900003,165.5,0.670593291601,0.021552823547400003,0.009641381421209998,0.027597816660700002,0.00979441922155,0.007549864816609999,0.00433607100954,0.0118604295261,0.7604683583319999,0.602029212182,7
2,Unitarian,0.030878428475200004,0.021230446273599997,0.8,0.2,0.0300726273534,163.6,0.688089273987,0.0202939484283,0.00836863852712,0.0289764109002,0.011245358020799998,0.00978084627857,0.00559652701501,0.0116376379518,0.7958844709049999,0.709676466877,7
3,Unitarian,0.0285274148751,0.0232584704873,0.8,0.2,0.034535913760599994,159.7,0.631804463877,0.0205962840271,0.00999567910125,0.0296125594124,0.012761054299299999,0.009563589226559999,0.00509866052139,0.0102549330261,0.731997168849,0.686884631083,7
4,Unitarian,0.0284545825312,0.0284688234828,0.8,0.2,0.0109433262711,130.9,0.697373567967,0.0189878905234,0.00511545909078,0.018207566255299998,0.00875697234184,0.0123984855929,0.0021964683101599997,0.0148550619924,0.7963047294869999,0.721185601444,7
5,Unitarian,0.028306044623099998,0.020857109264900003,0.9,0.1,0.0257221908795,145.6,0.686761932746,0.0189683151986,0.00734257362526,0.0211498044641,0.011067067493100002,0.010268961664299999,0.00385751150603,0.0119449839049,0.766459448205,0.779044267138,7
6,Unitarian,0.0288647248923,0.0237340557343,0.7,0.3,0.022596412843200003,159.1,0.6903761344939999,0.0160454074115,0.00843202532336,0.029498444577900004,0.0086503301861,0.0141898160782,0.00556677399989,0.014735578235,0.781595119699,0.6953916210619999,7
7,Unitarian,0.0287554614315,0.0219986051738,0.8,0.2,0.025843706129600002,89.1,0.658463463504,0.020021621621599997,0.00795675675676,0.0202378378378,0.00903783783784,0.0073945945945900005,0.00436756756757,0.009902702702700002,0.869991637318,0.6949829211599999,7
8,Unitarian,0.0274042288392,0.0209291856717,0.8,0.2,0.025525830133799998,190.0,0.664210152616,0.016423405654200002,0.0033793556870500003,0.010545693622600001,0.014385272846799997,0.011229454306399999,0.00361604207758,0.0141748849441,0.786671499829,0.8387044876819999,7
9,Unitarian,0.026718055211800002,0.022266225635900003,0.7,0.3,0.0384029036563,152.0,0.6979918217300001,0.0228341768383,0.011104495385499999,0.0264662101816,0.013069365882700001,0.00991366478118,0.005954153021729999,0.011312890741299998,0.7295808497570001,0.762565843709,7
10,Unitarian,0.0291149300932,0.023483622138400002,0.8,0.2,0.0328083492191,156.8,0.694331455814,0.0168014252433,0.0110182266685,0.024420994929400003,0.0137042620255,0.012744963683700001,0.00216527340003,0.013019048924200001,0.771589583955,0.667740838375,7
11,Unitarian,0.0323189019663,0.0213604679202,0.9,0.1,0.0284302720486,140.2,0.672847564118,0.0240261671127,0.00921796015462,0.0261968480523,0.010645257210799999,0.00877192982456,0.004341361879270001,0.010377639012799998,0.75634303376,0.6378429040420001,7
12,Unitarian,0.029011492936,0.025916881567099998,0.6,0.4,0.0134807186168,129.1,0.671012378787,0.023552221727800002,0.00893140931918,0.0233932998538,0.013762634288999999,0.0057847562138500005,0.00489479371941,0.0106159811837,0.767695447683,0.624822353104,7
13,Unitarian,0.028697571743900002,0.0167770419426,1.0,0.0,0.0625,67.0,0.5234375,0.023399558498900002,0.00353200883002,0.0194260485651,0.0101545253863,0.00044150110375299997,0.0008830022075059999,0.00927152317881,-0.293995110454,0.46169619514399995,7
14,Unitarian,0.026155533956299996,0.0237453735042,0.5,0.5,0.030348840894900003,107.0,0.6088389599899999,0.0223947446999,0.00847267841147,0.022096148103900003,0.0104135562855,0.00880859958196,0.00182890415049,0.010525530009,0.752610224014,0.594017960731,7
15,Unitarian,0.030373318815599997,0.024629654819,0.7,0.3,0.0325936977977,158.7,0.676637924618,0.018952311734799998,0.010650192877499999,0.034410465701300005,0.0102588472075,0.00712808184715,0.00651311007995,0.0102868004696,0.753786763592,0.7556937228560001,7
16,Unitarian,0.0322725433322,0.0178288842302,0.9,0.1,0.029998363934999998,133.5,0.6127204862169999,0.015506784218099999,0.013318326768,0.0234164947164,0.009785531169889998,0.0100669042706,0.00443944225599,0.011286187707100001,0.719550303272,0.657995806488,7
17,Unitarian,0.026618422578099998,0.0220857094669,0.7,0.3,0.0330091011883,146.6,0.7015950900519999,0.026448942042299996,0.0078771849126,0.0248677552898,0.008883394664209999,0.009343376264950002,0.004571067157310001,0.0125344986201,0.7161433488600001,0.6870025973299999,7
18,Unitarian,0.0280399483489,0.018963907194999997,0.9,0.1,0.0204500685078,157.4,0.68519284623,0.016403622250999998,0.00768434670116,0.031099611901700002,0.0102716688228,0.007089262613199999,0.0028460543337600003,0.0116429495472,0.8056825120209999,0.786055886206,7
19,Unitarian,0.0295207796802,0.024295087467400004,0.8,0.2,0.0295299940216,157.6,0.6715513696940001,0.020886411220099998,0.010518881013,0.019700829906900003,0.0112251847741,0.00910627349091,0.0021945866861700003,0.013672022803499998,0.7326038592649999,0.671064879282,7
20,Unitarian,0.0296857415201,0.0208083527201,0.9,0.1,0.029756149866900002,152.1,0.661477646282,0.0226278351899,0.0109783921621,0.0203462622467,0.0086968192189,0.00979734263857,0.00351630653604,0.0107636558851,0.753104274431,0.7690056869290001,7
