groupName,rank
ISIS,1
Westboro Baptist Church,1
Joseph Stalin,1
Ghandi,2
Sea Shepherd,2
Faithful Word Baptist Church,2
Malcolm X,2
ACLU,3
Andrew Murray,3
Nouman Ali Khan,3
John Wesley,3
Dorothy Day,4
John Piper,4
Steve Shepherd,4
African American Lectionary,5
Peter Gomes,5
C.H. Spurgeon,5
Bahai'i,6
Rabbinic texts,4
Liberal Judaism,6
Yogaville/Integral Yoga,6
Esalan,7
Unitarian texts,7
Meher Baba,8
American Ethical Union,8
George Thompson,8
Schizophrenia,9
