,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank
0,Rabbinic047,0.0171115674196,0.015913757700200003,1.0,0.0,0.295871559633,210.0,0.481651376147,0.00273785078713,0.00308008213552,0.0126625598905,0.005817932922659999,0.0308008213552,0.0102669404517,0.014715947980799999,0.188569472964,0.646920532581,0.598254268523,Rabbinic,middle
1,Rabbinic054,0.014964028777000002,0.0126618705036,1.0,0.0,0.301204819277,137.0,0.550200803213,0.00230215827338,0.0063309352518,0.0094964028777,0.012374100719399999,0.0428776978417,0.0212949640288,0.0143884892086,0.21697841726599998,0.668207472526,0.665808608619,Rabbinic,middle
2,ACLU07,0.0102702702703,0.0151351351351,0.0,1.0,0.391304347826,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.011351351351399998,0.00108108108108,0.0,0.00594594594595,0.278918918919,0.583817711042,0.723923388205,ACLU,middle
3,SeaShepherds397,0.0376811594203,0.023188405797099996,1.0,0.0,0.8823529411759999,15.0,0.8823529411759999,0.04637681159419999,0.023188405797099996,0.0,0.005797101449279999,0.0,0.0,0.0,0.524637681159,0.672571561117,0.437062563421,Shepherd,low
4,ACLU02,0.026359143327799997,0.00164744645799,1.0,0.0,0.8125,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.019769357495900003,0.431630971993,0.751110128029,0.526031851325,ACLU,middle
5,Rabbinic023,0.0264088658335,0.012968639471799999,1.0,0.0,0.323636363636,142.0,0.516363636364,0.00542324923367,0.00235793444942,0.00754539023815,0.0089601509078,0.0518745578873,0.0007073803348270001,0.0146191935864,0.18509785428,0.668339253192,0.632518246553,Rabbinic,middle
6,Unitarian145,0.0243632336656,0.0190476190476,1.0,0.0,0.203045685279,233.0,0.591370558376,0.0148394241417,0.0104097452935,0.0423034330011,0.00863787375415,0.003986710963459999,0.00996677740864,0.012624584717600001,0.2569213732,0.6766777973039999,0.514337817248,Unitarian,high
7,Unitarian219,0.0356933879462,0.033352837916900004,1.0,0.0,0.258928571429,142.0,0.6339285714289999,0.0263311878291,0.0064365125804600005,0.0295494441194,0.008484493856060002,0.0026331187829099997,0.0067290813341100006,0.011995318899900001,0.31597425395,0.657738018283,0.631939537011,Unitarian,middle
8,Rabbinic033,0.021423384168500002,0.00944081336238,1.0,0.0,0.265432098765,79.0,0.48765432098800005,0.0032679738562100004,0.00363108206245,0.00980392156863,0.00508351488744,0.0225127087872,0.0,0.023238925199700004,0.222222222222,0.8037379763570001,0.7225374139309999,Rabbinic,middle
9,Unitarian006,0.025641025641,0.021978021978,1.0,0.0,0.538461538462,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.6630036630039999,0.00637634953317,0.537620456564,Unitarian,low
10,WBC107,0.024907063197,0.0431226765799,0.0,1.0,0.29220779220800003,66.0,0.428571428571,0.00037174721189599995,0.0007434944237919999,0.00148698884758,0.0282527881041,0.018587360594799998,0.00260223048327,0.0100371747212,0.286617100372,0.661455143883,0.570116153256,WBC,low
