,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
0,Rabbinic054,0.014964028777000002,0.0126618705036,1.0,0.0,0.301204819277,137.0,0.550200803213,0.00230215827338,0.0063309352518,0.0094964028777,0.012374100719399999,0.0428776978417,0.0212949640288,0.0143884892086,0.21697841726599998,0.672283658854,0.665808608619,4.0,Rabbinic
1,Unitarian145,0.0243632336656,0.0190476190476,1.0,0.0,0.203045685279,233.0,0.591370558376,0.0148394241417,0.0104097452935,0.0423034330011,0.00863787375415,0.003986710963459999,0.00996677740864,0.012624584717600001,0.2569213732,0.676066265834,0.514337817248,7.0,Unitarian
2,ACLU07,0.0102702702703,0.0151351351351,0.0,1.0,0.391304347826,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.011351351351399998,0.00108108108108,0.0,0.00594594594595,0.278918918919,0.581488133705,0.723923388205,3.0,ACLU
3,SeaShepherds397,0.0376811594203,0.023188405797099996,1.0,0.0,0.8823529411759999,15.0,0.8823529411759999,0.04637681159419999,0.023188405797099996,0.0,0.005797101449279999,0.0,0.0,0.0,0.524637681159,0.673159299048,0.437062563421,1.0,Shepherd
4,Rabbinic027,0.0128205128205,0.0168269230769,0.0,1.0,0.228571428571,85.0,0.40476190476199997,0.0008012820512819999,0.00320512820513,0.015625,0.0140224358974,0.030448717948699997,0.0008012820512819999,0.018830128205099998,0.23878205128199997,0.6775581016509999,0.6796041868420001,4.0,Rabbinic
5,YV56,0.0155239327296,0.0155239327296,0.0,1.0,0.371428571429,51.0,0.728571428571,0.0,0.06209573091850001,0.0297542043984,0.0025873221216,0.0012936610608,0.006468305304010001,0.0297542043984,0.316946959897,0.727155192823,0.579253923145,5.0,YV
6,MehrBaba031,0.0305084745763,0.0169491525424,1.0,0.0,0.5,32.0,0.761904761905,0.00112994350282,0.00338983050847,0.021468926553700002,0.00790960451977,0.021468926553700002,0.0,0.0112994350282,0.40112994350299996,0.7499154900309999,0.49344867799500003,5.0,MehrBaba
7,Unitarian006,0.025641025641,0.021978021978,1.0,0.0,0.538461538462,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.6630036630039999,0.00824425199362,0.537620456564,2.0,Unitarian
8,WBC107,0.024907063197,0.0431226765799,0.0,1.0,0.29220779220800003,66.0,0.428571428571,0.00037174721189599995,0.0007434944237919999,0.00148698884758,0.0282527881041,0.018587360594799998,0.00260223048327,0.0100371747212,0.286617100372,0.661656494268,0.570116153256,2.0,WBC
9,MalcolmX012,0.0209185993633,0.0163710777626,1.0,0.0,0.260330578512,154.0,0.636363636364,0.0118235561619,0.0161437016826,0.00591177808095,0.012278308322000001,0.018190086402900003,0.00204638472033,0.012278308322000001,0.20077307867199998,0.7153288965000001,0.6820812806300001,2.0,MalcolmX
10,LiberalJudaism059,0.019248395967000002,0.012832263977999999,1.0,0.0,0.6170212765959999,36.0,0.7659574468089999,0.014665444546299998,0.00274977085243,0.00458295142071,0.0164986251146,0.0018331805682900001,0.0,0.0137488542621,0.391384051329,0.752507548395,0.620207475279,5.0,LiberalJudaism
11,YV13,0.0164705882353,0.00705882352941,1.0,0.0,0.578947368421,28.0,0.736842105263,0.00941176470588,0.07058823529410001,0.00235294117647,0.00705882352941,0.0,0.0,0.0329411764706,0.40705882352899997,0.7756970803030001,0.553920281175,5.0,YV
12,YV54,0.028716216216199998,0.018581081081099998,1.0,0.0,0.530612244898,39.0,0.7959183673469999,0.00844594594595,0.0844594594595,0.0033783783783800005,0.00844594594595,0.0,0.0,0.027027027026999998,0.349662162162,0.723483492397,0.606758250298,3.0,YV
13,JohnPiper020,0.0272435897436,0.008012820512819999,1.0,0.0,0.636363636364,30.0,0.909090909091,0.008012820512819999,0.0192307692308,0.0512820512821,0.00320512820513,0.0192307692308,0.0,0.0128205128205,0.38461538461499994,0.716125879198,0.734986918699,4.0,JohnPiper
14,Bahai30,0.049798115747,0.040376850605699996,1.0,0.0,0.275862068966,10.0,0.344827586207,0.0,0.0,0.0,0.0,0.00807537012113,0.0,0.009421265141319999,0.271870794078,0.837671302924,0.642909800541,4.0,Bahai
15,SeaShepherds401,0.00904977375566,0.06334841628959999,0.0,1.0,0.68,24.0,0.96,0.00452488687783,0.06334841628959999,0.0180995475113,0.00904977375566,0.0,0.0,0.0,0.423076923077,0.71221329972,0.6413193998619999,2.0,Shepherd
16,Bahai21,0.020202020201999998,0.030303030303,0.0,1.0,0.46428571428599996,16.0,0.5714285714289999,0.0,0.0033670033669999998,0.0,0.0,0.0218855218855,0.0,0.0218855218855,0.326599326599,0.715335527974,0.6253883176039999,4.0,Bahai
17,YV39,0.0027548209366399998,0.0,1.0,0.0,0.52,15.0,0.6,0.0330578512397,0.0,0.0,0.00826446280992,0.0055096418732799995,0.0,0.0055096418732799995,0.438016528926,0.811629875905,0.64926226353,1.0,YV
18,DorothyDay412,0.034387895460800004,0.0275103163686,1.0,0.0,0.33333333333299997,28.0,0.622222222222,0.0316368638239,0.00687757909216,0.0110041265475,0.0027510316368599998,0.0041265474553,0.0041265474553,0.0137551581843,0.44704264099,0.773309553996,0.469079468926,3.0,DorothyDay
